Feature,Importance_High,Importance_Medium,Importance_Low
Application Rejected -> Behavioral Interview,-0.2169892556710531,-0.11961807019133157,-0.1301928267818721
Senior Partner -> HR-pro and Senior Partner,-0.14160100646758558,-0.058622686092435795,-0.04876838723830796
Frontend Interview -> Behavioral Interview,-0.12685894731967595,-0.08095843304217687,-0.03961978998397754
HR-pro and Senior Partner -> Senior Partner,-0.09743013270948518,-0.0419838082460801,-0.04378458853919129
HR-dummy -> HR-pro and Senior Partner,-0.09266440330201295,-0.046007012823607446,-0.06873162597077956
Behavioral Interview -> Behavioral Interview,-0.09078315753930241,-0.074955714446346,-0.03321569335416059
Behavioral Interview -> Make Job Offer,-0.08819673167248875,-0.06717230954181103,-0.0372430889303602
HR-pro and Senior Partner -> HR-pro and Senior Partner,-0.08782529405436743,-0.0740937943676572,-0.03980282867202904
HR-pro and Senior Partner -> HR-pro,-0.08429706973903264,-0.07338094174836246,-0.0414117075435663
Behavioral Interview -> Application Rejected,-0.07224537797716149,-0.10940289470330396,-0.0894418831937389
Backend Interview -> Behavioral Interview,-0.05781566601871294,-0.05102940509260332,-0.03442139426144601
ML Interview -> Behavioral Interview,-0.0482585542282252,-0.08624324889955919,-0.09814382067391739
Backend Interview -> ML Interview,-0.023452112407546574,0.0015012388955469571,-0.0019575664980157367
Coding Interview -> Frontend Interview,-0.022814165145062376,-0.04719243479428985,-0.028115523206232666
Frontend Interview -> Backend Interview,-0.020334358751259638,-0.02808262970228212,-0.023294117418239065
HR-pro and Senior Partner -> HR-dummy,-0.015688547540125424,-0.02267642056822703,-0.042848718658097765
Frontend Interview -> ML Interview,-0.012418783853371501,-0.029434396239020284,-0.02065557427786677
Coding Interviewer -> HR-dummy,-0.012362124709003589,-0.0026524011320629088,-0.0073663493567369415
Application Rejected -> Make Job Offer,-0.010375040341066424,-0.007563068844125984,-0.009995494198516683
Coding Interview -> ML Interview,-0.010096421605839572,-0.02992376536041218,-0.005929026753020572
ML Interview -> Frontend Interview,-0.009779209320041072,-0.031282806127593245,-0.010510067695900602
Coding Interviewer -> Coding Interviewer,-0.00921766577063515,-0.10721590957287222,0.05409713802789888
Coding Interview -> Backend Interview,-0.007633909618592882,-0.03223308141921515,-0.011344758040669405
Make Job Offer -> Application Rejected,0.007126969534302627,,
ML Interview -> Application Rejected,-0.006082159826664711,-0.007872497011127208,0.001045164785576272
Senior Partner -> Senior Partner,-0.006076417874404949,-0.004433315337070536,-0.004669345997435197
Backend Interview -> Frontend Interview,-0.005910188623890075,-0.01564440562397313,-0.0102760553445557
deepResearch Inc. -> Coding Interviewer,-0.00561987693912438,-0.010397092561918647,-0.006989201445483022
HR-dummy -> Coding Interviewer,-0.005273252251773608,-0.018600001558592857,-0.005673795375293576
ML Interview -> Backend Interview,-0.0052284400857390365,-8.58853955207367e-05,-0.004014024758568842
case:protected,0.004904232215764344,0.0034441202603976047,0.0010611690819530395
Application Rejected -> Application Rejected,-0.004864778092341173,-0.004067039174072027,-0.002110777445055607
Screening Interview -> Coding Interview,-0.004769185045804601,-0.011854095009431654,-0.016271323720229963
Background Check -> Coding Interview,-0.004217847394011836,-0.024527662903077833,0.0006479286468009133
Extensive Background Check -> Coding Interview,-0.004153385466723152,-0.016522323481522373,-0.025771747367759577
Backend Interview -> Application Rejected,-0.004150742926468691,-0.006630802618843003,-0.009019234512040694
Coding Interviewer -> Senior Partner,-0.003304126486452703,-0.007910179096424882,-0.0035326544818794874
HR-dummy -> deepResearch Inc.,-0.0030772587729154736,0.0015427197352104996,-0.0003176047034896815
Senior Partner -> Coding Interviewer,-0.002161048454064251,-0.018062320534083517,-0.008181542320918386
Senior Partner -> HR-pro,-0.002086672694450839,0.0002229978285363927,-0.00031505455504416286
Front Desk -> HR-pro,-0.001969025449239031,0.00026670298850526956,0.0009749824278867346
HR-dummy -> HR-dummy,0.00188488773357337,-0.0004854965879229338,-0.0002158444667149552
HR-pro -> Coding Interviewer,0.0016757229928188937,-0.01575732544658375,-0.017264724491434368
HR-pro -> Senior Partner,-0.0016719691810123069,0.0007046206894191878,-0.0004212097498526233
Senior Partner -> deepResearch Inc.,0.0016232028883150767,0.0015277908957496862,0.0033314964226804347
HR-dummy -> HR-pro,0.001507977525798087,-0.00020670575915183504,-0.0002494238944355397
HR-pro -> HR-dummy,0.0012745745052694395,0.0005039046113402022,-0.000617663506970983
HR-pro -> HR-pro,0.0010656560110124413,0.00046949431214286623,0.0006778327100610623
HR-pro -> deepResearch Inc.,-0.001051229624623401,0.0016946156708540095,0.002437485858891491
Background Check -> Extensive Background Check,0.0010270580797560784,0.00015950037315700695,0.0004686701055165216
