Feature,Importance_High,Importance_Medium,Importance_Low
Application Rejected -> Make Job Offer,0.0010618580838527725,-5.895236783100803e-05,4.017905194093207e-05
HR-pro and Senior Partner -> HR-dummy,0.0003346559702390682,-3.825033741570121e-05,0.0001201903128001479
Backend Interview -> ML Interview,0.0003317053680003139,-2.7543724929505233e-05,1.6453223175613257e-05
ML Interview -> Behavioral Interview,0.00020452688620150442,6.868025872828956e-06,4.7126740117551985e-05
Coding Interviewer -> Coding Interviewer,0.0001522491824507644,6.120848606611706e-05,1.1143193798222568e-05
Behavioral Interview -> Application Rejected,0.00012795519670566062,-4.177982656084227e-05,5.838608661488024e-05
Background Check -> Coding Interview,0.00011688661475431017,-3.894778391442715e-05,3.012441934711652e-05
Backend Interview -> Behavioral Interview,0.00011640653765077936,-2.638863653310546e-05,-1.3553237773683623e-05
Coding Interviewer -> HR-pro and Senior Partner,0.00010868130280352647,-3.730976493464633e-05,6.581854960286593e-05
HR-dummy -> HR-dummy,-0.00010797978285826402,-2.608396395520462e-05,1.7798410715383627e-05
Coding Interview -> ML Interview,0.0001016384439619468,-2.040382389448517e-05,0.0001225140899121304
HR-pro -> Coding Interviewer,9.996726093592285e-05,-4.95260884318241e-05,-3.0923712290623024e-05
HR-dummy -> Coding Interviewer,9.50254613347322e-05,-1.5942274416812025e-05,5.9677364369297705e-05
Senior Partner -> HR-pro,9.393461621689476e-05,-4.971215526291165e-05,-2.733605581288558e-05
HR-pro and Senior Partner -> Senior Partner,8.476988559746002e-05,-2.6952645026158427e-05,1.0477089005738128e-05
HR-pro -> Senior Partner,7.929767997821701e-05,-9.030127553886859e-05,7.294351628865159e-07
Frontend Interview -> Backend Interview,7.557170459725028e-05,-3.161048976069605e-05,7.926633046925048e-06
ML Interview -> Frontend Interview,6.860021859294901e-05,-4.902614499429138e-05,0.00018500259187722028
HR-dummy -> deepResearch Inc.,-6.844391231580661e-05,-3.005155460246067e-05,6.622574382373996e-05
Senior Partner -> Coding Interviewer,6.505121526485501e-05,-9.430078047366875e-05,8.53749148690514e-05
Coding Interview -> Backend Interview,6.444955769960593e-05,-3.351876082082781e-05,-5.876893551803247e-05
Frontend Interview -> Behavioral Interview,6.399935722286835e-05,-4.1294482508943636e-05,0.0001379386205429264
HR-pro -> HR-pro,5.758157613908058e-05,-8.240368930774493e-05,1.2540193468545363e-05
Senior Partner -> Senior Partner,-4.571138678042273e-05,-3.806105307356942e-06,-3.306304643736467e-06
Make Job Offer -> Make Job Offer,-4.4820998591043685e-05,-1.3532385800211485e-05,4.323433538617697e-06
Extensive Background Check -> Coding Interview,4.124528459221076e-05,-4.387097567573206e-05,2.182764507792069e-05
Senior Partner -> HR-dummy,4.123655926844674e-05,-0.000102343087502345,0.0001082136957005352
Screening Interview -> Extensive Background Check,-3.746235454326733e-05,-4.097638007418402e-05,3.336097574058109e-05
HR-pro -> HR-dummy,-3.5211005503079626e-05,-8.203096833074051e-05,3.9050467366298656e-06
case:protected,-3.373125552630227e-05,-3.8867434416747535e-05,-0.00011264463478954047
Behavioral Interview -> Behavioral Interview,3.288238321471104e-05,1.2678261515187373e-05,0.00011554762843877056
case:yearsOfEducation,-2.8286259563385945e-05,-0.00014437706422722708,1.2172194490983866e-05
