Feature,Importance_High,Importance_Medium,Importance_Low
Application Rejected -> Behavioral Interview,-0.05130603963434606,-0.06635087721057979,-0.0809451680740832
Senior Partner -> HR-pro and Senior Partner,-0.03909721299141401,-0.05197444502079671,-0.0604181353039772
HR-dummy -> HR-pro and Senior Partner,-0.035800916473526734,-0.04962952190381262,-0.0890807951932791
Make Job Offer -> Application Rejected,-0.033379610616645454,,
Extensive Background Check -> Coding Interview,-0.032690930382305326,-0.011310568669534369,-0.012822319487600306
Frontend Interview -> Behavioral Interview,-0.023968715221127604,-0.059814777087936366,-0.02738341709965337
HR-pro -> Coding Interviewer,-0.018526351154949813,-0.008021536672060259,-0.010039854766865286
Backend Interview -> Behavioral Interview,-0.017490089127716678,-0.053984675892891486,-0.06658584619228147
Online System -> HR-pro,0.016745690938416803,0.01702107956889729,0.011709290576932837
Coding Interview -> Frontend Interview,-0.013501543749968748,-0.014460304842741193,-0.01230852566229596
case:protected,-0.011522945166655894,-0.0007841949615713812,0.019798620038617414
Application Rejected -> Make Job Offer,-0.011188449294126516,-0.0644856060393029,-0.022689347513116725
Application Rejected -> Application Rejected,-0.010792867904356638,-0.012278871909310863,-0.0036954545762946087
ML Interview -> Behavioral Interview,-0.010734412966804678,-0.04321504839984327,-0.061703214709448596
Senior Partner -> deepResearch Inc.,0.01004837073652216,-0.0015598602214606451,0.0023775723044124264
Coding Interview -> Backend Interview,-0.009676296813823674,-0.021446812829823643,-0.01819923691613961
Screening Interview -> Extensive Background Check,-0.0077581236348372344,0.001162534132714495,0.0038780484747192394
Front Desk -> HR-pro,0.007732221316370448,0.008593617652962843,0.023705993557046095
Senior Partner -> Coding Interviewer,-0.006701585175533575,-0.013154055359086175,-0.006061559583091895
Coding Interviewer -> Senior Partner,0.006146164533013381,0.004804186501370703,0.004609823039362372
Backend Interview -> Application Rejected,-0.006058317210788568,0.002799099054705579,-0.009330003164683435
Coding Interview -> ML Interview,-0.0054244030399254115,-0.012123657398075109,-0.0038713872335982185
Frontend Interview -> ML Interview,0.0051380833780510764,0.002983058864846271,-0.005487720738211434
ML Interview -> Application Rejected,-0.0050080102701079605,-0.01002885728808032,0.0058147208114120545
ML Interview -> Backend Interview,0.004584042162247878,0.004876788829601897,-0.00673688504440024
Coding Interviewer -> HR-dummy,-0.0045376906539454,0.0014775448306718684,-3.305030031830148e-05
Background Check -> Extensive Background Check,-0.0044390239978499176,-0.0042909298140323595,-0.008015511672374612
Frontend Interview -> Backend Interview,0.0038016774047101827,0.005291165927463579,0.001364322410800829
HR-pro and Senior Partner -> HR-dummy,-0.0035636359724826095,-0.007312090062635973,-0.00682946803965123
HR-pro -> deepResearch Inc.,-0.0035269448747556912,0.0022554453545528402,0.00565598367546227
Online System -> HR-dummy,0.0031642808535587374,0.00977874393770204,0.006620102644954275
Front Desk -> HR-dummy,0.003152349113698228,0.005084634286474728,0.020324958797126043
HR-pro -> Senior Partner,0.002897876513219435,0.0012004689424433025,0.00598892362089809
case:citizen,0.0028961421187898143,0.00016606422982072633,0.00047315817486054184
HR-dummy -> Coding Interviewer,-0.0027888882065032587,-0.013047353408837267,-0.0025665815088610987
ML Interview -> Frontend Interview,0.002780620525554142,-0.005432982346907278,-0.00035791164190819927
HR-dummy -> HR-dummy,0.002768520118988816,0.0037840988721588057,0.007768948551378286
Backend Interview -> Frontend Interview,0.002738968578888399,0.0006957730545881617,-0.008852261787159359
deepResearch Inc. -> Coding Interviewer,-0.0026273170002418028,-0.005418614120198925,-0.0067641056682083995
HR-pro -> HR-dummy,0.0025407094100246947,0.0007758800711759836,0.009297707210878838
Screening Interview -> Coding Interview,0.0024306733718984755,-0.004023708677995573,-0.0018549182757761358
HR-pro and Senior Partner -> HR-pro and Senior Partner,-0.0023892285913795883,-0.0076832232939521555,-0.0016924222491205478
Senior Partner -> Senior Partner,-0.0022636990945582797,-0.011726930373103461,0.0007896751184007595
HR-pro and Senior Partner -> HR-pro,0.002003402414754011,0.0036888146012005055,0.0018214037160817292
Behavioral Interview -> Behavioral Interview,-0.0019888919962783294,-0.009928166795658302,1.4873496479576024e-05
Background Check -> Coding Interview,-0.001954011690654349,-0.004705717805078208,0.0005422019521525159
Telephonic Screening -> Screening Interview,-0.0017693762459275266,0.0017717335511121708,-0.004081405699853949
case:gender,-0.0017562497432279417,0.00022430120870762108,-0.0005295049802581557
Screening Interview -> Background Check,-0.0017234908400013352,0.0025544935428503304,-0.0029480567900150674
HR-pro and Senior Partner -> Senior Partner,0.0016713263218605709,0.0006121010321212029,-0.039780179757895995
Behavioral Interview -> Application Rejected,0.0015717606966684932,0.002028324971626887,-0.00995373678948542
Telephonic Screening -> Background Check,0.0014961965650286068,0.0020108069744130155,0.006895025245337758
Frontend Interview -> Application Rejected,-0.0014039097491455555,0.0025196201114879553,0.008112092863642274
Senior Partner -> HR-pro,0.0013916374329221756,0.0029035833025233,0.003323292093489867
HR-dummy -> HR-pro,-0.0012492620856154317,-0.003949636827109895,0.0038590450212796583
HR-dummy -> deepResearch Inc.,0.001078652096258873,-0.0011003531554578774,0.004681087637535976
HR-dummy -> Senior Partner,0.0010291559798609935,0.0009429015246321953,0.0028717464596157397
Background Check -> Screening Interview,0.0009431394860966297,0.001396540357438614,0.010708583669871024
case:german speaking,0.0008331806264322321,-0.0004614700566537592,-0.002717064413646779
Behavioral Interview -> Make Job Offer,0.0007528098126970045,0.0020276406544329348,-0.0016641740459376012
case:age,-0.0006292966500893462,0.0007444364959592307,-0.004362891851327032
Make Job Offer -> Make Job Offer,0.000622441153289979,-0.01524523395747499,-0.047146183634718265
Senior Partner -> HR-dummy,0.0005662503844428583,0.0015020897764456565,0.0018310545262191981
case:yearsOfEducation,0.0005542802729611455,0.0002798456320850366,0.0002820117163275333
Backend Interview -> ML Interview,-0.00035007020569863045,-0.00937476426525825,0.0033643854198441526
case:religious,0.00028083188038284003,8.799199354768486e-05,-0.001018415992548078
HR-pro -> HR-pro,-0.0002577678652743841,0.0035974905033017333,0.006240761683415959
Coding Interviewer -> Coding Interviewer,0.0001266926955794328,-0.002036824359357346,0.0004179024747812166
Coding Interviewer -> HR-pro and Senior Partner,-2.3358211841290748e-05,-0.05720785351535921,-0.023000337483849085
Hand In Job Application -> Telephonic Screening,0.0,0.0,0.0
