Feature,Importance_High,Importance_Medium,Importance_Low
Application Rejected -> Behavioral Interview,-0.31574390910115885,-0.15888705731081326,-0.27092375523206613
Senior Partner -> HR-pro and Senior Partner,-0.1601296718514314,-0.10564459429349433,-0.10368743473289017
case:protected,0.1163221005187367,0.20795537972594644,0.21388115286648124
Frontend Interview -> Behavioral Interview,-0.09635303743140113,-0.11024816252817696,-0.045075379797226714
HR-dummy -> HR-pro and Senior Partner,-0.08188438306632652,-0.07447057644644309,-0.14371712180205048
Behavioral Interview -> Behavioral Interview,-0.08136859614393589,-0.10225488265293567,-0.04804381106889101
HR-pro and Senior Partner -> Senior Partner,-0.059421406777939355,-0.06213622322230803,-0.08197537898447245
HR-pro and Senior Partner -> HR-pro and Senior Partner,-0.054775145726880706,-0.11012541282326689,-0.04053583300442008
Backend Interview -> Behavioral Interview,-0.05268999746313422,-0.046125014802023453,-0.07698301031330193
ML Interview -> Behavioral Interview,-0.048523750542559495,-0.09084251700976409,-0.19049514814356638
Behavioral Interview -> Application Rejected,-0.048041754904612155,-0.13124458080585874,-0.1355439394529646
HR-pro and Senior Partner -> HR-pro,-0.04690030735158923,-0.08768394308347187,-0.03594993582547569
Behavioral Interview -> Make Job Offer,-0.04319927033251638,-0.0744821598668981,-0.05656961478075295
ML Interview -> Backend Interview,0.017572030375185153,0.01285759315010275,-0.022597367633567587
Coding Interview -> Frontend Interview,-0.01733939844027911,-0.032097820826670086,-0.018870877570441917
HR-pro and Senior Partner -> HR-dummy,-0.012615301210635676,-0.019596814469032886,-0.05673846508033309
Make Job Offer -> Application Rejected,0.011987822966827318,,
Backend Interview -> Application Rejected,0.011746939789521866,0.010432466931045836,0.014487684856568603
Frontend Interview -> Backend Interview,-0.011512762248445557,-0.015636006390340303,-0.018913072311129302
Backend Interview -> ML Interview,0.010740102992955776,-0.001181641926376239,0.01687549419064725
Coding Interviewer -> Coding Interviewer,-0.010564382420063448,-0.15968304320277596,0.06323949533409852
HR-pro -> Coding Interviewer,0.008838639128560661,-0.002412894226930295,0.008012485940260864
HR-pro -> deepResearch Inc.,-0.008148700710045791,-0.0003023762346882605,0.0047506551898836525
Online System -> HR-pro,0.007919754438364167,0.004907006995600862,-0.0031348239963268965
Senior Partner -> Senior Partner,0.0062195484308684035,0.00951772561508365,0.01048247185708234
Coding Interview -> ML Interview,-0.005989216979119885,-0.010537293092772014,-0.0025500306812752506
Make Job Offer -> Make Job Offer,0.005660656340652264,0.007185799197679273,0.010134507773762704
Extensive Background Check -> Coding Interview,-0.00564697817997988,-0.0023996276132572207,0.0033293115629691415
Front Desk -> HR-pro,-0.004966622812823641,-0.0014933003337969247,-0.0012716326019946004
Coding Interviewer -> Senior Partner,0.004905440447977029,-0.0008654569431794929,-0.0010512650780964263
Application Rejected -> Make Job Offer,-0.004843783745452757,0.006981442728348196,0.0008196985789910927
deepResearch Inc. -> Coding Interviewer,-0.004843278990889995,-0.0017184578682754963,-0.0009482937739815987
Coding Interviewer -> HR-dummy,-0.00477831178820731,-0.002485920193967361,0.003841117645289746
Coding Interview -> Backend Interview,-0.0043998147771302926,-0.01362526123994764,-0.014803117758272135
ML Interview -> Application Rejected,-0.00419326539822382,0.005759785583356379,0.005910065808210708
Screening Interview -> Extensive Background Check,0.0041106154709050794,-0.0017562178635595743,0.002843162347307605
Background Check -> Coding Interview,0.003631261347323369,-0.005795815135082734,0.007411033822392246
case:citizen,-0.003360552415528644,0.004346165219309482,0.007223416570968697
case:yearsOfEducation,0.0033311249476094427,0.008123090819787073,-0.003145466195889131
Screening Interview -> Coding Interview,-0.0030955540913176613,-0.00978114874671179,-0.015319718990229322
Senior Partner -> HR-pro,0.0029976721282122614,-0.0022339158177211347,-0.003775870489098289
HR-dummy -> HR-pro,-0.0029870555700133683,0.0017335584667378771,0.0004933810335252666
Frontend Interview -> ML Interview,-0.0029237279245483356,-0.016177101147003235,-0.01636838392801967
Application Rejected -> Application Rejected,0.0028062482399056265,-0.002002937423270638,0.014779285414784852
