Feature,Importance_High,Importance_Medium,Importance_Low
Application Rejected -> Behavioral Interview,-0.3341271925389281,-0.17608699766676575,-0.17047444535338208
Senior Partner -> HR-pro and Senior Partner,-0.17093685871810232,-0.12679316487577869,-0.053008237537738714
Frontend Interview -> Behavioral Interview,-0.13892132303438792,-0.13805750008751774,-0.07806633117399575
Behavioral Interview -> Make Job Offer,-0.12868579821226855,-0.0952046449453741,-0.07155383279371766
Behavioral Interview -> Behavioral Interview,-0.1253841196163622,-0.12620735345526204,-0.07617269867090878
HR-pro and Senior Partner -> Senior Partner,-0.09629691356406553,-0.10998660377995555,-0.09184598930617077
Behavioral Interview -> Application Rejected,-0.08468225850851305,-0.14182743793819638,-0.24810121120310322
Coding Interview -> Frontend Interview,-0.07568206696635119,-0.04218192645439954,-0.012233471504601698
Frontend Interview -> ML Interview,-0.06654129054820514,-0.01824684093484348,-0.02826597670396077
HR-pro and Senior Partner -> HR-pro and Senior Partner,-0.06653897680180867,-0.11101898913182984,-0.055606163548511764
HR-pro and Senior Partner -> HR-pro,-0.06547878723155465,-0.08134821115916668,-0.05257205322163816
ML Interview -> Behavioral Interview,-0.05400588437625316,-0.12070904215179361,-0.3051595937006055
HR-dummy -> HR-pro and Senior Partner,-0.04725909601087729,-0.09799635196807452,-0.12308637766726369
Coding Interview -> ML Interview,-0.04322562587792069,-0.015826068474248053,-0.006300684691088137
Backend Interview -> Behavioral Interview,-0.0420795928642466,-0.06208225169517465,-0.052473076220283875
Coding Interviewer -> Senior Partner,-0.03816015858907247,-0.002280054612138261,-0.013690239587741071
Frontend Interview -> Backend Interview,-0.028310745761754574,-0.010188135279323662,-0.03732056552202864
Senior Partner -> Coding Interviewer,-0.026899112146967902,0.0025882482746806264,-0.014411270571722945
Screening Interview -> Coding Interview,-0.026834424482441954,-0.007303845399676966,-0.014972155025490142
HR-dummy -> Coding Interviewer,-0.025698571062336723,-0.009107009089695865,-0.004124306384451384
Background Check -> Coding Interview,-0.023067536563737636,-0.00969654941513282,0.0029233496667406865
ML Interview -> Frontend Interview,-0.022266820401600388,-0.025548811762587713,-0.016790443131519443
Make Job Offer -> Make Job Offer,0.019884575910132284,0.01212048166515672,0.0031165173469159388
Coding Interviewer -> Coding Interviewer,-0.019620149375935987,-0.1794917025891857,0.12437643368822042
deepResearch Inc. -> Coding Interviewer,-0.01790951032858706,-0.004356965070915419,-0.009849852117893802
Backend Interview -> Frontend Interview,-0.017626183668522123,-0.020994224093582526,-0.01189386636939943
Extensive Background Check -> Coding Interview,-0.016503291555234292,-0.005384981472784614,-0.014156445985775557
Make Job Offer -> Application Rejected,-0.015718217043527518,,
Coding Interview -> Backend Interview,-0.015395982900358771,-0.014126621170164434,-0.02092701654537194
Coding Interviewer -> HR-dummy,0.014260410164054185,0.0051061154091102505,-0.005867006340617568
