Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,-0.13946616039214685,-0.2347383224423912,-0.021966342006935098
Application Rejected -> Behavioral Interview,-0.1073173697905779,-0.3400550567988446,-0.23848963362764306
Senior Partner -> HR-pro and Senior Partner,-0.07170194314802023,-0.2504762808088199,-0.19561898927019816
Behavioral Interview -> Behavioral Interview,-0.03977879091388151,-0.1469238205500538,-0.08551827319083259
Frontend Interview -> Behavioral Interview,-0.031093938140446288,-0.24333320849220952,-0.12717512304441164
Behavioral Interview -> Application Rejected,-0.023671579200389394,-0.2838783431269948,-0.23778294702779715
HR-pro and Senior Partner -> Senior Partner,-0.023064820453506458,-0.16670599186353358,-0.1493175548144036
Make Job Offer -> Application Rejected,-0.02063074046845335,,
HR-dummy -> HR-pro and Senior Partner,-0.020402777697357172,-0.1692388979505621,-0.2696363789999625
HR-pro and Senior Partner -> HR-pro and Senior Partner,-0.019181687928415715,-0.16528197470900066,-0.05214850031186506
HR-pro and Senior Partner -> HR-pro,-0.015460569642997957,-0.09605209717564459,-0.09822192112459174
ML Interview -> Behavioral Interview,-0.014796418006996267,-0.28803679881072625,-0.23616074140433269
Make Job Offer -> Make Job Offer,-0.014662497126268664,0.002538640555447229,-0.009963287003168406
Behavioral Interview -> Make Job Offer,-0.01197745009806956,-0.14437650207872396,-0.1058344172500979
Backend Interview -> ML Interview,-0.011041132361941677,-0.003535291393962356,-0.006136496826055109
Backend Interview -> Behavioral Interview,-0.009053811627830866,-0.12704873851656603,-0.16215573613104028
Application Rejected -> Application Rejected,-0.006500778073786727,-0.01830474449752045,-0.003920666823121935
Coding Interview -> ML Interview,-0.006028889439427747,-0.005053813958936822,-0.004218602778570397
Backend Interview -> Application Rejected,-0.005900127197374666,-0.01258488320709463,-0.011562360516722525
ML Interview -> Frontend Interview,-0.0055186734497963815,-0.042144101291691785,-0.010344583890352132
Coding Interview -> Frontend Interview,-0.004744675302530031,-0.03278294245126615,-0.00288047044017102
Senior Partner -> HR-pro,-0.004493716930039854,-0.0005843661457300716,-0.007653022579445433
deepResearch Inc. -> Coding Interviewer,-0.004379563745727756,-5.971236812732338e-05,0.00650872819182117
Senior Partner -> Senior Partner,0.0043568684905172924,0.007554176764171673,-0.026948034116866536
Coding Interviewer -> HR-pro and Senior Partner,-0.0038515731750237785,-0.5386882327463166,-0.0747629821135843
Background Check -> Coding Interview,0.0034480715716402642,0.0010433698099026674,0.0011334159645143892
HR-pro -> Coding Interviewer,-0.003269773640799453,0.0017837109512927943,0.004590770924319222
Screening Interview -> Extensive Background Check,-0.002976321872924034,-0.00015470448239327024,-0.0006748452746764169
Application Rejected -> Make Job Offer,0.002867120584087245,0.01962792731551108,-0.03432021632898683
Coding Interviewer -> HR-dummy,-0.002307910683176999,-0.0016420572978731098,-0.019769084778567803
HR-dummy -> Coding Interviewer,-0.00213910127971519,0.0019104422118989776,-0.007737471916140074
HR-dummy -> Senior Partner,-0.002134234601903178,-0.001987571000321519,0.000302169833294568
HR-dummy -> deepResearch Inc.,-0.0021022871117968756,-0.00014573732135033643,0.004766256311602197
Frontend Interview -> ML Interview,-0.0020989775507480437,-0.05078404405415861,-0.014957197942951736
HR-pro -> HR-dummy,-0.0020473680609371507,0.003942218297166617,-0.005914612219889038
Senior Partner -> HR-dummy,0.0019236460899410175,-0.000865053487019311,-0.004606570660853754
Screening Interview -> Background Check,-0.0018995599032690358,-0.004990709336887716,0.0007017215923723656
Coding Interview -> Backend Interview,-0.0018793786512074895,-0.023207735977410243,-0.0021555057090117432
HR-pro -> deepResearch Inc.,-0.0018075565541515602,0.005708856695744514,0.008705123291661418
ML Interview -> Application Rejected,0.0017796008617675294,0.0040493933251701374,-0.013752793004143175
Coding Interviewer -> Senior Partner,0.001713707485128977,0.005115777587318498,-0.011971686600693025
case:age,0.0016692911515722914,0.00024104431210728808,-0.0036396063971639416
case:gender,-0.001655871631652088,-0.0007907271382210831,-0.0036297545902669376
Background Check -> Screening Interview,0.0015792014592908503,0.0024818330215257817,-0.005011897778731232
HR-pro -> HR-pro,0.0014912330093500964,-0.002321737671511489,0.001414474574308245
case:citizen,0.001174567585306695,-0.00142205142514215,-0.0013613146198348971
Telephonic Screening -> Screening Interview,0.0011443575652740133,0.00027136594700936256,0.0004933987357782467
Senior Partner -> Coding Interviewer,-0.0011254922002656136,0.006876777265290834,-0.00255013579353048
Screening Interview -> Coding Interview,0.0011097637249178293,-0.005160019530657404,0.0004081514104336454
Front Desk -> HR-pro,0.0010631423568798774,-0.0059840832390419905,0.006214719772435732
Telephonic Screening -> Background Check,0.0009894581279518535,-0.00320663737038211,-0.0040265433047983815
case:german speaking,0.0009749505439655963,0.005959185081962891,-0.002736151762974338
HR-pro -> Senior Partner,-0.000937307975182907,0.00635348615875624,-0.0003678002486587386
Background Check -> Extensive Background Check,0.0009153931763052351,-0.0016062854879743248,0.0023866981801481386
case:religious,0.0009083285721924051,-0.0006020775707553897,0.004268471787785421
ML Interview -> Backend Interview,-0.0008759449248103826,0.0066957173537352714,0.0072068610720588035
case:yearsOfEducation,0.0008251872266381056,0.006951545630544749,0.00013402279068021623
Frontend Interview -> Application Rejected,-0.0007690800749418989,0.002514727399015327,-0.008506617582222532
Backend Interview -> Frontend Interview,-0.0007182219317741002,-0.026828104132650094,-0.023193765111852626
HR-dummy -> HR-pro,0.0006796320863953695,-0.0030451519575422814,-0.003441491176285974
Coding Interviewer -> Coding Interviewer,0.0004864296145765376,-0.10515322814089416,0.03334243316120615
Online System -> HR-dummy,-0.0003428279893981591,-0.0030264695193041426,-0.0005713276299728235
HR-dummy -> HR-dummy,0.00033586416961179147,0.000550588869009112,-0.005403376689086601
Front Desk -> HR-dummy,-0.00032662980280452635,0.00035538592728525135,0.0008570860519008418
HR-pro and Senior Partner -> HR-dummy,-0.0002691520179853208,-0.05131804429667156,-0.07840020462151434
Senior Partner -> deepResearch Inc.,0.00025223471785902607,0.0005722017860909985,0.002988770712595071
Frontend Interview -> Backend Interview,-0.00023357020859605116,-0.03665466462842147,-0.02754116483074966
Extensive Background Check -> Coding Interview,-7.01165274074777e-05,-0.005370875755593788,0.0028946761146520917
Online System -> HR-pro,5.9612140712647254e-05,5.253590622415396e-05,-0.0014464314845884622
Hand In Job Application -> Telephonic Screening,0.0,0.0,0.0
