Feature,Importance_High,Importance_Medium,Importance_Low
Application Rejected -> Behavioral Interview,-0.14864005377571346,-0.10957741237107185,-0.09821831021444027
Frontend Interview -> Behavioral Interview,-0.1135002524038714,-0.09679917933469187,-0.04451717214888131
Senior Partner -> HR-pro and Senior Partner,-0.11034402994475905,-0.08404267384788741,-0.0674835131547601
Behavioral Interview -> Make Job Offer,-0.09124619408309513,-0.06477636366590786,-0.042071907905880924
Behavioral Interview -> Behavioral Interview,-0.08568424578339373,-0.07388082463703569,-0.05958637777400013
HR-pro and Senior Partner -> HR-pro and Senior Partner,-0.0734141621131262,-0.06731382047031668,-0.0390741437845884
HR-pro and Senior Partner -> HR-pro,-0.07080079471182547,-0.061922094626200005,-0.03121749196186966
HR-dummy -> HR-pro and Senior Partner,-0.06761786884927015,-0.03368814953893773,-0.05030396979808577
Frontend Interview -> ML Interview,-0.04273237599627331,-0.03062416816776648,-0.016958510587863993
Backend Interview -> Behavioral Interview,-0.03951242234397397,-0.05503846210800153,-0.038548051815083126
ML Interview -> Frontend Interview,-0.033538267302668685,-0.025105632725193772,-0.007493319566248718
Coding Interview -> Frontend Interview,-0.03128728125193325,-0.05788419275303884,-0.01097576302952619
ML Interview -> Behavioral Interview,-0.028652132477886366,-0.07887656287133163,-0.13640075789373413
Coding Interviewer -> Senior Partner,-0.027068862223531925,0.002805515767072653,0.0023787415887840087
Frontend Interview -> Backend Interview,-0.026716598607074787,-0.027440438450339076,-0.032995050191938595
Coding Interview -> Backend Interview,-0.020555794844324685,-0.0317445067920757,-0.0007851512350970638
HR-pro and Senior Partner -> HR-dummy,-0.018775599363372572,-0.03470015463598715,-0.010883930992656813
Screening Interview -> Coding Interview,-0.017083128513406428,-0.010706834285262059,-0.008669971330816456
Coding Interview -> ML Interview,-0.016487671161130004,-0.026202528840329274,-0.008371366692855844
Backend Interview -> Frontend Interview,-0.01592452926805165,-0.03066768318135079,-0.00945857278858241
Backend Interview -> Application Rejected,-0.014238553130031062,-0.0016099038855818786,-0.009872252378075059
Background Check -> Coding Interview,-0.013013792964247678,-0.027224030357433378,0.00018639150052123695
Coding Interviewer -> Coding Interviewer,-0.0109820455327271,-0.16127288315686994,0.060800621187163395
Extensive Background Check -> Coding Interview,-0.010414181424931198,-0.011149196956639292,-0.01436061160421434
ML Interview -> Application Rejected,-0.00949017962273686,-0.0012001051227079301,0.00023372985457743959
deepResearch Inc. -> Coding Interviewer,-0.008631077139444972,-0.008794793925419033,-0.004866872584779496
HR-dummy -> Coding Interviewer,-0.008425330825094736,-0.01139908395029247,-0.00230414793759618
Backend Interview -> ML Interview,-0.007690378857474547,-0.008870962139861003,-0.007201500496050566
Application Rejected -> Make Job Offer,-0.006994710958087294,-0.0006762117602514706,-0.011996240951021784
ML Interview -> Backend Interview,-0.005060851185260674,-0.0031490268969667,-0.0028303162857253204
case:protected,0.005040794752367922,0.0012598905502464943,0.002312607298425591
Application Rejected -> Application Rejected,-0.004643710789940081,-1.8853007418099525e-05,-0.004235583970130147
HR-pro -> Coding Interviewer,-0.003458360084730352,-0.004433005670105315,-0.01236588080990699
HR-pro -> HR-pro,0.0031333619135751624,-0.00029868828355001623,0.0009959048444320305
Make Job Offer -> Application Rejected,-0.002942874177648649,,
Senior Partner -> Coding Interviewer,0.0023663955058923236,-0.007007877329954037,-0.003137221812212072
HR-pro -> Senior Partner,0.0020226086899187918,-0.00033909586465460777,0.0004967088807626529
HR-pro -> deepResearch Inc.,0.0018565379420131644,0.0009640360445005876,-0.001008766581407233
Frontend Interview -> Application Rejected,0.0017643434621248465,-0.0009650124598437517,-0.010614790294754834
Senior Partner -> HR-dummy,-0.001592330805094569,0.003977936576597275,-0.003106730055977713
Coding Interviewer -> HR-dummy,0.0013487370441668538,-0.004812108457648552,-0.005227443123329068
HR-dummy -> Senior Partner,0.001190531193643853,-0.0014801750184066371,0.002817467177212012
case:age,-0.0009604340554113542,0.0004442251090895291,-0.0008428979915238567
Behavioral Interview -> Application Rejected,0.0008689847647413617,-0.009732118676507506,-0.10444615316356717
Senior Partner -> HR-pro,0.0008198616773608015,-0.0004582267173149419,-0.0032149420170723584
Background Check -> Extensive Background Check,-0.0006542149515215467,0.0009242466921660399,5.871053254414598e-05
HR-dummy -> HR-pro,0.0005572224277728946,-8.655318255818684e-05,0.000242109866412046
HR-pro and Senior Partner -> Senior Partner,0.0004920973839476747,-0.008363726445154923,-0.06791521315921936
Screening Interview -> Extensive Background Check,0.0004895562530458615,0.00029425212622902615,0.00018837478647588287
case:citizen,0.0004538363948097165,0.00016582429198888927,6.840739535085246e-05
Front Desk -> HR-pro,0.00043472342512204405,0.0019344236261791819,0.00043158759214616824
Telephonic Screening -> Screening Interview,0.0004178629458744189,0.0005031230625243348,0.000107987209808388
Senior Partner -> deepResearch Inc.,-0.0004158732137226716,0.00042583942323696415,-0.002747275369064636
Coding Interviewer -> HR-pro and Senior Partner,-0.0003958594177666641,-0.21208798189784672,-0.04924920394488186
Background Check -> Screening Interview,0.00034641821239494574,-0.0001677668086655257,-0.00019307753408482603
case:german speaking,0.0003009711125085891,0.0004575396657345219,4.473458778665663e-05
Online System -> HR-pro,0.0002600172677078142,-0.0004656407720457582,-0.0003333104747684268
Telephonic Screening -> Background Check,0.00021448640526868884,0.0002839822334259408,0.0009683776358928514
Online System -> HR-dummy,0.00019628513824593584,0.00020244501110142158,-0.00036036063929600947
case:religious,0.00018301343678545502,-0.00038271030835316833,0.0007185629586862114
HR-dummy -> HR-dummy,0.00013618156498938948,-0.0006836933688979756,0.00012200090422801008
HR-pro -> HR-dummy,0.00013353476259229084,0.000581133296523519,-0.0002934131987380012
HR-dummy -> deepResearch Inc.,-0.00012450990467112336,0.0004979301517282914,0.00035546104767255075
Front Desk -> HR-dummy,8.924893974178402e-05,0.0007310337450821801,-0.0006079863709087935
Screening Interview -> Background Check,-8.736048453168453e-05,-0.0006094900552454547,5.349700979634896e-06
case:yearsOfEducation,8.477693669711454e-05,0.00014242104582521236,0.0001550031809515381
case:gender,6.354554804902943e-05,0.0008184018357734353,-0.00022473498635842414
Senior Partner -> Senior Partner,0.0,0.0,0.0
Make Job Offer -> Make Job Offer,0.0,-0.0027733733205307235,-0.011258547023696925
Hand In Job Application -> Telephonic Screening,0.0,0.0,0.0
