Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,-0.05478232566853597,-0.24160838319523942,0.0753964597238289
Make Job Offer -> Application Rejected,-0.014511026050765272,,
Coding Interviewer -> Senior Partner,-0.013076644297501308,0.021600609181857754,-0.08491631352353345
ML Interview -> Backend Interview,0.008050403200047105,0.019502746512169485,0.023270865484613136
Senior Partner -> HR-pro and Senior Partner,-0.007342266414361862,-0.009967059645630513,-0.061296437632996616
Coding Interviewer -> HR-dummy,-0.007273328964604335,-0.006978443705008205,-0.011814791014089315
case:yearsOfEducation,-0.007250612141706567,-1.9550174905572875e-05,0.0024420305335635063
Frontend Interview -> ML Interview,-0.007088577621750821,-0.055806494213503574,-0.003824028870448609
Senior Partner -> Coding Interviewer,-0.006320754872379433,-0.006876755163891686,-0.0746494566412383
ML Interview -> Frontend Interview,-0.006298785803361895,-0.016986561427499818,-0.006703077565281178
Senior Partner -> HR-pro,-0.0050883275201421795,-0.04176720222869468,0.03936498935860182
HR-pro and Senior Partner -> HR-pro and Senior Partner,-0.00496891778585345,-0.056963917518892085,0.013224933031229005
HR-pro and Senior Partner -> HR-pro,-0.004752094845086889,0.020321991684290473,-0.006964271310715401
HR-pro -> Coding Interviewer,0.004628609374411641,0.007960879929420938,-0.04442020733971246
Screening Interview -> Coding Interview,-0.0045384578975585085,0.029585498020699718,0.009610604028042858
HR-dummy -> deepResearch Inc.,-0.0045110026160692165,0.038532277203032386,-0.01234598272872817
HR-pro and Senior Partner -> Senior Partner,0.00392067479092093,0.04153466733896406,-0.08680796588762515
HR-pro -> deepResearch Inc.,0.0038263679201688792,0.007734006950956799,-0.08006653016305557
Backend Interview -> Behavioral Interview,-0.003773311055979825,-0.02069317130378017,-0.01793094481815902
Backend Interview -> ML Interview,0.003542455046871886,0.05151292346097299,-0.028616229308016893
Extensive Background Check -> Coding Interview,-0.0034692020092139267,-0.052892802190275943,-0.04704507522273948
HR-pro -> HR-dummy,-0.003448996740931025,0.010449189658501983,0.008665761350951883
HR-pro -> Senior Partner,0.003259164685452428,0.005781963504261375,-0.011902347354798306
Coding Interview -> ML Interview,0.0030955299981257948,-0.009526702117636662,-0.006930709245879164
Behavioral Interview -> Behavioral Interview,-0.002890306532242832,-0.030066695295288593,-0.03529718925890707
Senior Partner -> Senior Partner,-0.0028588051535217733,-0.013190421063588576,0.024500101552083316
Application Rejected -> Application Rejected,-0.0028171223204006674,0.044810990815424834,-0.018823157841815492
Behavioral Interview -> Make Job Offer,-0.0026123992948569015,-0.010226792134055565,-0.03394004496473083
HR-dummy -> HR-pro,-0.002425517804108554,-0.050469966802146826,-0.01029880720510072
case:citizen,0.0024060186403856237,-0.009676576284547008,0.014352151724174233
case:german speaking,0.0022462626399614343,-0.0013113545366633106,-0.01892179759910928
Frontend Interview -> Application Rejected,0.0021157347054181095,-0.0021163262718320837,-0.039450746881767126
Behavioral Interview -> Application Rejected,-0.001899556332308767,-0.011650775122797673,0.01719341145997336
Make Job Offer -> Make Job Offer,0.0017730151071722172,-0.023406500448992448,0.02488114415858981
HR-pro and Senior Partner -> HR-dummy,0.0017708606985556534,0.03674540233871862,0.003517054011733193
Senior Partner -> deepResearch Inc.,0.0016937298535689223,0.03984494617840052,-0.01834401322244148
Front Desk -> HR-dummy,0.001616643853498237,-0.0033812403623098342,-0.019240674421612237
Frontend Interview -> Backend Interview,0.0016104807297000426,0.02459737866899905,-0.09283751283196982
deepResearch Inc. -> Coding Interviewer,-0.001567654594807674,-0.007504442413987939,-0.05044975628857775
HR-pro -> HR-pro,0.0015255659090282724,-0.025420582772421475,-0.013133444108463172
HR-dummy -> Coding Interviewer,0.001452627684058712,-0.00019232740083914912,-0.0041149452912784745
Online System -> HR-pro,0.0014166144019700766,0.003992691152939829,0.016137441402565473
Coding Interviewer -> Coding Interviewer,0.0014059413508612057,-0.13160599829263983,0.07189360010322068
Online System -> HR-dummy,-0.0013067558644632023,-0.0058742429100538725,0.01965603861185209
Front Desk -> HR-pro,-0.0012494632644071781,0.010278478055098772,0.010117608342262116
Frontend Interview -> Behavioral Interview,-0.0010746957056234022,-0.07868274663359619,-0.010469247306194465
Coding Interview -> Frontend Interview,0.0010323095604095616,-0.028190084226890528,-0.004087091080266197
Screening Interview -> Extensive Background Check,-0.0009785881748115195,-0.008536236068569066,-0.00033767916831006827
