Feature,Importance_High,Importance_Medium,Importance_Low
Application Rejected -> Behavioral Interview,-0.15680043857163894,-0.09126735859740727,-0.08877603855359148
Senior Partner -> HR-pro and Senior Partner,-0.08263010998623836,-0.04191725739160031,-0.044098550025796344
Behavioral Interview -> Make Job Offer,-0.07287476374056889,-0.05644360107815338,-0.03776517040255835
Frontend Interview -> Behavioral Interview,-0.07204736087836928,-0.07815778069834749,-0.04110348319032211
Behavioral Interview -> Behavioral Interview,-0.07156538696083173,-0.10098751761878344,-0.04878869655297386
Behavioral Interview -> Application Rejected,-0.05709815933561355,-0.12671933069484548,-0.1247846793108653
HR-pro and Senior Partner -> Senior Partner,-0.05454821677426103,-0.042802148665271225,-0.0666614465438844
HR-pro and Senior Partner -> HR-pro,-0.054258763614806096,-0.05736426632219532,-0.03393982181333176
Coding Interview -> Frontend Interview,-0.05097509915193037,-0.018449105284554977,-0.011064001363296877
Extensive Background Check -> Coding Interview,-0.04618237677656116,-0.027574520592959895,-0.013850637034967611
Frontend Interview -> ML Interview,-0.044364210369635046,-0.033313580569184216,-0.016029109799147942
HR-pro and Senior Partner -> HR-pro and Senior Partner,-0.038463431726617245,-0.07204846546292613,-0.0360011604467204
HR-dummy -> HR-pro and Senior Partner,-0.037504674731557705,-0.04190921600922681,-0.05903293859902958
ML Interview -> Behavioral Interview,-0.03536248673338488,-0.1075738569464632,-0.13268638852447528
Backend Interview -> Behavioral Interview,-0.03156208216544245,-0.04347849611131864,-0.03895770379740107
Coding Interview -> ML Interview,-0.02983767750552308,-0.022016059941581973,-0.007144001155487027
Coding Interviewer -> HR-dummy,-0.025907671177717206,-0.007579402258944929,-0.009544199622796627
Frontend Interview -> Backend Interview,-0.024461445611676135,-0.019338317796180185,-0.027485458233411097
HR-pro -> Coding Interviewer,-0.024221727389063964,-0.03472138572287421,-0.024720938931527596
Screening Interview -> Coding Interview,-0.0192107728495459,-0.006944273521250736,-0.011773642143787165
ML Interview -> Frontend Interview,-0.018634968174817693,-0.03955053570372673,-0.006875606565512974
Coding Interview -> Backend Interview,-0.01595158774052829,-0.013760451557927267,-0.006368479101581985
Backend Interview -> ML Interview,-0.014714936171284703,-0.007387316697156601,-0.002686109557622024
Coding Interviewer -> Coding Interviewer,-0.014249236486033795,-0.13868687636818505,0.06516396700934077
Backend Interview -> Frontend Interview,-0.013949006085389093,-0.0074444215630383535,-0.014625023744196048
Application Rejected -> Application Rejected,-0.013337668058096946,-0.014627088730978335,-0.004174978916536218
Frontend Interview -> Application Rejected,-0.010256764808537454,-0.012232183266124323,-0.00959574933841632
HR-dummy -> Coding Interviewer,-0.009472529338094782,-0.006671311951129684,-0.0024908323049418735
HR-pro and Senior Partner -> HR-dummy,-0.009384459952865253,-0.02690414550827367,-0.042620800255654
Make Job Offer -> Application Rejected,0.00910944527524991,,
Coding Interviewer -> Senior Partner,-0.008845259500340425,-0.00048296172684911666,-0.007648244143082995
Background Check -> Coding Interview,-0.008409176503682971,-0.010310588769145743,0.0011672991034089263
Senior Partner -> Coding Interviewer,-0.006979812927906656,-0.013635989196983616,-0.005887942013867338
Backend Interview -> Application Rejected,-0.005109433163007307,-0.006765286133631551,-0.010071455665238935
Senior Partner -> Senior Partner,-0.003463750849941689,-0.013587895138898715,-0.0044138605508962595
Application Rejected -> Make Job Offer,-0.002698588024965873,0.0025548583778020003,-0.013319825263612448
HR-pro -> HR-pro,-0.0024849429804130324,-0.0008635654694758372,0.0004980309522092383
Screening Interview -> Extensive Background Check,-0.0023407030406257675,-0.000500599253028938,-0.0003311821467574224
ML Interview -> Application Rejected,-0.0015436236073932902,0.0013410015319562012,-0.0012727278068894053
Make Job Offer -> Make Job Offer,0.0015174455101461411,-0.009892459367794683,-0.015616266283688307
deepResearch Inc. -> Coding Interviewer,-0.0013500517140103924,-0.011578185300582465,-0.0049897592749924835
ML Interview -> Backend Interview,-0.001324867561313227,-0.0029925131264645272,-0.001219861353658509
