Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.2039877309992571,0.22520678275750478,0.06716964770838876
Register at ER -> Diagnosis,0.04581048986313401,0.011617788994095886,0.0012821730254161403
Register at ER -> Thorough Examination,-0.01947331862950343,0.009755515177694818,-0.000801713241089939
Examination -> Diagnosis,0.01910619740654758,0.00021280766697232624,-0.0002857545491339426
Register at FD -> Thorough Examination,-0.01699808818554443,0.003816171073210668,0.052314210291589835
Register at FD -> Diagnosis,0.011446510099865106,0.034739074061887365,0.004761191552191344
Thorough Examination -> Diagnosis,0.0107833897859235,-0.001425589816606451,4.438222915780928e-05
Nurse 3 -> Doc. Low,-0.007972221449055395,-0.0016878041334683676,-2.4429120512646845e-05
Nurse 3 -> Doc. Pro,-0.007738540693177932,-0.0003935123035780369,0.0013629271190848948
case:gender,0.0070825439024040735,0.004173844586661894,-0.00036667916038871345
Register at FD -> Examination,0.005881212899108876,0.0011210806400006328,-0.0004913780216246458
Doc. Low -> Nurse 2,-0.005851388307667964,-0.005163664495003843,-0.0013254362620884594
Nurse 4 -> Doc. Low,-0.005621546654298792,-0.0010896865092867914,-0.0008840209619299943
case:age,0.0055309137268427155,-0.005556424442228952,-0.00013811399879554696
Examination -> Thorough Examination,0.005377075951617701,-0.00017562342496127407,-9.175047256934669e-05
Doc. Low -> Nurse 5,-0.0050971595152242725,-0.005441805492493091,0.0002844566087141227
Doc. Low -> Nurse 3,-0.005057072354315557,-0.009613996608100162,-0.0001906321353805301
Doc. Low -> Nurse 1,-0.004812092303187668,-0.0014405979878266979,0.004350330469242836
Nurse 1 -> Doc. Low,0.004760844539821643,-0.0009097797770957532,-0.0009801160697477944
Nurse 5 -> Doc. Low,-0.004718964080148774,-0.0032080240564312822,0.002628022289145465
Register at ER -> Examination,0.0042507294425600545,0.00011266879060589424,-0.0006472767945242704
Doc. Pro -> Nurse 5,-0.004029739917809886,-0.0016783056231521945,-2.1331745729414793e-05
Nurse 2 -> Doc. Low,0.003766386762464634,0.006153424293717431,-0.00047270616160530925
Doc. Low -> Nurse 4,-0.003374204619509299,-0.0039977423911505775,9.375177309080957e-05
case:citizen,0.0033658744060097653,0.0030476953554267354,0.0010925356103814103
Register at FD -> Expert Examination,-0.0030628264981516088,-0.0018301595525872555,0.004810645407571266
Doc. Pro -> Nurse 4,0.0022526907644514335,0.00014095605475128982,-0.0005888176758401059
Nurse 1 -> Doc. Pro,0.0019652064280270736,0.0034054695015205425,0.0010890476568283665
Expert Examination -> Thorough Examination,-0.0019443860887261113,-0.002340247604871171,0.0018903049420946605
Doc. Low -> Doc. Low,-0.001820569908157859,-0.00016433853183263087,-0.0028324812163119163
Expert Examination -> Diagnosis,0.0016174425110378862,0.001134954796032,9.502765521135954e-05
case:underlying_condition,-0.0014424550205460063,-0.0007987166711828206,0.0014611519716326061
Diagnosis -> Treatment,-0.0014139112206830312,-0.020863085238762635,-0.0014062352510711528
Nurse 4 -> Doc. Pro,-0.0012949490037622157,0.0013888249725135104,8.240870029121159e-05
Doc. Pro -> Doc. Pro,0.0012590865554175895,0.0017213723712976466,-0.0009685759591203609
Doc. Pro -> Doc. Low,0.001205664773397138,-0.00037641164715618655,-0.0008791891172137125
Register at ER -> Expert Examination,0.001097674593578831,-0.0004326108242796497,-7.654569092295266e-05
case:german speaking,0.0009097159786594303,-0.0020432773604496554,-0.0008048117992559593
Doc. Pro -> Nurse 1,-0.000858728569934281,-0.002493592501919567,-0.0004349977234878368
Nurse 2 -> Doc. Pro,-0.0008448431165316566,-0.003634916249654542,-0.0015812764252412757
Doc. Pro -> Nurse 2,-0.0007074851045656026,0.0011119189614501427,-0.0029178389134564757
Doc. Low -> Doc. Pro,-0.0006919457766524194,0.00010232699417398704,0.00010228884684409055
Treatment unsuccessful -> Diagnosis,0.00045828232607376224,-0.026264729360126565,-0.0030065020042388496
Nurse 5 -> Doc. Pro,-0.00042137440316506917,-0.0012866615847714976,-0.00027198835863902627
Doc. Pro -> Nurse 3,-0.0003337835869957831,-0.003305449228472583,-0.00016388602556670074
Treatment -> Treatment unsuccessful,-0.00013519798413345608,-0.02870185555595294,-0.0005029524149208056
case:private_insurance,-1.5416257458460688e-05,0.0007174833363586528,0.0038169285644615338
Treatment unsuccessful -> Discharge,,,0.013579238046794482
Nurse 5 -> Nurse 4,,,-0.0002187781580986515
Nurse 5 -> Nurse 3,,,0.0025273651727039004
Nurse 5 -> Nurse 2,,,-0.0004303440085770896
Nurse 5 -> Nurse 1,,,-0.001328006029043943
Nurse 4 -> Nurse 5,,,-0.0052420931279394106
Nurse 4 -> Nurse 3,,,-0.001566644381769305
Nurse 4 -> Nurse 2,,,-0.0017592320455841449
Nurse 4 -> Nurse 1,,,0.0
Nurse 3 -> Nurse 5,,,0.0
Nurse 3 -> Nurse 2,,,-0.002978422619133328
Nurse 3 -> Nurse 1,,,0.009528454403938326
Nurse 2 -> Nurse 5,,,-0.003369351163731829
Nurse 2 -> Nurse 4,,,-0.0025458168876799562
Nurse 2 -> Nurse 3,,,-0.0011361306341222924
Nurse 2 -> Nurse 1,,,0.0002136408123763689
Nurse 1 -> Nurse 5,,,0.0005314809842292812
Nurse 1 -> Nurse 4,,,0.0
Nurse 1 -> Nurse 3,,,-0.001496703483611525
Discharge -> Treatment,,,-0.0015858258401475415
Discharge -> Diagnosis,,,0.006130662168699681
Diagnosis -> Discharge,,,0.007974310774307724
