Feature,Importance_High,Importance_Medium,Importance_Low
Nurse 3 -> Doc. Pro,0.00479021921256889,0.00012405851383569884,7.963743046876371e-05
Doc. Pro -> Nurse 1,0.00151568525313392,5.363821781170186e-05,8.034959008840037e-05
Nurse 5 -> Doc. Pro,0.0013545345128845466,5.7862897973996955e-05,7.450004640897887e-05
Doc. Pro -> Doc. Low,0.0007131942238825815,0.000114327329425869,0.00028783367077004794
Doc. Pro -> Nurse 5,0.0006970836895418064,6.62628762162445e-05,4.7372162685043686e-05
Doc. Low -> Nurse 5,0.0006040119731736788,5.831908424950114e-05,4.315427208208469e-05
Doc. Low -> Nurse 3,0.0005111539393387033,4.248931665500013e-05,5.528123746516168e-05
Nurse 4 -> Doc. Low,0.0004512279253480153,6.800426874487285e-05,6.94713820787802e-05
Doc. Low -> Nurse 4,0.0003957538619118739,5.134376499091515e-05,0.00033707731229354175
Register at FD -> Diagnosis,0.000328938943827563,2.833028424036726e-05,5.690549920479985e-05
Nurse 5 -> Doc. Low,0.0003053685038484457,8.964942715576376e-05,5.034233002669095e-05
Diagnosis -> Treatment,0.00026054772584530126,7.428820745127096e-05,0.00010105585608891569
Treatment unsuccessful -> Diagnosis,0.000254403100838233,8.010666197754516e-05,9.759075281410721e-05
Treatment -> Treatment unsuccessful,0.00024561724025208364,7.25500208279421e-05,9.802724321813807e-05
case:age,0.00023418072108494968,0.0002462516040940913,0.00023157160395763368
Doc. Pro -> Doc. Pro,0.0001859505906461958,0.0001312699234774625,0.00015854142273562802
Doc. Pro -> Nurse 4,0.00017242314419740117,7.177094316786206e-05,5.608531359607638e-05
Nurse 1 -> Doc. Low,0.00015886310159602052,0.00023941601107021045,0.00011507748920451926
Nurse 2 -> Doc. Pro,0.00015411712772207375,0.00011630947454344535,0.00010158376090998688
Nurse 1 -> Doc. Pro,0.0001532106685005752,6.387850283607675e-05,0.0001336262280438973
Register at ER -> Examination,0.00015020468698907888,0.00020421552278868533,0.0001201748742035076
Examination -> Thorough Examination,0.0001405305734655689,0.0001415191782476527,0.00010914580516854997
Doc. Low -> Doc. Low,0.00014003898371021608,0.00018577672784429028,0.0001821237345493608
Nurse 2 -> Doc. Low,0.0001386240565021745,0.00011626126247845842,9.460282146776073e-05
Expert Examination -> Thorough Examination,0.00013607406737563694,0.00010333308535943622,9.989475413527818e-05
Doc. Low -> Doc. Pro,0.00013300722609256563,0.00029374780644716205,0.00017486167481705535
case:gender,0.00013072742268376304,0.00012078646878415812,0.00011254061424634783
Register at ER -> Expert Examination,0.00013007894691604828,9.86078756166687e-05,0.00011022438549214268
case:citizen,0.00012638654883799684,0.00012030613283046929,0.00011764619588977497
case:private_insurance,0.00012562654392644915,0.0001318768611827995,0.00011627332756660842
case:german speaking,0.00012292216869021712,0.00013354188494448324,0.00013360530136528615
case:underlying_condition,0.00012245086860391874,0.0001259119774827065,0.00011218660425186538
Thorough Examination -> Diagnosis,0.00011931880267380807,0.0001329959247933456,0.00011748816172762628
Register at FD -> Expert Examination,0.00011779389096083068,0.00011430458575508045,8.535680515023252e-05
Register at FD -> Thorough Examination,0.00010619381776133695,7.111284417020601e-05,6.555760280368493e-05
case:protected,9.994026291022669e-05,0.00010507913523179167,0.00015341971452500656
Doc. Pro -> Nurse 3,9.651497954996495e-05,6.724881229709275e-05,4.5532139354416994e-05
Expert Examination -> Diagnosis,9.638821083871958e-05,0.00011796199302371788,0.00011323387672326472
Doc. Low -> Nurse 1,9.450879348672969e-05,7.68760699591938e-05,3.9701484246010266e-05
Register at ER -> Diagnosis,8.878009092430338e-05,6.876335046018074e-05,3.8854893420532336e-05
Nurse 3 -> Doc. Low,8.526834502593954e-05,9.650663225420278e-05,0.0001579826219494408
Nurse 4 -> Doc. Pro,8.206033270917884e-05,3.664876005755902e-05,0.00048081527826576866
Examination -> Diagnosis,7.605231956765e-05,0.0001839382660129189,0.00014633831749898176
Register at FD -> Examination,6.528989950496719e-05,0.00011829372444534792,0.00014151692148069652
Doc. Pro -> Nurse 2,5.799320666993053e-05,7.75387647957613e-05,4.8304385860747675e-05
Doc. Low -> Nurse 2,2.9826108261971767e-05,5.964651326265974e-05,7.73943398941392e-05
Register at ER -> Thorough Examination,1.9551324893305767e-05,5.585547272858759e-05,0.0015147111670811213
Treatment unsuccessful -> Discharge,,,5.311290639922789e-05
Nurse 5 -> Nurse 4,,,6.417594116389564e-05
Nurse 5 -> Nurse 3,,,1.7311903894642732e-05
Nurse 5 -> Nurse 2,,,9.57254119042162e-05
Nurse 5 -> Nurse 1,,,8.91208992064193e-06
Nurse 4 -> Nurse 5,,,4.663717779830382e-05
Nurse 4 -> Nurse 3,,,5.056216239368171e-05
Nurse 4 -> Nurse 2,,,8.83369766965133e-05
Nurse 4 -> Nurse 1,,,0.0
Nurse 3 -> Nurse 5,,,0.0
Nurse 3 -> Nurse 2,,,1.1845253208685543e-05
Nurse 3 -> Nurse 1,,,7.359773457267269e-05
Nurse 2 -> Nurse 5,,,2.4588773628935953e-05
Nurse 2 -> Nurse 4,,,3.743403982671107e-06
Nurse 2 -> Nurse 3,,,-8.728408995853872e-05
Nurse 2 -> Nurse 1,,,8.801790869734266e-06
Nurse 1 -> Nurse 5,,,-3.0625972451752064e-06
Nurse 1 -> Nurse 4,,,0.0
Nurse 1 -> Nurse 3,,,3.5653624063668417e-05
Discharge -> Treatment,,,4.650105697923975e-05
Discharge -> Diagnosis,,,5.997655558373058e-05
Diagnosis -> Discharge,,,0.00010005903616045726
