Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.014708504850296945,0.025697299641445036,0.015608702465960281
Register at ER -> Thorough Examination,-0.004522365758463596,-0.003484800397123978,-0.001212158065418562
Doc. Pro -> Nurse 4,-0.0033157728796619377,-0.00022999482781779556,-0.0018182345197167
Register at FD -> Thorough Examination,-0.003086350287421556,-0.003896402138937797,-0.001325731911661814
Doc. Pro -> Nurse 5,-0.002801274056674993,0.00022602488448306124,-0.002634866907767107
Examination -> Diagnosis,-0.0022534727848146042,-0.00023370845453698575,-0.00031988143389082957
Doc. Low -> Nurse 2,-0.0022394084168171893,-0.002164576277821274,-0.0015026136143688658
Register at FD -> Diagnosis,-0.002161802296347396,-0.00383055147479169,-0.0030414156473246175
Doc. Pro -> Nurse 1,-0.0020490399182289606,-0.00539665586235814,-0.001788020652040202
Doc. Low -> Nurse 1,-0.0020345757038661622,-0.00010811655021381881,0.0014664888409874539
Nurse 5 -> Doc. Pro,-0.0014037303012611074,-0.0005123982017364915,-0.002242058685201252
Nurse 4 -> Doc. Low,-0.0012963202529740127,-0.004300312502539892,-0.002044951321596752
Nurse 4 -> Doc. Pro,-0.001270288886979651,0.00011048814673215255,-0.0010699572737442706
Register at FD -> Expert Examination,-0.0012449607220217432,-0.0006119349856285353,0.0006003186355046338
Register at FD -> Examination,-0.0012257162139954001,-0.0005894418823886342,-1.1967596094283894e-05
Nurse 3 -> Doc. Low,-0.0011603756719854245,-0.0009872847149683243,-0.00014308108297157013
Expert Examination -> Diagnosis,-0.0010466852153051284,-0.0010488476007084466,-0.0003322102238014248
Doc. Pro -> Nurse 3,0.0010136328377790193,-0.00010003492828747846,0.001259223071538388
Doc. Low -> Nurse 4,-0.0009492207016337621,-0.0015995963253743798,-0.001376396379697647
Register at ER -> Diagnosis,-0.0007192535159397856,-0.002826771907622926,-0.0023296135392708904
Doc. Low -> Nurse 3,-0.0007110147579668182,-0.00517059060751443,-0.0025195344668137993
Doc. Pro -> Nurse 2,-0.0006738842716232258,-0.0006968205494200274,-0.001843317912650532
Nurse 1 -> Doc. Pro,-0.0006426636924884482,-7.197465197935592e-05,-0.00039310343042341464
Nurse 5 -> Doc. Low,-0.0006179711607624599,-0.0027698058465500243,0.000523968075505757
Nurse 1 -> Doc. Low,-0.0005236452761415404,-0.0002107349707040524,-0.0010548007094695563
Register at ER -> Examination,-0.0004996386939684452,-3.7020678864057784e-05,0.00021363999434388672
Nurse 2 -> Doc. Low,-0.0004570573590347065,-0.0005490026915883001,0.0005594240278126396
Doc. Pro -> Doc. Low,-0.00032391908354616623,4.5918484156280974e-05,-3.344808293430806e-05
Nurse 2 -> Doc. Pro,-0.00026831112143313316,-0.00026144087294778864,-0.0008166221803188319
Thorough Examination -> Diagnosis,0.0002664718521442525,-0.00018173935751852085,0.0001386477893239247
Doc. Low -> Doc. Low,-0.00023426612338819106,-0.00014933833499427982,-0.0008917379221346121
Expert Examination -> Thorough Examination,-0.00022939253112421793,-0.00036678835268547886,0.001159835167600033
Register at ER -> Expert Examination,-0.0002214124537597495,-0.0013912568560367601,-0.0004508691718744273
Nurse 3 -> Doc. Pro,-0.00020381802940930838,-0.00031300044150693525,-0.000317616647340648
Doc. Low -> Nurse 5,-0.00018933981495486996,-0.0037287513665242066,0.0022584052634302644
Doc. Pro -> Doc. Pro,0.00016876060703013116,-0.00028976534769746136,-0.0012577351154983514
Examination -> Thorough Examination,-0.00015141404514865052,-0.00015699124441987856,0.0005193337918862306
case:citizen,0.00011651425489848657,0.0002484598952716886,0.00042757509153855703
case:german speaking,-8.464451531638635e-05,-0.00017644920501595,2.351908841436307e-06
case:underlying_condition,-8.308898090353413e-05,1.2003732153050223e-05,-4.3078172351574076e-05
Treatment unsuccessful -> Diagnosis,-7.535790251503698e-05,-0.00025411876227274363,-0.0005491045364113638
case:gender,7.441217712117435e-05,9.740615300310365e-06,-4.730830679833828e-05
Doc. Low -> Doc. Pro,-5.6260191255038425e-05,3.111270556769445e-05,-9.250345758397751e-07
case:age,-4.674557537873874e-05,-1.2367122020487268e-05,3.6845226119320104e-05
case:private_insurance,-3.6482298140227716e-05,-7.654395522894298e-06,0.00020515050685661535
Treatment -> Treatment unsuccessful,2.935921098203379e-05,-0.00045941122810514367,-0.000377848444364345
Diagnosis -> Treatment,-4.85788681898725e-06,-0.0006451522161691526,-0.00255432289050162
Treatment unsuccessful -> Discharge,,,-0.000931861191855545
Nurse 5 -> Nurse 4,,,-0.0001857857495703851
Nurse 5 -> Nurse 3,,,0.0004136352301863177
Nurse 5 -> Nurse 2,,,1.8369425481461285e-05
Nurse 5 -> Nurse 1,,,0.00016852901850213697
Nurse 4 -> Nurse 5,,,-0.0012815675155519713
Nurse 4 -> Nurse 3,,,0.0002059956411788112
Nurse 4 -> Nurse 2,,,0.00028099685169090686
Nurse 4 -> Nurse 1,,,0.0
Nurse 3 -> Nurse 5,,,0.0
Nurse 3 -> Nurse 2,,,-0.0006274509344814459
Nurse 3 -> Nurse 1,,,0.008662174716691043
Nurse 2 -> Nurse 5,,,0.0015914748833562003
Nurse 2 -> Nurse 4,,,-0.0008865062990360579
Nurse 2 -> Nurse 3,,,-0.001121125224756017
Nurse 2 -> Nurse 1,,,0.0003674998427168932
Nurse 1 -> Nurse 5,,,-0.00044313346691729916
Nurse 1 -> Nurse 4,,,0.0
Nurse 1 -> Nurse 3,,,-0.0010467222275280183
Discharge -> Treatment,,,0.00029162401822363266
Discharge -> Diagnosis,,,0.0025002302663034966
Diagnosis -> Discharge,,,9.863535626298348e-05
