Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.5992016548190024,0.7987821742115345,0.5987173627595963
Nurse 4 -> Doc. Pro,-5.509578674787586e-05,-3.6918568418818505e-05,-2.3528417979720994e-05
Doc. Pro -> Nurse 3,-4.03502415782583e-05,-2.5237496584109007e-05,2.3110867419756666e-05
Doc. Pro -> Nurse 1,3.1650812178338685e-05,-1.9237126372955976e-05,4.1009170305351595e-05
Doc. Pro -> Nurse 4,-3.15180623511739e-05,-1.1700486609321905e-05,1.381183314331303e-05
Doc. Low -> Nurse 2,2.788422104633808e-05,4.0126348356413114e-05,4.819844278019723e-06
Doc. Pro -> Nurse 2,-2.4994462787691332e-05,2.6661247756434446e-05,7.228102243679986e-06
Nurse 3 -> Doc. Pro,2.4956191565653998e-05,2.144662129097909e-06,5.659960856724684e-05
Doc. Low -> Nurse 3,-1.5590899094067495e-05,2.5420737474198436e-05,2.5638048316032186e-05
Nurse 5 -> Doc. Pro,-1.3163932819710197e-05,-1.7372297979402562e-05,-1.6287007210771343e-05
Nurse 4 -> Doc. Low,-1.2473916935193535e-05,-2.9424080154982784e-05,2.3022470421289048e-05
Nurse 2 -> Doc. Low,-1.0686205507362298e-05,-6.270577873765234e-06,2.0415535974811883e-05
Nurse 1 -> Doc. Low,-9.781324841783941e-06,-2.614860432813191e-06,0.00017539397299877317
Register at FD -> Thorough Examination,-9.08697970793719e-06,-2.5784003151280827e-05,-1.650426154093316e-05
Expert Examination -> Diagnosis,-8.550391639860534e-06,-3.6563269403272676e-06,5.2142577043521307e-05
Register at ER -> Expert Examination,-8.243732937861559e-06,-1.6166911091441002e-06,1.84140040979858e-05
Doc. Low -> Doc. Low,7.861020020453536e-06,6.009520935053333e-06,0.0002737168070569318
Nurse 1 -> Doc. Pro,-7.470286364011288e-06,-2.0957805805466537e-06,3.815882544552267e-05
Doc. Low -> Nurse 1,7.313934679592339e-06,-2.2950274644333624e-05,2.0111646299356455e-05
Register at FD -> Diagnosis,-7.149686658031118e-06,4.646697098771353e-06,0.00018684302938424196
Doc. Pro -> Doc. Low,-6.425329277367546e-06,-6.79419415148396e-07,9.364566138551076e-05
Register at FD -> Expert Examination,-6.343302589084462e-06,1.6030855214215669e-06,3.3140995987256195e-05
Doc. Pro -> Nurse 5,-5.988981529809387e-06,-2.3420387460784458e-05,2.1360166472660396e-05
Examination -> Diagnosis,-5.786962838194731e-06,-5.616508971804746e-06,0.00010454762373698489
Doc. Low -> Nurse 5,5.436446204205886e-06,-4.133374364007174e-05,-1.9137919661703824e-06
case:german speaking,5.117909837636865e-06,-9.699865706563293e-06,6.487193156183913e-05
case:age,-4.896212809709548e-06,-5.221049309381469e-06,0.00011002712622503298
Thorough Examination -> Diagnosis,4.615611593704976e-06,1.113051409765058e-05,5.572655719517795e-05
Doc. Low -> Doc. Pro,4.572281661060838e-06,3.950896712369112e-06,4.484182370483959e-05
Register at ER -> Thorough Examination,-4.240293236558095e-06,-2.695957600801599e-05,-9.93172206455718e-05
Nurse 3 -> Doc. Low,4.020440829937246e-06,-2.6028720568413565e-06,4.678867745055601e-05
Treatment unsuccessful -> Diagnosis,-3.895730730303024e-06,3.5519583675732145e-07,1.62394105218504e-05
case:underlying_condition,3.661928211024418e-06,4.69847422327066e-06,7.4282785835922e-05
Register at ER -> Diagnosis,-3.6263853057126047e-06,2.7732098133387733e-05,7.671189962833586e-05
case:gender,-3.389278090972502e-06,-5.948991838327235e-07,6.229383092256184e-05
Nurse 5 -> Doc. Low,-3.3395234466693293e-06,-1.3854794875933003e-05,4.44216249158633e-05
Doc. Low -> Nurse 4,-3.2635781657026717e-06,1.5131762565929547e-05,-4.0941955440686474e-05
Nurse 2 -> Doc. Pro,2.8739821215623144e-06,-2.0620090801277235e-06,2.6486955823882808e-05
Register at FD -> Examination,-2.365165060560534e-06,6.141437082924978e-06,2.8310920310525014e-05
Expert Examination -> Thorough Examination,1.8870062981182247e-06,-3.867967515005968e-06,4.7491929998070974e-05
Register at ER -> Examination,-1.7651864200629472e-06,-1.1320063365986723e-05,0.00010636222242564582
Diagnosis -> Treatment,1.3375941581473516e-06,-2.3263342525302276e-06,3.861641734336634e-05
Doc. Pro -> Doc. Pro,-1.3127848042957698e-06,3.6482086662391178e-06,7.151761910619299e-05
Treatment -> Treatment unsuccessful,1.147760828329863e-06,9.617462777914202e-06,1.1963455481031217e-05
case:citizen,-6.977728753509853e-07,-3.2914242904712544e-07,4.52102382740599e-05
