Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.17081332137801125,0.2500674156700831,0.14571050096237154
Register at ER -> Diagnosis,0.03599715454941276,0.013165849200633389,0.012550403890818119
Examination -> Diagnosis,0.025559975644662097,0.000836886098961481,-0.002285253361413137
Thorough Examination -> Diagnosis,0.020286335639097895,-0.004617636474178891,0.0004606859484261017
Doc. Low -> Nurse 2,-0.018636805434702967,-0.023698821578595364,-0.008333041070992175
case:gender,0.016017818275038127,0.008348822963859123,-0.0005117370723260735
Expert Examination -> Thorough Examination,-0.015571013593257032,-0.024861278999410184,-0.002102941836570812
Nurse 4 -> Doc. Low,-0.01255443160168277,-0.015470035399539362,-0.0186357500261349
Doc. Low -> Nurse 3,-0.012442677485010125,-0.04007737846140266,-0.010085215943730845
Register at FD -> Expert Examination,-0.012021441483028255,-0.00350062940413928,0.005040636181441694
Register at FD -> Diagnosis,0.01188224622897805,0.009029844970391786,0.017330537748498163
Doc. Low -> Nurse 4,-0.011704131437700428,-0.012985181865544445,-0.0014227325049302915
Nurse 5 -> Doc. Low,-0.011584535720982914,-0.015267827214215804,-0.004098745954307657
Register at ER -> Thorough Examination,-0.010014453092653728,0.0039471586186280066,-0.0005111595953633022
Doc. Low -> Nurse 5,-0.00926696351490423,-0.014668447685788153,-0.009133298347451194
Register at FD -> Examination,0.009096914570599602,-0.0004862078434336342,-0.002463628580759674
case:citizen,0.008663450830823054,0.009543312811169984,0.0016882252794665244
Nurse 3 -> Doc. Pro,-0.008185409730708625,-0.0008299822772344339,0.0004851432213736271
Doc. Low -> Nurse 1,-0.008067404331921966,-0.014528013137226837,-0.0010160835179131127
Doc. Pro -> Nurse 5,-0.006610183286365215,-0.006363652538253039,-0.0036163169901417083
Register at FD -> Thorough Examination,-0.004090111116841812,0.0036299649090379763,0.046754074223286986
Nurse 5 -> Doc. Pro,-0.003325659466097991,-0.006034083906910449,-0.004628198824744613
case:age,0.0027080638699480625,-0.00999211804671738,0.0014020738481238656
Nurse 4 -> Doc. Pro,-0.0026344868923978354,-0.003965461853815742,-0.004499318623011295
Doc. Pro -> Doc. Pro,0.0025226432010598786,-0.0033681023691340623,-0.003284293841572798
Nurse 2 -> Doc. Pro,-0.002510137820166752,-0.0009870612529775933,-0.005713181298416451
Doc. Low -> Doc. Low,-0.002228930682728868,-0.0004052941560632008,-0.008800363861345376
Register at ER -> Examination,0.0019680471738110924,0.00023355323057513668,-0.009458233615212494
Nurse 3 -> Doc. Low,-0.0011747860726382263,-0.004027914268799217,1.2136936099223565e-05
Doc. Pro -> Doc. Low,-0.001143918730804696,0.005445636971379073,-0.003224962452096852
Doc. Pro -> Nurse 4,0.00110092016711857,0.00037713374258496946,-0.005927788539430328
Doc. Pro -> Nurse 2,-0.000879589227010974,-0.0022823215292406356,-0.004912473740841588
Doc. Pro -> Nurse 3,-0.0008137312882608352,-0.006692219794934661,-0.006836061506494018
Treatment unsuccessful -> Diagnosis,0.000736983451469414,-0.07567271635125872,-0.03584952657849848
Treatment -> Treatment unsuccessful,-0.0006851457534948223,-0.06605291170204844,-0.04169477445501394
Diagnosis -> Treatment,-0.0006172791159542966,-0.05484019252586676,-0.003315518410147314
case:private_insurance,-0.0005939650221052401,-0.002375105490757023,0.020570450185859013
Register at ER -> Expert Examination,-0.0005706778474171611,-0.006596898677216158,0.0004257348120497328
case:german speaking,0.0005165890792367539,-0.012550647225758937,-0.00834031022970084
Doc. Low -> Doc. Pro,0.00046111502778166017,0.00045505911775952236,0.0015943350336255191
case:underlying_condition,-0.0004572087958022126,-0.0005700172892727159,0.02503010058927018
Doc. Pro -> Nurse 1,0.00045116321249516635,-0.00687523039210494,-0.013330994576874755
Expert Examination -> Diagnosis,-0.00039067906929496495,0.0021415348538498294,0.0031122526089547393
Nurse 1 -> Doc. Low,0.0002011741021479705,-0.0026820574222871985,-0.005137472716104952
Examination -> Thorough Examination,0.00014174573616918218,-0.0038216951753657956,-0.00449376906210726
Nurse 1 -> Doc. Pro,-1.7368035034594393e-06,0.0016320871127070674,-0.0010215901959745033
Nurse 2 -> Doc. Low,1.4595222199084712e-06,0.0024559561272802844,-0.005652618187248175
Treatment unsuccessful -> Discharge,,,0.013055577672960941
Nurse 5 -> Nurse 4,,,-0.0018638293490727427
Nurse 5 -> Nurse 3,,,0.001381161638888633
Nurse 5 -> Nurse 2,,,-0.005325235958584961
Nurse 5 -> Nurse 1,,,0.002109398466489993
Nurse 4 -> Nurse 5,,,0.0020292373655947326
Nurse 4 -> Nurse 3,,,0.0016445401380321498
Nurse 4 -> Nurse 2,,,0.0037432216924519228
Nurse 4 -> Nurse 1,,,0.0
Nurse 3 -> Nurse 5,,,0.0
Nurse 3 -> Nurse 2,,,-0.008347279920907915
Nurse 3 -> Nurse 1,,,-0.0017666756360447552
Nurse 2 -> Nurse 5,,,-0.0011043939124958098
Nurse 2 -> Nurse 4,,,0.00011488206769706445
Nurse 2 -> Nurse 3,,,0.0005864696393750546
Nurse 2 -> Nurse 1,,,-0.002261740035218889
Nurse 1 -> Nurse 5,,,-0.00047817168196209405
Nurse 1 -> Nurse 4,,,0.0
Nurse 1 -> Nurse 3,,,-0.001096815550428985
Discharge -> Treatment,,,0.002338736377509755
Discharge -> Diagnosis,,,0.001608542520169309
Diagnosis -> Discharge,,,-0.0026006681981355344
