Feature,Importance_High,Importance_Medium,Importance_Low
Register at ER -> Diagnosis,0.33899148207685925,0.21867718141930131,-0.003934103764756493
Register at FD -> Diagnosis,0.14912814736624883,0.2441288347583308,-0.004734406382730727
Examination -> Diagnosis,0.13250920134230773,0.009580310206493754,-0.00020696351992421534
case:protected,0.11109580047075371,-0.029414416928688042,0.02456436850353917
Register at ER -> Thorough Examination,-0.08477893100949091,0.23421922484870833,0.003186405863415076
Register at FD -> Thorough Examination,-0.07307926303542772,0.14712024686908298,0.008526424149410773
Doc. Low -> Nurse 3,-0.06913721081105376,-0.03871272070331409,0.001901265365987216
Doc. Low -> Nurse 2,-0.062009268660260373,-0.014415692133759461,-0.00367455296347373
Nurse 3 -> Doc. Pro,-0.061066955041077134,0.005080172881506089,0.0006082121476907832
Thorough Examination -> Diagnosis,0.05833443524225128,-0.0273477336818082,-0.0009433461700291605
case:gender,0.05738479231102134,0.021830376206857193,-0.00037912832273085675
Doc. Low -> Nurse 1,-0.04613457689465873,-0.001734641380500758,0.002180460833468802
Doc. Low -> Nurse 4,-0.03711305066048733,-0.005668467645655149,0.0010345632543399628
Nurse 4 -> Doc. Low,-0.03424716759127401,-0.005762509634623163,-0.0028398072540365116
Expert Examination -> Thorough Examination,-0.0337714526188407,-0.03980075360956644,7.129446464393095e-05
Register at FD -> Expert Examination,-0.0320624516860518,-0.01274658311809165,0.002637416991953602
Register at FD -> Examination,0.02983207963373165,0.015486768758697029,-0.00039647139185892966
Nurse 4 -> Doc. Pro,-0.027973354245036608,-0.006448039834364686,0.002267832295159818
Doc. Low -> Nurse 5,-0.02647090287839632,0.001542109054446297,0.0007279028701799678
Doc. Pro -> Nurse 5,-0.02600597130612124,-0.025132903997390925,0.002556738651767142
Nurse 5 -> Doc. Low,-0.023964222927969243,0.016499934737168657,-0.000407405112431499
Nurse 2 -> Doc. Low,0.02109707737159879,0.04466528531425785,-0.0005213357590366632
Nurse 1 -> Doc. Low,0.01977564867382511,-0.0015311093012687549,-0.001799402408572254
Nurse 1 -> Doc. Pro,0.018288343939401076,0.09230892341185605,-5.694671571216717e-05
Register at ER -> Examination,0.01821989948066893,-0.0012432056815604292,-0.0007783683706394416
Doc. Pro -> Nurse 2,-0.016364068069738006,0.04080895831289509,-0.0012064123064304563
Examination -> Thorough Examination,0.015251268381171574,-0.025840839010106594,-0.0012319910839169968
case:citizen,0.014504357570157445,0.04425794869262758,0.0026079326260629193
Treatment unsuccessful -> Diagnosis,0.010514351238823865,-0.17603371934751028,-0.002755207046406121
Nurse 3 -> Doc. Low,-0.010185986971713275,0.003469928510398527,-0.0003175017064636486
Treatment -> Treatment unsuccessful,-0.010169105905509809,-0.18370478404129817,-0.002845176572662709
Expert Examination -> Diagnosis,0.008916521383829637,-0.03322979299767723,-0.0007930699464687059
Doc. Pro -> Nurse 1,0.008682633550275438,-0.012439879186617386,-0.0011386957585526655
Doc. Pro -> Doc. Pro,0.008475594430415056,0.0076049973043818275,-7.661113497739444e-05
Doc. Pro -> Nurse 3,-0.008233351898226498,-0.008916336194091679,0.0016819643214742487
Doc. Pro -> Nurse 4,-0.006801218556136387,0.02215922460615231,-0.003209103063617594
Doc. Pro -> Doc. Low,0.006758123134723409,0.02686523502470986,-0.0004700386006495949
case:underlying_condition,-0.006665432751247921,-0.004757131216924289,0.00017856644404669054
case:german speaking,-0.005121592836984523,-0.044213728821749315,0.0003337022873039407
Nurse 5 -> Doc. Pro,0.004993236159622957,-0.01784502745699217,-0.0012730412557909884
Doc. Low -> Doc. Low,-0.003686303666109489,-0.0025117109230889333,-0.001245067786417878
Register at ER -> Expert Examination,0.002747721531928513,-0.01847195483178494,-0.00017319590548382685
Diagnosis -> Treatment,0.002315478808550697,-0.10672322140918085,-0.0012568792728976379
case:private_insurance,-0.001186232019572327,0.00011894942775594192,0.005599192751456044
Nurse 2 -> Doc. Pro,-0.0008085723831359074,0.0014722935175816238,-0.0013166841952500514
case:age,0.00032840055011646997,-0.030297315399436052,4.759481373627696e-05
Doc. Low -> Doc. Pro,-3.16198684246604e-05,0.00030411043970439005,0.0002111175787404349
Treatment unsuccessful -> Discharge,,,-0.003054375990400705
Nurse 5 -> Nurse 4,,,-0.0019796261923464035
Nurse 5 -> Nurse 3,,,0.0010564694298813484
Nurse 5 -> Nurse 2,,,0.00017163450539226766
Nurse 5 -> Nurse 1,,,-0.00025570705940032785
Nurse 4 -> Nurse 5,,,-0.0023236456086844115
Nurse 4 -> Nurse 3,,,-8.226313387947456e-05
Nurse 4 -> Nurse 2,,,-0.0003495503895680852
Nurse 4 -> Nurse 1,,,0.0
Nurse 3 -> Nurse 5,,,0.0
Nurse 3 -> Nurse 2,,,-0.0008070890572367104
Nurse 3 -> Nurse 1,,,0.02396036476995333
Nurse 2 -> Nurse 5,,,-0.0033810875224512802
Nurse 2 -> Nurse 4,,,-0.0003595852467427259
Nurse 2 -> Nurse 3,,,-0.0025778910692207174
Nurse 2 -> Nurse 1,,,-0.00021421291289769833
Nurse 1 -> Nurse 5,,,-0.00044129271244115856
Nurse 1 -> Nurse 4,,,0.0
Nurse 1 -> Nurse 3,,,-0.001409392652800867
Discharge -> Treatment,,,-0.003796346220802558
Discharge -> Diagnosis,,,-0.0028985091249854097
Diagnosis -> Discharge,,,0.0027301178220974047
