Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.20164571214827692,0.20697775994654818,0.20221633019843316
Thorough Examination -> Diagnosis,0.023208680558930172,-0.003093636109273972,0.0006341277380784999
Examination -> Diagnosis,0.02059944006421306,0.0016325580704698965,-0.0007904406507220658
Register at FD -> Examination,0.011430927934028176,0.0025152631979333184,0.000763129884200862
case:gender,0.010427082573307189,0.0020165380696953936,-0.0006052612188411895
Nurse 4 -> Doc. Pro,-0.007385681570771447,0.011969056175983086,0.00037360210495134374
Doc. Low -> Nurse 1,-0.007378635415151942,-0.002247022203747731,0.010231878170892366
Doc. Pro -> Nurse 5,-0.007142977060759161,0.001022304920785971,0.0003061712552977221
Doc. Pro -> Nurse 2,-0.0065224320056911245,-0.00023051924133388966,-0.007556052125637143
Nurse 3 -> Doc. Low,-0.0061537223696871,-0.006390417133462551,0.00011680435807749382
Nurse 3 -> Doc. Pro,-0.005469471566475944,0.002683541519293917,0.007956819000128238
Register at FD -> Expert Examination,-0.004759772325241643,-0.0014530865379648432,0.0020412537746719236
case:citizen,0.004429328597259021,0.005897763022279154,0.0006211292859393628
Nurse 2 -> Doc. Low,0.004172106026745851,0.004037571328744703,-0.0023325779558610324
case:age,0.003897074527507374,-0.0011421528362307273,0.00040756373831663466
Nurse 1 -> Doc. Low,0.003795060166137635,-0.00034500942666983983,-0.0033521679837488433
Doc. Pro -> Nurse 4,-0.003777270059672132,0.010109562129398326,-0.001712973117231673
Register at ER -> Examination,0.00377581018414863,-0.00018187190397372938,-0.004408172529995488
Expert Examination -> Thorough Examination,-0.003676899372619194,-0.0019091177670916826,-0.00018503862723908343
Examination -> Thorough Examination,0.0036250547393467955,-0.0033409615449653423,-0.000805335159101566
Nurse 2 -> Doc. Pro,-0.003490040207184657,-0.0036853468907418183,-0.0032444294912497293
Doc. Pro -> Nurse 1,0.0032860995600845814,0.0017778971065037918,-0.004259124287831355
Nurse 1 -> Doc. Pro,0.003084152845811407,0.005204903318716812,-0.0014699626858587073
Expert Examination -> Diagnosis,-0.002291012546363067,0.0030188076410270002,0.0007943456588424451
Doc. Low -> Nurse 5,-0.0022710101835865864,-0.0036022907173920934,-0.001988464148718726
Doc. Low -> Nurse 3,-0.0017977698351268612,-0.011416730801451912,-0.000763881417169135
Nurse 4 -> Doc. Low,-0.0017326509509745468,-0.0032236045481029963,-0.002479548810173841
Nurse 5 -> Doc. Low,-0.0016300976612156997,-0.00324992916499018,0.0051476724348628235
Nurse 5 -> Doc. Pro,-0.001385037039079305,0.008367464265282431,-0.0016399505232151349
Doc. Pro -> Doc. Low,0.001271279270111518,0.001819590332623821,-0.004139233998130593
Doc. Pro -> Nurse 3,0.0012506562100564008,-0.003326514997440902,5.530634814008661e-05
Register at FD -> Diagnosis,-0.00122069786386075,0.0,0.0
Treatment -> Treatment unsuccessful,0.0011806476596814574,-0.03264607102267783,-0.009215279323781042
case:german speaking,-0.000867285368202442,-0.0044490864214251835,-0.002911170937055697
Doc. Low -> Nurse 4,0.0008511126571164951,-0.00271433249898674,-0.0014479657337707764
Register at ER -> Expert Examination,0.0008292153366131515,0.0008822597008352909,-0.0006545742585069559
case:underlying_condition,0.000664359169064618,-0.00020665674623046755,0.007208623498626518
Doc. Low -> Doc. Low,0.0006635648466835787,0.0009381742951396555,-0.007145297768774299
Doc. Low -> Nurse 2,0.0006415548283685386,-0.00021335888916565842,-0.0009421451739951277
Diagnosis -> Treatment,0.0005688874346845313,-0.022785852531480657,0.019475579557308897
Doc. Low -> Doc. Pro,-0.0003002534444947472,-0.015454850462607955,0.0006070589076661338
Doc. Pro -> Doc. Pro,-0.0002712859500222576,0.00633319762502633,-0.005674653132060125
case:private_insurance,-8.681559766706897e-05,-0.0012738451438418174,0.013034529445777696
Treatment unsuccessful -> Diagnosis,4.8603550253732006e-05,-0.03186847589251447,-0.01717827654682132
Register at ER -> Diagnosis,0.0,0.0,0.0
Register at ER -> Thorough Examination,0.0,0.0,0.0035133123313090104
Register at FD -> Thorough Examination,0.0,0.0,0.0
Treatment unsuccessful -> Discharge,,,0.0
Nurse 5 -> Nurse 4,,,0.0
Nurse 5 -> Nurse 3,,,0.0
Nurse 5 -> Nurse 2,,,0.0
Nurse 5 -> Nurse 1,,,0.0
Nurse 4 -> Nurse 5,,,0.0
Nurse 4 -> Nurse 3,,,0.0
Nurse 4 -> Nurse 2,,,0.0
Nurse 4 -> Nurse 1,,,0.0
Nurse 3 -> Nurse 5,,,0.0
Nurse 3 -> Nurse 2,,,0.0
Nurse 3 -> Nurse 1,,,0.0
Nurse 2 -> Nurse 5,,,0.0
Nurse 2 -> Nurse 4,,,0.0
Nurse 2 -> Nurse 3,,,0.0
Nurse 2 -> Nurse 1,,,0.0
Nurse 1 -> Nurse 5,,,0.0
Nurse 1 -> Nurse 4,,,0.0
Nurse 1 -> Nurse 3,,,0.0
Discharge -> Treatment,,,0.0
Discharge -> Diagnosis,,,0.0
Diagnosis -> Discharge,,,0.0
