Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.028044436544221944,2.4448191484406428e-32,0.07500011607701515
Register at ER -> Thorough Examination,-0.0173086793900471,6.565112432191157e-32,-0.027045243603421382
Nurse 4 -> Doc. Pro,0.017034610502006345,1.9429804728184032e-31,-0.014800126077516273
Register at FD -> Thorough Examination,-0.015737110114960883,1.5946248430849734e-31,0.018014030681283526
Doc. Pro -> Nurse 2,-0.015497496188492322,2.320376522522703e-31,0.0822907675431628
Expert Examination -> Diagnosis,-0.011060317064237176,-8.61939248288996e-33,0.026535820341608472
Doc. Pro -> Nurse 3,-0.010849924873046226,2.50574022954764e-31,-0.005772324808208001
Examination -> Diagnosis,-0.010682917547800822,1.483136884748982e-32,-0.0034582790093261955
Doc. Low -> Nurse 1,-0.010626017713453909,1.4597584657994585e-31,0.06320969942046921
Doc. Pro -> Nurse 4,0.01048973750191853,2.3795451358765805e-31,-0.03751141184519361
Nurse 3 -> Doc. Low,-0.0104640161540759,1.3821182071215587e-32,0.00010577711924665765
Examination -> Thorough Examination,-0.009966787258673324,1.6756296969103706e-32,-0.012163648923521463
Doc. Low -> Nurse 4,0.009908936256748668,5.588765186609081e-32,0.0299725147119069
Nurse 1 -> Doc. Low,0.008505342841194906,2.0921376024708255e-32,-0.02511453945533239
Doc. Pro -> Nurse 1,-0.008305881590336165,1.7386252892623976e-31,0.015099663952018876
Doc. Low -> Nurse 5,0.00821632442960707,9.136781556670574e-32,0.08938425297805636
Register at ER -> Diagnosis,-0.008167074173200407,2.4141177359595664e-31,-0.033624575214659544
Doc. Low -> Nurse 2,0.0074128187643015845,2.6953585243714717e-31,0.08451129969558521
Nurse 1 -> Doc. Pro,0.0067994165192345815,2.628089521535583e-32,-0.019949402040262083
Nurse 2 -> Doc. Low,-0.005902038466302291,3.441146382423335e-32,-0.012033350572142809
Nurse 2 -> Doc. Pro,-0.0048401622692858205,3.4613790359230945e-32,0.003634851146664695
Doc. Pro -> Nurse 5,0.004613610381508447,8.514998309267882e-32,-0.021649464086224406
case:german speaking,0.004429032197416934,6.002357686935586e-33,-0.006990469685329825
Thorough Examination -> Diagnosis,0.004324398900721508,-1.4776551274772461e-33,0.0021541178492064765
Register at ER -> Examination,0.004161286251625279,2.063930363373791e-33,0.024499801338463016
Register at FD -> Diagnosis,0.003975601266114513,3.388200451216578e-31,0.021011848688692786
Doc. Low -> Nurse 3,0.00394682064078187,9.334420728743188e-32,-0.023129836856755147
Nurse 5 -> Doc. Pro,-0.00391909307654689,2.5171438966848588e-31,-0.008367226007269002
Register at FD -> Examination,-0.003554085051990341,1.9761990753147668e-32,0.009652104499867867
Nurse 4 -> Doc. Low,0.0032534336969879084,9.477172494200058e-32,0.007603272194878476
Doc. Low -> Doc. Low,-0.0032113733829949634,8.679762879700021e-33,-0.0053256984510999025
case:underlying_condition,0.0028370902821192928,-4.014936774759253e-33,0.009376734773412596
Doc. Pro -> Doc. Low,0.002710037392750467,1.9195550678490626e-33,0.00138349924474954
Expert Examination -> Thorough Examination,-0.002656657215703743,8.825902675391972e-33,0.0214542340843547
Register at ER -> Expert Examination,0.002593033779638529,-1.0580533214032621e-32,0.013568207484643921
case:citizen,0.002462527218990627,1.6939732934746208e-32,-0.004429263534411967
Treatment -> Treatment unsuccessful,0.0019401753797987087,2.6497340547837364e-32,-0.014147820054559997
Doc. Low -> Doc. Pro,0.0015980753167479666,-3.567174310867002e-33,0.0002661500287897909
case:gender,0.0013864486207307582,8.793781303622273e-33,-0.00710719472108103
Register at FD -> Expert Examination,0.0009568200900673688,6.0490712246437646e-33,-0.009588203463973401
case:private_insurance,-0.0008817923788558904,2.82682375004332e-33,-0.0028503713655348532
Treatment unsuccessful -> Diagnosis,-0.0006741369825574158,1.4332219462644206e-32,0.01744114425997076
case:age,0.0006203171384572695,7.026136013103938e-33,0.002764601391972098
Diagnosis -> Treatment,0.0005228922774270015,-1.331172977111121e-32,-0.03426236651024238
Doc. Pro -> Doc. Pro,-0.00015653321736420388,6.871675357547937e-33,-0.01436851698792902
Nurse 3 -> Doc. Pro,-9.9009560758875e-05,2.2376154768099015e-32,0.04761027606535147
Nurse 5 -> Doc. Low,-4.891435452280667e-05,1.7829290217076821e-32,0.04202405966798527
Treatment unsuccessful -> Discharge,,,-0.013761184419508844
Nurse 5 -> Nurse 4,,,-0.00958887879399414
Nurse 5 -> Nurse 3,,,0.021372760685436715
Nurse 5 -> Nurse 2,,,0.021571437468124934
Nurse 5 -> Nurse 1,,,-0.002869645135536476
Nurse 4 -> Nurse 5,,,-0.00205856022497568
Nurse 4 -> Nurse 3,,,0.017459291050834408
Nurse 4 -> Nurse 2,,,-0.030441438595861747
Nurse 4 -> Nurse 1,,,0.0
Nurse 3 -> Nurse 5,,,0.0
Nurse 3 -> Nurse 2,,,0.005427159621859218
Nurse 3 -> Nurse 1,,,0.02254919099628488
Nurse 2 -> Nurse 5,,,-0.024756408870605418
Nurse 2 -> Nurse 4,,,-0.009580523746536044
Nurse 2 -> Nurse 3,,,-0.021167791373464466
Nurse 2 -> Nurse 1,,,-0.005325357142703819
Nurse 1 -> Nurse 5,,,0.0025373907595625084
Nurse 1 -> Nurse 4,,,0.0
Nurse 1 -> Nurse 3,,,-0.018982272880730712
Discharge -> Treatment,,,-0.01956572685852171
Discharge -> Diagnosis,,,0.029930711793682507
Diagnosis -> Discharge,,,0.026255987253903268
