Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.025694702953028208,0.02441005321259742,0.0050954357495290705
Register at ER -> Diagnosis,0.01615710199926335,0.0017707268043740231,0.0013870839962863604
Examination -> Diagnosis,0.004778065673845594,0.0004971846386489599,9.928801659736556e-05
Thorough Examination -> Diagnosis,0.0028391169198155705,-0.00022611534016372644,0.0001586197971623546
Register at ER -> Thorough Examination,-0.0025133670919246665,0.0011400835675534854,0.0007753706663730504
case:age,0.0022328368215530697,-0.0005766490920828705,7.21680026982085e-05
Register at FD -> Diagnosis,0.0018552095781642804,0.0033109700305227114,0.0005718189769195963
case:gender,0.001770873373172559,0.00041187365292143533,-5.325403468421603e-05
Register at FD -> Thorough Examination,-0.0016878011718246242,-0.0004610448904856086,0.005279737781421842
Register at FD -> Examination,0.0015787420985953014,0.000183995868395935,0.0001833399342340243
Nurse 3 -> Doc. Pro,-0.0011115155155966843,0.00015107976091368152,-0.0004046632774250735
case:citizen,0.000967416717653719,0.000509761024599737,8.476658187270876e-05
Doc. Low -> Nurse 3,-0.0009411401350254841,-0.0013395192301256119,-0.00044071039033106334
Register at FD -> Expert Examination,-0.0008855379851715507,-6.578486807400874e-05,0.0006465102267696368
Doc. Low -> Nurse 2,-0.0008814094019171881,4.116539623333614e-05,0.00015174535621996352
Doc. Pro -> Nurse 5,-0.0008639271590867656,-0.0002490569868461014,-0.00016838785231159005
Expert Examination -> Thorough Examination,-0.0008624722264920857,-0.0006269715717102351,5.254280222048303e-05
Nurse 5 -> Doc. Low,-0.000816307346269517,-0.0007565390875937674,0.0003319320357908186
Doc. Low -> Nurse 4,-0.0007530481779826166,-0.0004797057894767572,-0.00014615295487649768
Examination -> Thorough Examination,0.0006736282992097916,0.0001346609206947483,0.0003270309341517621
Nurse 5 -> Doc. Pro,-0.0005040710000547411,-6.159389723495658e-05,-5.24595860529545e-05
Nurse 1 -> Doc. Low,0.00047120218374252303,-0.00017416153514462568,2.6162221913602885e-05
Doc. Low -> Nurse 5,-0.000414499217067826,-0.0009849120651040661,-4.0363965192552245e-05
Register at ER -> Examination,0.0004024395482906157,6.1961016051211245e-06,0.0004184649346250792
Doc. Low -> Nurse 1,-0.0003992544529958268,-0.00015304832115651675,0.00042815884264487596
Doc. Pro -> Nurse 3,-0.00031970899566593017,-0.0007207074797763498,4.701196166590451e-05
Doc. Pro -> Nurse 4,0.00027278102248741367,-7.598714391725156e-06,7.429268044406318e-07
Doc. Pro -> Doc. Pro,0.00025481113575276815,0.0005715723432901834,-0.0008240083026237185
Nurse 1 -> Doc. Pro,0.00019022693218931247,0.0008686663312708783,4.5492661164850507e-05
Expert Examination -> Diagnosis,0.00017960552849085714,0.00036230312270838546,0.0005211854008611123
Nurse 4 -> Doc. Pro,-0.00014905034536085902,-0.00020153259248118912,-0.00021212958177441315
Doc. Pro -> Nurse 2,0.00014798820468856812,8.899412090476834e-05,1.8570239990225392e-05
Nurse 2 -> Doc. Low,0.00013259857846354282,0.0006213712099863677,-1.7371080247736838e-05
Nurse 3 -> Doc. Low,-0.00011836372583263791,-0.00029609529521475815,3.142781157874378e-05
Doc. Low -> Doc. Low,-0.00010617993607757586,9.982216202067637e-05,-0.0006801809180592023
case:underlying_condition,-0.0001036435669015579,-6.203317946579606e-05,0.0003874375324064518
Register at ER -> Expert Examination,9.142881030035979e-05,8.170596304410806e-05,0.0003016837860736655
Doc. Pro -> Nurse 1,-9.122864346442655e-05,-0.0009029155493534823,-0.00024287678218570338
Treatment unsuccessful -> Diagnosis,8.630754143927922e-05,-0.0035457265531624567,-0.00033493975359396704
Doc. Low -> Doc. Pro,8.396490484805202e-05,-8.50076174345383e-06,0.00012417961385483454
Treatment -> Treatment unsuccessful,-6.99676525698488e-05,-0.0029440863774934747,-0.00030877286800037754
Doc. Pro -> Doc. Low,-6.371391944691015e-05,3.5062384608077175e-05,-0.00032683705933394234
Nurse 2 -> Doc. Pro,4.560904174716259e-05,1.438301100618023e-05,0.00022139528314903248
Diagnosis -> Treatment,-4.2040486540334196e-05,-0.0024070510788362183,3.466690404467843e-05
Nurse 4 -> Doc. Low,3.757534935183955e-05,-0.0006521247728650678,-5.928131824766284e-05
case:german speaking,-1.5628345163743182e-05,-0.00045490997611505595,-3.45249326324916e-05
case:private_insurance,-5.1587237418049175e-06,0.00010830534076802228,0.000527418473678021
Treatment unsuccessful -> Discharge,,,6.501321629537177e-05
Nurse 5 -> Nurse 4,,,0.0004841647619713401
Nurse 5 -> Nurse 3,,,-0.0002321852776337065
Nurse 5 -> Nurse 2,,,0.00025165830949670147
Nurse 5 -> Nurse 1,,,-0.0006052396536557032
Nurse 4 -> Nurse 5,,,-0.000554816386851591
Nurse 4 -> Nurse 3,,,-0.00044924932062947906
Nurse 4 -> Nurse 2,,,0.00016205006051549413
Nurse 4 -> Nurse 1,,,0.0
Nurse 3 -> Nurse 5,,,0.0
Nurse 3 -> Nurse 2,,,-5.227332195105654e-05
Nurse 3 -> Nurse 1,,,0.004510911618986407
Nurse 2 -> Nurse 5,,,-1.5063830484861447e-05
Nurse 2 -> Nurse 4,,,-0.0001994872957914378
Nurse 2 -> Nurse 3,,,-0.00021087248980160845
Nurse 2 -> Nurse 1,,,-0.0001915294715591748
Nurse 1 -> Nurse 5,,,0.0002629949088767413
Nurse 1 -> Nurse 4,,,0.0
Nurse 1 -> Nurse 3,,,0.0003460383025213821
Discharge -> Treatment,,,-5.358157559394723e-05
Discharge -> Diagnosis,,,0.000599981485741742
Diagnosis -> Discharge,,,0.0001413937335501305
