Feature,Importance_High,Importance_Medium,Importance_Low
Verify Borrowers Information -> skipped_examination,-0.39825839782405964,-0.3786021054595791,-0.31099209299620584
case:protected,0.0868045623248947,0.09090317427973277,0.03432367217694678
Loan Officer 3 -> Loan Officer 4,-0.055539863660629095,-0.025256247824203177,-0.03114286658491595
Verify Borrowers Information -> Make Visit to Assess Colatteral,-0.04587261299657695,-0.027009213903611367,-0.006957538866344462
Loan Officer 4 -> Loan Officer 4,-0.04411663761775604,-0.03219196902225054,-0.002479047166611033
Loan Officer 1 -> Loan Officer 2,-0.04179910683923034,-0.025090373807676807,-0.0049022117717398535
Resource 4 -> Resource 3,-0.03792195638035044,-0.030526966758819572,-0.0062247318660952605
Request Co-Signer On Loan -> Submit File to Underwriter,-0.03697376232823853,-0.03501118862347699,-0.0023370273011575266
Verify Borrowers Information -> Submit File to Underwriter,0.03357780658470348,0.08407593454445736,0.007858830066821407
Loan Officer 4 -> Loan Officer 1,-0.032565789626868444,-0.047766143821496444,-0.010840994960867005
Loan Officer 1 -> Loan Officer 4,-0.031357380978771526,-0.02239110988551932,-0.0015958423809218215
Make Visit to Assess Colatteral -> Submit File to Underwriter,-0.030312538730608973,-0.02053489147463266,-0.03003765968443342
Loan Officer 1 -> Loan Officer 1,-0.029966057612420948,-0.009634350288917713,-0.007622242001217155
Loan Officer 2 -> Loan Officer 2,-0.029523428622802134,-0.026979262137026387,0.001992865198916521
Loan Officer 5 -> Loan Officer 2,-0.02930377530378772,0.0025488632128719056,-0.009366398496795877
Loan Officer 2 -> Loan Officer 5,-0.028339751383800477,-0.008655693678716707,-0.007870609697431776
Loan Officer 2 -> Loan Officer 1,-0.025274845186589495,-0.03391341846106643,-0.0008047700996957769
Loan Officer 1 -> Loan Officer 3,-0.025100422397457346,-0.011924878109849175,0.004546244195114416
Loan Officer 4 -> Loan Officer 3,-0.022027145680986113,-0.022563802325085584,-0.013558844280850649
Loan Officer 3 -> Loan Officer 1,-0.021096784313250974,-0.013116246050806407,0.0008949203000342416
Loan Officer 3 -> Loan Officer 5,-0.020123152076395763,-0.017362371160274035,-0.005224554709917478
Resource 2 -> Resource 1,-0.0184224491705954,0.016805748206591954,-0.0006973750052417006
Resource 5 -> Resource 3,-0.018108226716465545,0.0016757627275260894,0.005642077743268579
