,case:german speaking,case:yearsOfEducation,case:age,case:gender,case:citizen,case:protected,case:case,case:CreditScore,Case_outcome,Target,case_start_date,case_end_date,lead_time_days,age_Childhood,age_Adolescence,age_Youth,age_Young Adult,age_Middle-Aged Adult,age_Pre-Retirement,age_Retired,yearsOfEducation_No Formal Education,yearsOfEducation_Elementary Education,yearsOfEducation_Secondary Education,yearsOfEducation_Higher Education,yearsOfEducation_Postgraduate Education,CreditScore_Low,CreditScore_Moderate,CreditScore_Medium,CreditScore_High,CreditScore_Excellent,Hand In Credit Appliaction -> Verify Borrowers Information,Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,Make Visit to Assess Colatteral -> Request Co-Signer On Loan,Make Visit to Assess Colatteral -> Submit File to Underwriter,Request Appointment -> Set Appointment,Request Co-Signer On Loan -> Make Visit to Assess Colatteral,Request Co-Signer On Loan -> Submit File to Underwriter,Set Appointment -> Hand In Credit Appliaction,Verify Borrowers Information -> Make Visit to Assess Colatteral,Verify Borrowers Information -> Request Co-Signer On Loan,Verify Borrowers Information -> Submit File to Underwriter,Verify Borrowers Information -> skipped_examination,Hotline -> Hotline,Hotline -> Online System,Hotline -> Resource 1,Hotline -> Resource 2,Hotline -> Resource 3,Hotline -> Resource 4,Hotline -> Resource 5,Loan Officer 1 -> Loan Officer 1,Loan Officer 1 -> Loan Officer 2,Loan Officer 1 -> Loan Officer 3,Loan Officer 1 -> Loan Officer 4,Loan Officer 1 -> Loan Officer 5,Loan Officer 2 -> Loan Officer 1,Loan Officer 2 -> Loan Officer 2,Loan Officer 2 -> Loan Officer 3,Loan Officer 2 -> Loan Officer 4,Loan Officer 2 -> Loan Officer 5,Loan Officer 3 -> Loan Officer 1,Loan Officer 3 -> Loan Officer 2,Loan Officer 3 -> Loan Officer 3,Loan Officer 3 -> Loan Officer 4,Loan Officer 3 -> Loan Officer 5,Loan Officer 4 -> Loan Officer 1,Loan Officer 4 -> Loan Officer 2,Loan Officer 4 -> Loan Officer 3,Loan Officer 4 -> Loan Officer 4,Loan Officer 4 -> Loan Officer 5,Loan Officer 5 -> Loan Officer 1,Loan Officer 5 -> Loan Officer 2,Loan Officer 5 -> Loan Officer 3,Loan Officer 5 -> Loan Officer 4,Loan Officer 5 -> Loan Officer 5,Online System -> Loan Officer 1,Online System -> Loan Officer 2,Online System -> Loan Officer 3,Online System -> Loan Officer 4,Online System -> Loan Officer 5,Resource 1 -> Hotline,Resource 1 -> Online System,Resource 1 -> Resource 1,Resource 1 -> Resource 2,Resource 1 -> Resource 3,Resource 1 -> Resource 4,Resource 1 -> Resource 5,Resource 2 -> Hotline,Resource 2 -> Online System,Resource 2 -> Resource 1,Resource 2 -> Resource 2,Resource 2 -> Resource 3,Resource 2 -> Resource 4,Resource 2 -> Resource 5,Resource 3 -> Hotline,Resource 3 -> Online System,Resource 3 -> Resource 1,Resource 3 -> Resource 2,Resource 3 -> Resource 3,Resource 3 -> Resource 4,Resource 3 -> Resource 5,Resource 4 -> Hotline,Resource 4 -> Online System,Resource 4 -> Resource 1,Resource 4 -> Resource 2,Resource 4 -> Resource 3,Resource 4 -> Resource 4,Resource 4 -> Resource 5,Resource 5 -> Hotline,Resource 5 -> Online System,Resource 5 -> Resource 1,Resource 5 -> Resource 2,Resource 5 -> Resource 3,Resource 5 -> Resource 4,Resource 5 -> Resource 5
0,0,10,52,0,0,1,1,74,Positive,1,2015-01-05 00:02:00+00:00,2015-01-08 19:41:53+00:00,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,15,47,1,0,0,10,68,Negative,0,2015-01-05 00:00:13+00:00,2015-01-09 12:22:26+00:00,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1,7,47,0,1,0,100,70,Positive,1,2015-01-05 00:00:36+00:00,2015-01-08 22:29:57+00:00,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1,15,43,1,1,0,1000,65,Negative,0,2015-01-05 00:00:55+00:00,2015-01-08 00:15:05+00:00,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,10,63,0,1,1,1001,78,Negative,0,2015-01-05 00:01:17+00:00,2015-01-07 13:10:16+00:00,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,11,69,0,0,0,1002,80,Negative,0,2015-01-05 00:01:31+00:00,2015-01-08 22:28:17+00:00,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,1,8,59,0,0,1,1003,69,Negative,0,2015-01-05 00:00:20+00:00,2015-01-07 13:06:27+00:00,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,0,11,47,0,1,0,1004,65,Positive,1,2015-01-05 00:00:26+00:00,2015-01-08 22:25:56+00:00,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1,11,40,1,1,0,1006,65,Negative,0,2015-01-05 00:00:30+00:00,2015-01-08 00:14:10+00:00,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,8,58,1,1,0,1007,75,Negative,0,2015-01-05 00:00:39+00:00,2015-01-08 00:14:04+00:00,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
