Feature,Importance_High,Importance_Medium,Importance_Low
Hotline -> Resource 5,-0.00018241497571393642,-0.00013540248859990114,-1.166352491624017e-05
Resource 5 -> Hotline,-0.00017400866969157543,-2.9406669792766222e-05,-1.6539469232848024e-05
Resource 5 -> Resource 4,-0.000173576016605045,-3.995148254877053e-05,-1.5196695291206134e-05
Hotline -> Hotline,-0.00015776716014006734,-1.69007058120987e-05,-4.712401473976471e-05
Resource 2 -> Resource 2,-0.00015056118712013607,-3.87000842647018e-05,-7.890079170563235e-05
case:yearsOfEducation,-0.00012707177297590914,-0.00010940143619795663,-6.196068497938128e-05
case:CreditScore,-0.00012267393838475874,-0.00011655422565100065,-6.466121123561831e-05
case:age,-0.00012174479920723698,-0.00011788664309043025,-6.11076295520955e-05
Loan Officer 5 -> Loan Officer 5,-0.00011689643022722731,-2.3419961713713064e-05,-1.50188302275602e-05
Hotline -> Resource 2,-0.00011677893905013713,-1.9530035199641207e-05,-8.705819246538393e-05
Resource 3 -> Resource 2,-0.00011335609470655528,-2.8008765411028937e-05,-1.5603563384142116e-05
Loan Officer 5 -> Loan Officer 4,-0.00010830565779281576,-0.00012865780066169733,-1.2156631777576448e-05
Loan Officer 2 -> Loan Officer 5,-0.00010420229253293408,-0.0001683197321955498,-2.5591974612508268e-05
Loan Officer 5 -> Loan Officer 2,-0.00010052974027836432,-2.6753446377477763e-05,-1.9370171838608724e-05
Resource 2 -> Online System,-8.612409435685713e-05,-3.519633469081026e-05,-3.7614762483103954e-05
Request Co-Signer On Loan -> Make Visit to Assess Colatteral,-8.508958352964958e-05,-3.482224336261145e-05,-1.559321085496233e-05
Hotline -> Online System,-8.33938546349965e-05,-7.509314952026045e-05,-2.976781739794705e-05
case:protected,-8.296411013567612e-05,-6.229065284262152e-05,-7.105522131616577e-05
Resource 1 -> Resource 2,-8.195212406159782e-05,-2.2450792703456123e-05,-1.958448245488766e-05
Resource 4 -> Resource 5,-8.071403050273329e-05,-1.8023654783546536e-05,-1.891939325436934e-05
CreditScore_Medium,-7.881692065048908e-05,-5.7216153078639516e-05,-2.976591425495026e-05
Online System -> Loan Officer 4,-7.64056613180291e-05,-7.184017640468714e-05,-2.539255965563238e-05
Loan Officer 2 -> Loan Officer 4,-7.625922510073008e-05,-2.9024244290476294e-05,-2.0261407571196663e-05
Loan Officer 3 -> Loan Officer 2,-7.408996460600117e-05,-3.3249536748119095e-05,-8.39662413118889e-06
CreditScore_High,-7.339305538186817e-05,-5.7716993653961535e-05,-3.362777955439743e-05
Resource 5 -> Online System,-7.142669723938337e-05,-7.981289116009877e-05,-2.61205440971226e-05
Online System -> Loan Officer 5,-7.1398293343456e-05,-5.609421646369472e-05,-3.1503186620828145e-05
case:gender,-7.109171629368894e-05,-6.0007173940448724e-05,-3.521897090755958e-05
Make Visit to Assess Colatteral -> Submit File to Underwriter,-6.94100730251418e-05,-6.135924590173916e-05,-2.121447902126767e-05
Verify Borrowers Information -> Request Co-Signer On Loan,-6.907522473580859e-05,-3.310738752618988e-05,-2.307667003203491e-05
Online System -> Loan Officer 2,-6.886028622436435e-05,-6.307221141365653e-05,-2.890805516775425e-05
case:citizen,-6.728433093585741e-05,-5.412372193791877e-05,-3.358898296576518e-05
case:german speaking,-6.60160577853248e-05,-4.7759155335901614e-05,-3.0840572427405847e-05
Resource 3 -> Hotline,-6.57807451424588e-05,-2.1876957345190347e-05,-1.422999559893714e-05
Resource 4 -> Online System,-6.122827922389596e-05,-6.01574140473019e-05,-2.2446533997000015e-05
Loan Officer 4 -> Loan Officer 4,-5.958264929169095e-05,-3.385279781195006e-05,-2.4004587674164634e-05
Verify Borrowers Information -> Submit File to Underwriter,-5.913425973853835e-05,-5.342488360830646e-05,-3.2236663138636025e-05
Loan Officer 2 -> Loan Officer 1,-5.488875704529112e-05,-5.199922368257333e-05,-1.6693635001403352e-05
CreditScore_Excellent,-4.695385105258133e-05,-6.66628233459152e-05,-2.1909253410859235e-05
Resource 4 -> Hotline,-4.564117100341299e-05,-0.00020776502519606645,-1.765036968258132e-05
Loan Officer 1 -> Loan Officer 3,-4.5509144917580114e-05,-1.863607345440266e-05,-1.9628018105441743e-05
Resource 1 -> Hotline,-4.5111477214753346e-05,-0.00017271730393180487,-2.4643885741105957e-05
CreditScore_Moderate,4.475922381915399e-05,-4.587510016988348e-05,-0.00013373435631004063
Online System -> Loan Officer 3,-4.397696968503526e-05,-4.348632664782003e-05,-2.3728025648203837e-05
Loan Officer 2 -> Loan Officer 2,-4.225050742006049e-05,-3.103187639067317e-05,-1.2750867074248394e-05
Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,-4.203935970893885e-05,-1.8327492263946046e-05,-2.1250129868451735e-05
Loan Officer 4 -> Loan Officer 2,-4.125533492828552e-05,-2.771535017957333e-05,-1.6504314866799846e-05
Resource 3 -> Online System,-4.086571445703404e-05,-5.689293594513421e-05,-6.216115906021924e-05
Loan Officer 2 -> Loan Officer 3,-4.000272026503722e-05,-2.6144431958315216e-05,-4.462680298779166e-05
Request Co-Signer On Loan -> Submit File to Underwriter,-4.0002050216906494e-05,-3.299333618797481e-05,-2.1092448330631433e-05
Online System -> Loan Officer 1,-3.9577778675283294e-05,-4.5166010785254696e-05,-4.554047844392341e-05
Loan Officer 4 -> Loan Officer 3,-3.9217879091192426e-05,-9.355054089421635e-05,-1.4429728128285315e-05
Verify Borrowers Information -> Make Visit to Assess Colatteral,-3.8911406833065846e-05,-6.81726395039009e-05,-1.711324946564858e-05
Resource 1 -> Online System,-3.879641730665349e-05,-3.168751868355269e-05,-1.889422205402306e-05
Loan Officer 5 -> Loan Officer 1,-3.7410159274069976e-05,-0.00010014844528704984,-1.6628748866032042e-05
Resource 4 -> Resource 3,-3.726889624092776e-05,-4.3892764499996246e-05,-3.3123134879513735e-05
Resource 1 -> Resource 5,-3.6429940153339057e-05,-3.8412149240322903e-05,-1.121230463997316e-05
Loan Officer 3 -> Loan Officer 3,-3.633119571230838e-05,-3.425502841261012e-05,-1.6822924988236023e-05
Hotline -> Resource 4,-3.63196780538531e-05,-2.2339766853087528e-05,-2.628271039989527e-05
Hotline -> Resource 3,-3.615254289254184e-05,-2.7242173994558915e-05,-1.70514591794406e-05
Resource 4 -> Resource 4,-3.5050947196916365e-05,-2.488176095295593e-05,-1.550694974945527e-05
