Feature,Importance_High,Importance_Medium,Importance_Low
Verify Borrowers Information -> skipped_examination,-0.16409358555049897,-0.1464060406244461,-0.14105003886489967
Make Visit to Assess Colatteral -> Submit File to Underwriter,-0.03091835096862961,-0.02750500331381469,-0.038174265504737306
Verify Borrowers Information -> Request Co-Signer On Loan,-0.027671082866871116,-0.021215872974636625,-0.020049382014673486
Hotline -> Resource 4,0.02722287791470863,0.015085704445692589,0.00870478596921906
Resource 5 -> Resource 5,0.02358518351886121,0.010267687237459529,0.0060089055808794905
Resource 3 -> Online System,0.023099953726873408,0.019875113798393296,0.009670460185281107
Verify Borrowers Information -> Make Visit to Assess Colatteral,-0.021693367959512416,-0.018125429288717142,-0.020202845230222387
Online System -> Loan Officer 3,0.019213080327067925,0.023910774693004518,0.010608410863956998
Hotline -> Resource 1,0.019072164649113002,0.0081183463210562,0.017371537988828043
Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,0.018915833145264845,0.014405985988247097,0.0180518417660614
Resource 1 -> Resource 4,0.018608828677799227,0.015223545340668465,0.018099458075160647
Resource 4 -> Online System,0.01791572742161777,0.014614756889660241,0.02753539556493323
Resource 5 -> Resource 2,0.017577501981217346,0.01604477664440038,0.021972301771491308
Online System -> Loan Officer 1,0.017338627007475297,0.01981153489918178,0.010416315113531471
CreditScore_Moderate,-0.017246917627824106,0.035943889499271915,0.02835674139852424
CreditScore_Excellent,0.0169779592913256,0.01955111569983003,0.027135301757764952
Loan Officer 2 -> Loan Officer 1,-0.016885992241701394,-0.022060139682876956,-0.013768676473955476
Resource 5 -> Online System,0.016808434480030242,0.011343504476293684,0.01876125536296505
CreditScore_Medium,0.016506577441951917,0.015988640787121318,0.013991915343681823
Loan Officer 1 -> Loan Officer 5,-0.016385047695807675,-0.0165806632682499,-0.007295426552596411
Loan Officer 4 -> Loan Officer 4,-0.016313139970797492,-0.014398536810300627,-0.007884269750682576
Request Co-Signer On Loan -> Submit File to Underwriter,-0.01579363797925997,-0.016733183292252964,-0.007835477651135693
Loan Officer 4 -> Loan Officer 3,-0.015783141369669174,-0.011550710282536871,-0.016893320324999628
Verify Borrowers Information -> Submit File to Underwriter,0.015348150654316878,0.04813276994944521,0.018235689490801763
Resource 1 -> Online System,0.015090491294713978,0.02128989186263683,0.018002998817806343
Loan Officer 4 -> Loan Officer 2,-0.015078781652123516,-0.00945573367215799,-0.015622589765603333
Resource 2 -> Resource 2,0.015008595574634787,0.004441846519606456,0.009040277026600665
Resource 5 -> Resource 3,-0.014508243365251158,0.0027688245325255146,0.002393838337561797
Resource 3 -> Hotline,0.014321813500972938,0.003896711194747731,0.0254478494451219
Loan Officer 5 -> Loan Officer 2,-0.014291053340997234,0.015644085387487693,-0.03068292830015777
Resource 1 -> Resource 3,0.014184007120357972,0.01167339952502348,-0.010432959318448825
Resource 2 -> Hotline,0.013865086725941647,-0.0031810515091630492,-0.00021852304273495236
Resource 4 -> Hotline,0.013566859798715589,0.009696036166727356,0.011321234115943168
Hotline -> Resource 3,0.013375060382684809,0.0231382871603774,0.0044586087596022615
Resource 1 -> Resource 1,0.0131761091181752,0.013771201791947995,0.015365370035459906
Loan Officer 3 -> Loan Officer 4,-0.013151022621346958,-0.0007317164235295789,-0.01383977864774412
Resource 3 -> Resource 4,0.01314885285631579,0.015817438782951714,0.015862596527702378
Loan Officer 4 -> Loan Officer 5,-0.012891747917577162,-0.013570633544150912,-0.008413953205405483
Resource 5 -> Hotline,0.012416648706012334,0.023116958609302782,0.016680278846426914
Loan Officer 2 -> Loan Officer 5,-0.01236918808466557,-0.021487058928345317,-0.014344184251318615
Resource 3 -> Resource 5,0.012304711847411269,0.00017048954920003434,0.0032425026727148838
Resource 4 -> Resource 1,0.011809964838428454,0.017707797436694917,0.01963572598297974
Resource 4 -> Resource 2,0.01149737546206772,0.0121538922809008,0.020490302554518842
Resource 4 -> Resource 5,0.011490954773222173,0.020850734978645303,0.011378597678605527
Loan Officer 5 -> Loan Officer 3,0.01121981233546132,-0.002206791482744553,-0.006322116869947747
CreditScore_High,-0.011121697736810323,0.0001378469071251505,-0.00025931496322648996
Make Visit to Assess Colatteral -> Request Co-Signer On Loan,-0.010437770602746236,-0.00658630035644648,0.019833126040443703
Hotline -> Hotline,0.010050366432277871,0.030338563536279874,-0.0018706133672932185
Loan Officer 1 -> Loan Officer 2,-0.009762404889571641,0.012413211095033117,0.001893809615914686
Resource 4 -> Resource 3,0.009354975884763743,0.005603117162902812,0.005694961381514631
Resource 2 -> Resource 3,0.009096435119122396,0.0011307983957493943,0.01392077043530809
Resource 3 -> Resource 2,0.008965104907969245,0.018080480041151682,0.01813349075419832
Online System -> Loan Officer 4,0.008884229226659917,0.008167958476429805,0.016398299539574796
Loan Officer 2 -> Loan Officer 2,-0.00871114076154459,-0.014411025334603134,-0.005092991288891711
Request Co-Signer On Loan -> Make Visit to Assess Colatteral,0.008705362703729572,0.004380646911023318,0.014705203337041752
Resource 5 -> Resource 4,0.00837458546807775,0.0018344792037912536,0.021662811609724775
Loan Officer 3 -> Loan Officer 2,-0.007811211754099984,-0.014403571982748099,-0.007575088356497989
Loan Officer 5 -> Loan Officer 4,0.007549977191855847,0.0017142486615787794,-0.017760275496775356
Resource 3 -> Resource 1,0.007523688244698771,0.011999083736066658,0.022352878329287312
Hotline -> Resource 2,0.007505019581377137,0.00921665153540281,-0.0011732318521069692
Hotline -> Online System,0.006924138106650969,0.010998604864450163,0.010702612812694379
Resource 5 -> Resource 1,0.00676191853690902,0.009764174418896014,0.0026449944944099925
Resource 2 -> Resource 4,0.006470076366649477,0.008941027377418758,0.005648659233271618
Loan Officer 3 -> Loan Officer 3,-0.006441076093820952,-0.023446727823395942,-0.013427666491125057
Loan Officer 2 -> Loan Officer 3,0.006220781470835922,-0.02616925144779158,-0.0037579553235298213
Loan Officer 4 -> Loan Officer 1,-0.005903131923825562,-0.015388353497881988,-0.004261441383019926
Online System -> Loan Officer 5,0.005424010992914075,0.011985381555000587,0.01696725077959707
Loan Officer 3 -> Loan Officer 1,0.005005059704925082,-0.002913478791443865,-0.003568640840566567
Resource 1 -> Resource 2,0.004981394425376887,0.013631204521018066,0.012804923336646543
Loan Officer 5 -> Loan Officer 5,-0.004298184846302687,-0.01772756067348666,-0.019311641087873768
Resource 3 -> Resource 3,0.0033392581494347566,0.0019070014373189011,0.01171224911312303
Loan Officer 3 -> Loan Officer 5,-0.0032369011693312412,-0.010658397947411325,-0.0047265584332501455
Loan Officer 5 -> Loan Officer 1,-0.0031646744529300677,-0.0074690614949128546,-0.024665772274125676
Loan Officer 1 -> Loan Officer 1,-0.0031618504899547034,-0.009167004246205031,-0.012645682323166835
Resource 4 -> Resource 4,0.002856842241503216,0.0030942135322292127,0.014645257744176476
Resource 2 -> Resource 1,0.002652423084054985,0.022340045885893323,0.01105312916805531
Resource 2 -> Online System,0.0025289056932962066,0.025648020787240672,0.013180392373397302
Resource 2 -> Resource 5,0.0022796141016550807,0.021346583672067675,0.01718352241139855
Online System -> Loan Officer 2,0.002272638207326801,0.012270141087322077,0.011821681887743499
Loan Officer 1 -> Loan Officer 3,-0.0016752817866995562,-0.016792973433437292,-0.00294696543982388
Resource 1 -> Hotline,0.001135249760835754,0.003683656913371831,0.02346236621335392
Hotline -> Resource 5,-0.001031193893849893,-0.0012332432573945707,0.011346435769032924
case:gender,-0.0008026112196302414,0.0008055461435521824,-0.00010560694720207393
Loan Officer 2 -> Loan Officer 4,-0.0006681089167296384,-0.013685173927192543,-0.014362873880366537
case:protected,-0.0006678195118263773,-0.0035501999447992067,0.0058831165498299445
case:age,-0.00042480325824275093,-8.766969903668978e-05,-0.0016314426363358756
case:CreditScore,0.0004194447679643306,-9.204430167651838e-05,0.0006053302871501267
Resource 1 -> Resource 5,0.00029421179723158224,0.000848703074046181,0.010398242785689637
Loan Officer 1 -> Loan Officer 4,-0.0002540762362348054,0.001599673908208462,-0.0036533226250864354
case:german speaking,-0.00019509438057633858,0.0012402352933129298,-0.0008849481825926566
case:yearsOfEducation,0.00012065510152893287,0.00036171318470672886,0.0003780776749337991
case:citizen,6.487707855433671e-05,0.002086702175932472,0.00038436672402429356
Request Appointment -> Set Appointment,0.0,0.0,0.0
Hand In Credit Appliaction -> Verify Borrowers Information,0.0,0.0,0.0
Set Appointment -> Hand In Credit Appliaction,0.0,0.0,0.0
CreditScore_Low,0.0,0.0,0.056153453300213416
