Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.14919522266741725,0.21823489298108312,0.217338330027583
CreditScore_Moderate,2.2095265000345443e-05,-2.730840848929312e-05,-4.229453611457719e-06
Resource 2 -> Resource 5,-1.481745172540101e-05,3.6171800900111087e-06,6.596019951280665e-06
Resource 5 -> Resource 5,9.170762782709843e-06,7.467575165827178e-08,5.138043913796889e-06
Resource 1 -> Resource 4,9.144483048637115e-06,-3.628166696521716e-06,-5.2363083812357496e-06
Resource 3 -> Resource 3,8.287960620517943e-06,5.570180735763474e-06,-8.34304342110994e-08
Resource 3 -> Resource 1,-8.052087424983775e-06,9.546000948055919e-06,1.2874937810749914e-05
Loan Officer 2 -> Loan Officer 1,-7.916522470457078e-06,6.684468347706233e-07,-1.4178089504236646e-06
Loan Officer 1 -> Loan Officer 2,7.813823693106472e-06,1.6319797255125636e-06,1.9512882391788947e-06
Resource 4 -> Resource 5,-7.799720049479964e-06,-5.005048763492737e-06,-1.3719650764188846e-06
Resource 4 -> Resource 3,-7.462172193666926e-06,3.033017505057568e-06,2.871341893239909e-06
Resource 5 -> Resource 4,7.321856297953519e-06,4.0669719284354054e-06,4.774423724656021e-06
Loan Officer 3 -> Loan Officer 2,-6.592394322069405e-06,-3.802805255336646e-06,-5.8715333538279855e-06
Loan Officer 3 -> Loan Officer 4,6.579250389427065e-06,-2.2405624296162454e-06,-4.09616865474399e-06
Resource 1 -> Hotline,-6.556883378851052e-06,-3.931687235907781e-06,-2.8114446825822995e-06
Resource 4 -> Resource 4,-6.460292004639144e-06,1.210974083477413e-06,2.5592388653316065e-08
Resource 2 -> Resource 3,6.317627118837436e-06,5.982620320617306e-07,-5.478038119316117e-06
Resource 2 -> Hotline,-6.1061634000311635e-06,8.826798530661763e-06,-1.9294930110846738e-07
Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,6.105782073586369e-06,9.633936775107524e-06,-5.6008129751529095e-08
Resource 5 -> Hotline,6.035859449357285e-06,1.2190649858245392e-05,1.2571989359390795e-05
Loan Officer 4 -> Loan Officer 5,5.761629688496131e-06,1.1377391884612344e-06,-7.785259923674615e-06
Resource 4 -> Hotline,-5.739343080622595e-06,-7.904323949279834e-06,-1.2309797929070074e-05
Resource 5 -> Resource 2,-5.544933316800116e-06,3.458570633783324e-06,-2.193954764300751e-06
Resource 3 -> Resource 4,5.494697002473347e-06,2.9495177467444747e-06,8.680822295458396e-06
Loan Officer 4 -> Loan Officer 4,-5.169374788957573e-06,-7.673110242236607e-06,-8.459432302278703e-06
Loan Officer 3 -> Loan Officer 1,4.638433270412085e-06,9.428323040765887e-06,6.8463075920389335e-06
Hotline -> Online System,4.634088521038439e-06,-2.943321829481966e-06,-4.15099124213638e-06
Loan Officer 4 -> Loan Officer 1,-4.474369891296802e-06,-2.778001742363283e-06,1.6702521070524853e-06
Loan Officer 3 -> Loan Officer 5,-4.3371400536823366e-06,-8.175219014713238e-07,-2.8456929171359714e-06
Loan Officer 1 -> Loan Officer 1,4.198303168551042e-06,2.70819193232533e-06,-3.461542829037764e-06
