Feature,Importance_High,Importance_Medium,Importance_Low
Verify Borrowers Information -> skipped_examination,-0.3087103259463695,-0.9386204245215108,-0.9881973689603575
case:protected,0.271760814428443,0.009497577553389718,0.002915916475923656
Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,0.254305792110512,0.00184881475153457,0.0032190807910702232
Request Co-Signer On Loan -> Make Visit to Assess Colatteral,0.09638076425134853,0.0015327410099147704,0.0027723591012219456
Resource 2 -> Resource 2,0.08835401540003378,-0.0013455359068689395,0.0003520721321625824
Hotline -> Resource 4,0.08533559684728381,0.0005405503723529108,-0.004717526000875237
Loan Officer 4 -> Loan Officer 1,-0.07946305395826576,-0.003077213168471303,-0.015367099673610043
Verify Borrowers Information -> Submit File to Underwriter,0.07653617781069368,-0.000980127226262281,0.0004189748223801902
CreditScore_Medium,0.07290877698330955,1.575287697141792e-05,-0.00032020864464908015
Make Visit to Assess Colatteral -> Request Co-Signer On Loan,0.06788124767340947,-0.0005151200724336986,0.0053600114608073094
Loan Officer 2 -> Loan Officer 2,-0.0666689951036552,-0.0025024425149966912,0.0011101813817196693
Resource 4 -> Resource 2,0.06343738400647471,-0.0008739002915038368,0.003111550107022432
Loan Officer 4 -> Loan Officer 4,-0.06276849607009591,0.0007789783107887067,0.000149442567675393
Resource 4 -> Resource 3,-0.05377766485079433,-0.0013805971040117375,0.0011672485984109235
Loan Officer 3 -> Loan Officer 4,-0.052710715441144994,-0.0006500701788958033,-0.018795213845732173
Resource 1 -> Resource 4,0.04794772068642121,-0.002145657975562509,0.0039234178493434465
Resource 5 -> Resource 4,0.045360227045017396,0.0003805922319037123,-0.0030654332883903916
Hotline -> Resource 3,0.04412497304213496,-3.349050283347936e-05,0.0021247781860756778
Resource 4 -> Hotline,0.04089566489288582,-0.0010063435421605882,0.0002501735162716421
Loan Officer 1 -> Loan Officer 4,-0.04019054520457162,0.0002664530866057548,0.0009531357620217793
Loan Officer 1 -> Loan Officer 2,-0.03984388835330755,-0.0033329587756439154,0.0014215794459827979
Request Co-Signer On Loan -> Submit File to Underwriter,0.03969555918607768,0.0008917184484913007,-0.0011222258341467713
Hotline -> Resource 1,0.03900114261068401,-0.0005791020677162963,-0.0024179378291853326
Loan Officer 2 -> Loan Officer 1,-0.0375448254823282,-0.0027307881292146794,0.002669151334027347
Resource 3 -> Hotline,-0.037525425526087335,0.0012623417222900753,-0.005679923149819023
Loan Officer 1 -> Loan Officer 1,-0.03737338064506683,-0.0005311239780807662,-0.004254897775947293
Loan Officer 1 -> Loan Officer 5,0.03461511747162314,0.0009456126982681409,0.00019270974404631366
Resource 4 -> Resource 4,0.032919001675594126,-0.0014727520532518434,-0.0009014581703531956
Resource 5 -> Resource 1,0.03258197511556547,0.001324783614038405,-0.0019027459784249558
