Feature,Importance_High,Importance_Medium,Importance_Low
Verify Borrowers Information -> skipped_examination,-0.9346762076676116,-0.7148178833620008,-0.6590995256612024
Resource 4 -> Resource 3,-0.09029949155711328,-0.09680518669066643,-0.0395891687917003
Loan Officer 4 -> Loan Officer 4,-0.08270157230822282,-0.04535564525496041,-0.007583030698197808
Loan Officer 3 -> Loan Officer 4,-0.07529433455608066,-0.05618856729008949,-0.4128863702108122
Resource 5 -> Resource 3,-0.06170141660723159,0.0019394285725314775,0.01040032411909498
Loan Officer 2 -> Loan Officer 2,-0.049651013483556744,-0.09519267441510568,0.011423971411402672
Loan Officer 1 -> Loan Officer 4,-0.04583277479609717,-0.055679926137917814,0.019284589450769926
Hotline -> Resource 4,0.04467385360753878,0.00376600198250675,-0.014216204055663992
Hotline -> Resource 1,0.04287911885739391,0.00749945994136232,-0.030212068227985785
Resource 4 -> Online System,0.03759064095739385,-0.0072901311653118086,0.007778775832879949
Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,0.03729574194465324,0.02884676801094027,0.055039193770890296
Loan Officer 3 -> Loan Officer 5,-0.03523584480814806,-0.024584725705922073,-0.0863296593199936
Hotline -> Resource 5,-0.034731402870400455,0.061692989636353036,0.006691657011062476
Loan Officer 5 -> Loan Officer 5,-0.034229957734364075,-0.1397092325935446,-0.4072162466546213
Loan Officer 4 -> Loan Officer 1,-0.03354778672839555,-0.2140569490917113,-0.22615294624964552
Resource 1 -> Resource 4,0.03285718915978174,-0.007167063407061777,0.03261184938637891
Resource 1 -> Hotline,-0.03254754651250699,0.019577448529109937,0.07197480850169491
Hotline -> Resource 3,0.03252402333940187,-0.07328142127731366,0.08392757925622882
Loan Officer 1 -> Loan Officer 3,-0.030796506658757883,0.005672371015362103,0.026049755764627525
Loan Officer 4 -> Loan Officer 3,-0.030577510526562622,-0.06209788626613557,-0.15762292703003183
Resource 4 -> Resource 2,0.03008581260908097,-0.010814613949704672,0.021611231656553292
CreditScore_Moderate,0.028181439611040294,0.17024390851609614,0.08390008910046882
Resource 5 -> Resource 1,0.025564008197683574,0.10622584292570285,-0.06683357255863935
Resource 4 -> Resource 1,-0.02448853809201689,0.025451768715599364,0.0051466576108035065
case:protected,0.024347846789593924,0.17264147077023898,0.006539753104977284
Resource 2 -> Resource 1,-0.02420221481664569,0.1429567513127153,-0.0003023206788260985
Loan Officer 1 -> Loan Officer 2,-0.023800057837670075,-0.12589139889027093,0.003984775534022464
Resource 3 -> Resource 5,-0.023602956348734536,-0.0261303701437852,-0.061308970896405614
Resource 2 -> Resource 2,0.023274781569635448,-0.047782248226522515,-0.004307431282732017
Verify Borrowers Information -> Make Visit to Assess Colatteral,-0.02168164240955257,-0.020070188750926178,-0.0951404875259515
Resource 4 -> Hotline,0.020484306210424165,0.032816057832267986,-0.0013019516761812605
Resource 3 -> Hotline,-0.020444653506299083,-0.06367380429271771,-0.011666438032713703
Loan Officer 5 -> Loan Officer 2,-0.020280710442633555,0.066432462931632,-0.1718159843048374
Loan Officer 3 -> Loan Officer 3,0.020013417521692816,-0.019220142593468284,-0.03630062436237952
Resource 5 -> Hotline,0.01986824703939351,-0.050332685203141346,-0.045543514586140074
Resource 5 -> Resource 4,0.01960673625401519,-0.06149318368725808,-0.03334896106612485
Verify Borrowers Information -> Submit File to Underwriter,0.019054365771920732,0.22751017327281206,0.03188105500370121
Resource 3 -> Online System,-0.01753733784152116,0.0032883786555096594,-0.0027539761492787
Resource 4 -> Resource 4,0.016827550277103892,-0.005739869420799314,0.023387486797720465
Loan Officer 1 -> Loan Officer 1,-0.01616098421517486,0.01266695030929731,-0.13377810590542275
Loan Officer 2 -> Loan Officer 5,-0.015935117903466363,-0.01515455118945358,-0.0880972667070386
