Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.08568276495290776,0.09862994845383254,0.05842870065148276
Loan Officer 3 -> Loan Officer 4,-0.07271302799538115,-0.02990621172282351,-0.010795887899671472
Loan Officer 1 -> Loan Officer 4,-0.05860967717401886,-0.049845212200061016,0.009889498690890852
Loan Officer 3 -> Loan Officer 5,-0.05818720420437812,-0.041251472893282314,-0.014208984614995387
Loan Officer 2 -> Loan Officer 1,-0.05623129928913362,-0.04414110318372387,0.002536012198855699
Loan Officer 2 -> Loan Officer 2,-0.05542763206149285,-0.05021893195335934,-0.00694124898875662
Loan Officer 1 -> Loan Officer 3,-0.05541837245465334,-0.024926408460060313,0.030877365076212814
Loan Officer 4 -> Loan Officer 4,-0.05509185436999229,-0.024024783198157488,-0.008441292615291727
Loan Officer 4 -> Loan Officer 3,-0.05427935929663029,-0.025868812692201926,0.024816911073068347
Loan Officer 3 -> Loan Officer 1,-0.05230318499885581,-0.027068167663747904,0.008397733791024174
Resource 4 -> Resource 3,-0.04699268900928443,-0.03121530083408034,-0.021371340933906233
Loan Officer 2 -> Loan Officer 5,-0.04646105000247554,-0.014779880843791471,-0.00937064708953412
Loan Officer 1 -> Loan Officer 2,-0.04399531060986353,-0.05772809841794271,-0.006217767160857568
Loan Officer 3 -> Loan Officer 3,-0.041533878003823264,-0.035988343131908816,-0.02321050840969639
Loan Officer 5 -> Loan Officer 3,-0.03957748134868101,-0.025996173207142714,-0.005236324213097584
Loan Officer 5 -> Loan Officer 2,-0.03511603787847206,-0.009190631852882972,-0.030884762117195496
Loan Officer 5 -> Loan Officer 1,-0.033285533555986846,-0.005946462425974942,-0.04746431953907817
Loan Officer 1 -> Loan Officer 1,-0.031894286901047834,-0.03818929023016025,-0.047121809977407045
Loan Officer 1 -> Loan Officer 5,-0.02857428838931106,-0.052944006623708594,-0.01493378116270475
Loan Officer 4 -> Loan Officer 5,-0.02516449653388323,-0.06380907953726991,-0.002254685564154723
Loan Officer 2 -> Loan Officer 4,-0.024769603899294276,-0.03106634093611819,0.01682587850227362
Loan Officer 5 -> Loan Officer 5,-0.024761834414831665,-0.0712046442705682,-0.07126037983165986
Resource 3 -> Hotline,-0.023448136797049553,-0.012880355786754272,0.003335674396550117
Loan Officer 4 -> Loan Officer 2,-0.022909071490190804,-0.03540985748590555,-0.013232568667832428
Loan Officer 2 -> Loan Officer 3,-0.022516515690833606,-0.027108506584627722,-0.03207856381255101
Resource 2 -> Resource 1,-0.020736675266181677,0.010262384308733285,0.00042903565332398527
Loan Officer 3 -> Loan Officer 2,-0.020250859900314947,-0.044133770703496236,0.006451995801598107
Resource 2 -> Resource 4,-0.016695286231341346,-0.0016353649826459944,-0.012136626579715324
Hotline -> Resource 4,0.01666260508361419,0.006334360610135097,-0.0017627144016881789
Resource 5 -> Resource 3,-0.016462807396468167,0.000987539724629929,-0.002674282049817984
Loan Officer 5 -> Loan Officer 4,-0.016247865225365074,-0.02174308224218085,0.0006784878176982468
Resource 5 -> Resource 2,-0.015707370089558047,-0.002852276305060182,-0.0034010402643825134
Resource 2 -> Resource 5,-0.015063104458688508,0.006321791805210997,-0.0025290428665923244
Resource 5 -> Resource 5,-0.01434050663609902,-0.010663022865344849,-0.004294107012239137
Hotline -> Resource 5,-0.013633996446996388,0.009142630263189195,-0.0021455770602043455
Resource 4 -> Resource 1,-0.013186958366479453,-0.0011650174451113065,0.0015806528233949194
Resource 1 -> Hotline,-0.012678331826724672,0.0046251565575460805,0.03774466687572402
Verify Borrowers Information -> Make Visit to Assess Colatteral,-0.012381652517232642,-0.004521000586594498,-0.009764740054596578
Hotline -> Resource 1,0.01208566463471529,-0.003517167106096514,-0.008194754242460165
Resource 3 -> Resource 3,-0.012052887592218054,0.0038971947313847675,-0.00188418123995253
Resource 4 -> Online System,0.011410939761643918,-0.0016633662086071189,0.006126000063016929
CreditScore_Medium,0.011031156070552878,0.007765947020837971,0.0014112492272469052
Resource 3 -> Online System,-0.010951257699509508,-0.001869143985090724,-0.002625977818141303
Resource 2 -> Resource 3,-0.010650532094957171,-0.004158060078061136,0.010661830753590468
Resource 1 -> Resource 2,-0.009103752335448217,-0.025149504995252196,0.014537858929106006
CreditScore_Moderate,0.00874856009129032,0.010325826731122692,-0.010781484805729262
Resource 3 -> Resource 4,-0.008511850270396807,-0.0006024209441766003,0.018087453408444316
Make Visit to Assess Colatteral -> Submit File to Underwriter,-0.008255458938185458,-0.005025606010428928,-0.03022721880391681
Resource 1 -> Resource 1,-0.007582216291108781,-0.000321019023962755,0.003338598402371042
Hotline -> Resource 2,-0.0075055744252238476,0.0008282301754011404,-0.014491669528409676
Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,-0.00749051269692131,-0.011439287421452045,0.011088754090988744
Resource 4 -> Resource 5,-0.007489559160712306,0.010708542257049902,0.0054564450868765805
CreditScore_Excellent,-0.00747099959840068,-0.01350411883761403,-0.001261373304516874
Resource 5 -> Online System,-0.007365394112030854,-0.0012759402009684668,-0.0002819132265868647
Verify Borrowers Information -> Submit File to Underwriter,0.00732308848913462,0.01090325154335374,5.465516851654861e-06
Resource 1 -> Resource 4,0.0072789363391505225,-0.004570199651501074,0.01893913583037117
Resource 4 -> Resource 2,0.006679304611175449,0.0046027883874163915,0.0010842416487755386
Resource 2 -> Resource 2,0.00666801257744096,-0.01190492151005645,-0.0011722064648374791
Resource 4 -> Hotline,0.006333626786379287,0.004731321149525401,0.004707348033716136
Resource 1 -> Resource 3,-0.006269795996922572,0.01072315563545918,-0.060422292437088396
Resource 3 -> Resource 2,-0.006005917145505158,-0.0020500213750282064,0.013139788655114995
Hotline -> Resource 3,0.005281927564492207,-0.01188635747855648,0.012916934349967083
Resource 3 -> Resource 1,-0.005240782388274136,0.003197868559069384,0.016478786962120056
Verify Borrowers Information -> Request Co-Signer On Loan,0.0051994924859086866,-0.005614232246555764,-0.00647316163269924
case:age,0.005177629133060184,0.00017531498109672194,-0.0007946638295493764
Make Visit to Assess Colatteral -> Request Co-Signer On Loan,-0.005176487451291337,-0.014333855244837329,0.04027979564146738
Resource 3 -> Resource 5,-0.0051175705010689885,-0.0019058408838896301,-0.021179935887994536
Request Co-Signer On Loan -> Make Visit to Assess Colatteral,0.004421505476180249,-0.0037275001677350003,0.0008726970138781907
Resource 4 -> Resource 4,0.004399069981582708,-0.0069690480510815975,0.002334932326098835
Resource 5 -> Hotline,0.0037555969998295307,-0.005893904895637357,-0.006568889296191172
Hotline -> Hotline,-0.0037227999006488057,0.02749132826556227,-0.011012914833353617
Resource 5 -> Resource 1,0.0036128524673277305,0.009012032356128592,-0.017200996988236808
Resource 2 -> Hotline,0.0029828710099338617,0.0017090253816576181,-0.034603065751910335
CreditScore_High,0.0024064962498262787,0.0005458464977121733,0.0008534424478527419
Online System -> Loan Officer 2,0.0023995275526519167,0.003431936336953404,0.008356063508558585
Online System -> Loan Officer 1,-0.002290010018309596,0.004307462321657655,0.0020360213034391634
Resource 5 -> Resource 4,-0.0022238083248289748,-0.020933629854766867,0.013489108819662856
Online System -> Loan Officer 4,-0.0016350968680909819,-0.004569204415534344,-0.003530377463648468
Resource 1 -> Resource 5,-0.001133932818834113,-0.02352135382804445,0.02098750004141754
Request Co-Signer On Loan -> Submit File to Underwriter,0.0011252888639454283,-0.010135208359328296,0.002738764727449004
Resource 2 -> Online System,0.0010180878867346024,-0.004094784539591765,0.0019633756887786563
Online System -> Loan Officer 5,0.0008652937192126009,0.00643843066581085,0.0014581505171915702
case:gender,-0.0004692520731251271,-0.0003261541533705717,-0.0016158969103578038
case:yearsOfEducation,-0.0004613055798795379,0.004704681664442377,0.004921015398592116
Online System -> Loan Officer 3,-0.0004163002844961023,0.0018038905237770409,-0.007269927438256827
case:citizen,0.0004041660157264958,0.0007573736333564535,0.0020098833471026206
Loan Officer 4 -> Loan Officer 1,0.0003286518764900476,0.008889524210950807,-0.04335698339389245
case:german speaking,0.00027840829943679877,0.0008153407015914745,0.0021432204761167276
Hotline -> Online System,-0.00021999756178311898,0.000723238791851137,-0.0013615199494029944
case:CreditScore,-0.00021569915452420422,-0.006935706204921589,0.0011353062098664881
Resource 1 -> Online System,3.763857449299666e-05,0.009192740893437348,0.004398840007897437
Set Appointment -> Hand In Credit Appliaction,0.0,0.0,0.0
Verify Borrowers Information -> skipped_examination,0.0,0.0,0.0
Hand In Credit Appliaction -> Verify Borrowers Information,0.0,0.0,0.0
Request Appointment -> Set Appointment,0.0,0.0,0.0
CreditScore_Low,0.0,0.0,0.0
