Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,-0.003041839188796368,0.062452821560232095,0.11720697235368316
CreditScore_Moderate,9.041664037678117e-05,-0.006082591515491375,-0.0003240216984042208
Loan Officer 2 -> Loan Officer 2,-5.714420169729413e-05,0.0012173415808150992,0.0005224679683327771
Loan Officer 2 -> Loan Officer 3,-5.605182092897889e-05,0.0008894995408584815,0.0009936421812082564
Resource 3 -> Resource 5,-5.509506004667007e-05,-0.0046164139334700606,-0.0032792952800528657
Resource 2 -> Resource 3,4.794870723980654e-05,-5.544062346548398e-05,-0.00042943150047567715
Hotline -> Resource 3,-4.704875296799648e-05,-0.002006161572136764,0.0022800277382624026
Verify Borrowers Information -> skipped_examination,-4.6189849539667334e-05,-0.0013555171825492302,0.0023821960312792483
Resource 1 -> Resource 1,-4.332579417847863e-05,0.003964507319147316,0.0012668291148895216
Resource 3 -> Online System,-3.965469728562705e-05,0.00018084712181819966,0.0006974586750963719
Resource 2 -> Resource 1,-3.8890889135954515e-05,-0.0019866430971845926,0.0007823954478480063
Resource 2 -> Resource 5,3.7396429157565346e-05,-0.0027978589993220573,0.0008150560801361724
Resource 5 -> Online System,3.6665539234496447e-05,-0.00011551759209300909,-0.0007566739330451078
Resource 2 -> Resource 4,3.529261907397513e-05,0.0041606063369797105,0.000726335158002436
Loan Officer 1 -> Loan Officer 2,-3.51029545680319e-05,0.0017882958547915419,0.0011555952947228682
Resource 5 -> Resource 3,3.2480722707820496e-05,0.001707823645980887,-5.1088558063468615e-05
Resource 5 -> Resource 2,3.1720886624061104e-05,0.0021377852085085972,-0.00019997234506161053
Loan Officer 3 -> Loan Officer 3,2.8870809452942686e-05,-0.00039036145483401646,-0.00014760256575711714
Resource 4 -> Hotline,-2.8729320300768624e-05,0.00043304798238091716,0.00021928331324740525
Resource 3 -> Resource 2,2.680025645925941e-05,0.00045117950004881487,-0.0017548674497507104
Resource 4 -> Resource 5,2.6799061512004114e-05,0.0014771639826862328,0.00016123624828041127
Hotline -> Resource 2,2.4374874036713977e-05,-0.00022421826595579107,0.0010734909996295912
Loan Officer 3 -> Loan Officer 4,-2.421771103688955e-05,-0.00031858865766248677,0.0006621449845237916
Resource 5 -> Resource 5,2.4063020644123207e-05,-0.0010379980426635192,-0.0023863886793410714
Resource 5 -> Resource 4,-2.3102905090050972e-05,-0.0017519770430663982,0.0013404190484181786
Resource 5 -> Resource 1,-2.220309170042747e-05,0.0024339344372251415,-0.0025883832007597804
Loan Officer 4 -> Loan Officer 1,2.141021203315735e-05,0.0006119765514868423,-0.0010156252488481468
Hotline -> Resource 1,-2.093478029485675e-05,-0.0013567214635319441,-4.59141521182764e-06
Resource 4 -> Resource 3,-2.0903445149837018e-05,2.495942092936782e-05,-0.0008245765172922717
Loan Officer 2 -> Loan Officer 4,2.0540458581621847e-05,-0.0009929031934623066,-0.0001274288408900097
Resource 3 -> Hotline,-2.0114877242410262e-05,0.0005635080510959356,0.0010862525369080417
Resource 2 -> Online System,-1.9447501972874663e-05,-0.0003457561233954868,0.0007997500096228755
Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,1.8510485475360003e-05,0.003390756796880215,0.0003526957872761304
Hotline -> Resource 5,1.8109091667511813e-05,0.0004087734618056922,0.0014809649470038252
case:age,-1.7921585710644417e-05,-0.0024213849846845916,-0.0015067372918088305
Loan Officer 2 -> Loan Officer 5,-1.7513180103438917e-05,-0.0032266603589230667,0.00011222741065679228
Loan Officer 4 -> Loan Officer 3,-1.6982734196803276e-05,0.001593562763984382,-0.001764099451448338
Resource 2 -> Resource 2,1.6125515712487884e-05,-0.0004444120990425806,-0.001540624196628829
Loan Officer 4 -> Loan Officer 4,1.543517521728169e-05,0.0024614746585326698,0.0004929089646748681
Resource 4 -> Resource 1,1.5160861291560346e-05,-0.001945062588531604,-0.0007584917576347903
Loan Officer 1 -> Loan Officer 1,-1.4940395796197785e-05,0.0017114372468499995,0.0018928704143885114
Resource 1 -> Resource 4,1.4715330116082264e-05,-0.0025179898117812143,-0.001842317317251391
case:CreditScore,1.4505072085827312e-05,4.028980932616669e-05,-0.0012768845551259325
Loan Officer 4 -> Loan Officer 5,-1.4077926825800183e-05,-0.0017380208173009236,0.00024709640677423136
Resource 4 -> Resource 2,-1.3454377829523175e-05,-0.0002599023728154843,0.0013010772009110646
Loan Officer 1 -> Loan Officer 5,1.2734764249788756e-05,-0.0033948543085718305,0.0017529316466588444
Make Visit to Assess Colatteral -> Submit File to Underwriter,1.271881117828259e-05,0.0007453068410991301,-0.00034451057061055427
Online System -> Loan Officer 2,1.121673096759447e-05,0.0011002658164345862,-3.229379433396251e-05
Resource 5 -> Hotline,-1.0703256594199424e-05,0.0009391271432145527,0.0010404693656814882
Loan Officer 4 -> Loan Officer 2,1.03332119584857e-05,-0.0008854949369077738,0.0015134205799852078
CreditScore_Excellent,-1.009871358336292e-05,-0.0002707077019964598,0.0006322551261021399
Resource 1 -> Resource 2,-9.737046358618897e-06,0.0014782362610086934,-0.0010488164555163392
Loan Officer 1 -> Loan Officer 4,9.480165689854578e-06,0.0026468664384209,-0.001416880595491937
case:gender,-8.929578217538559e-06,0.0009542150751289249,-0.00016196314605639966
Resource 3 -> Resource 3,8.854961428691368e-06,0.00013984870027783714,-0.0016562676310783783
Resource 1 -> Hotline,-8.812600368955544e-06,0.0009610893470691368,0.0009275486042366601
Loan Officer 1 -> Loan Officer 3,8.806444144259748e-06,0.002765122162724503,0.00020255556619583294
Verify Borrowers Information -> Make Visit to Assess Colatteral,-8.28826833277151e-06,-0.0009781305983229244,-0.0008711571263870279
CreditScore_Medium,7.933715528397514e-06,0.0001976353008116681,0.0004030933074725313
Online System -> Loan Officer 1,7.376442329994166e-06,0.0007648024650930927,-0.00025768146102699425
Loan Officer 5 -> Loan Officer 1,-7.278084078810302e-06,0.0012777951056722788,0.002547707416808375
Verify Borrowers Information -> Submit File to Underwriter,-6.871687793805869e-06,-0.00012713651593857124,0.0006659713997998643
Hotline -> Resource 4,-6.615999187338452e-06,-0.00017461206033973051,0.0005600342033257836
Hotline -> Hotline,-6.502500775290113e-06,0.0004713353587537139,6.547306007123437e-06
Resource 3 -> Resource 4,6.4675285392335174e-06,0.000290696723754812,-0.0013264153044256512
Loan Officer 3 -> Loan Officer 1,-6.1020259492934895e-06,-0.0013672627485975266,-0.000314928212823637
Loan Officer 5 -> Loan Officer 3,5.068209044248638e-06,-0.002591854760141505,-0.0008323466490629866
Online System -> Loan Officer 3,4.822363231483657e-06,0.00012589780226260954,-0.000239196428385659
Loan Officer 3 -> Loan Officer 5,-4.666010753005172e-06,1.3483460607652264e-05,0.0010515952090429414
Hotline -> Online System,4.473869553255789e-06,-0.000241036441234848,9.6257505034198e-05
Verify Borrowers Information -> Request Co-Signer On Loan,4.360527594536994e-06,9.108769864100735e-05,-0.00019039909950881593
Resource 1 -> Resource 3,-4.343521558836562e-06,-0.005127315374984638,0.004016835039692144
Make Visit to Assess Colatteral -> Request Co-Signer On Loan,3.948839376426235e-06,0.001236949576397329,0.0011823386470865922
Online System -> Loan Officer 5,3.8034520355349333e-06,0.00040821372343975704,-0.00019844512058537554
case:yearsOfEducation,3.237848561243086e-06,-0.0014210733233119984,-3.642784025258383e-05
Resource 2 -> Hotline,3.188536215197932e-06,0.001685081109401878,0.0005556517308882214
Online System -> Loan Officer 4,-3.102498584389337e-06,-0.0006596575798036016,0.0006332472146761121
Loan Officer 2 -> Loan Officer 1,2.9016224968767652e-06,0.000254560206159866,0.0016806357543691936
Loan Officer 3 -> Loan Officer 2,2.6999081455675997e-06,-0.0006945799845039394,-0.0003470582147775905
case:german speaking,2.601228212207026e-06,0.0004166259954441104,0.00032799005337656435
Request Co-Signer On Loan -> Make Visit to Assess Colatteral,2.5398519922856398e-06,-0.002790252890982228,0.0011940319966162564
Resource 1 -> Online System,2.377520940814592e-06,0.0005009993900590651,0.000802155435496666
Resource 1 -> Resource 5,-2.2880690300364206e-06,-0.0013378471716969562,1.4876414657612452e-05
CreditScore_High,-2.217865275533065e-06,0.0003623852215392224,0.0005862501058050502
Resource 4 -> Resource 4,-2.211987311188091e-06,0.0037382918619068917,0.0006851192975451624
