Feature,Importance_High,Importance_Medium,Importance_Low
Verify Borrowers Information -> skipped_examination,-0.1370157717127144,-0.29976371692675646,-0.14632115790182607
Loan Officer 4 -> Loan Officer 1,-0.02044203554361958,-0.031159199026887935,-0.007079558084197321
Loan Officer 3 -> Loan Officer 4,-0.01911464459188821,-0.00968779686743861,-0.01465730694821903
Verify Borrowers Information -> Make Visit to Assess Colatteral,-0.01685825650133791,-0.021628767095147345,-0.0037111074002277875
Make Visit to Assess Colatteral -> Request Co-Signer On Loan,-0.01641925463857514,-0.00696655914520572,0.01481654228885088
Loan Officer 4 -> Loan Officer 4,-0.01599382500065682,-0.010055733866879562,-0.0015420247062979924
Make Visit to Assess Colatteral -> Submit File to Underwriter,-0.013212096413008639,-0.01718247065755967,-0.009877900526696608
Loan Officer 5 -> Loan Officer 2,-0.012968205498039852,0.0032136189164191434,-0.007456043929454877
Loan Officer 1 -> Loan Officer 3,-0.010534592376553551,-0.006105703050267657,0.001689690624481171
Request Co-Signer On Loan -> Submit File to Underwriter,-0.010530109098865167,-0.020535651194663034,0.0005137508899417984
Hotline -> Resource 1,0.010526097007846614,-0.0022391274236917575,-0.00575592514798493
Loan Officer 1 -> Loan Officer 2,-0.01049536004797567,-0.010224842084242177,-0.0002318210869955322
Loan Officer 2 -> Loan Officer 1,-0.009824685177539115,-0.02904263648863198,0.000459065708345407
Hotline -> Resource 4,0.008834109540439644,0.0008576251190332725,0.00031645642004526507
Resource 4 -> Hotline,0.008432420586183494,0.006208857678412171,0.0005636383692784289
Request Co-Signer On Loan -> Make Visit to Assess Colatteral,-0.008252979709092405,0.0031345822716657085,-0.0014825295083078578
Loan Officer 2 -> Loan Officer 5,-0.008134416674280168,-8.141363502667262e-05,-0.0036875175061155904
Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,0.00810844424670419,0.002626017215954883,0.003296523349027347
Loan Officer 4 -> Loan Officer 2,-0.007302003401905966,-0.027042515284236048,-0.008173612466679738
Loan Officer 2 -> Loan Officer 2,-0.006825600682594737,-0.015554317282389356,0.002061062212755674
Loan Officer 4 -> Loan Officer 5,-0.006365178634619345,-0.01563045434151085,-0.007047345062051709
