Feature,Importance_High,Importance_Medium,Importance_Low
age_Young Adult,-0.0002144238631161834,-1.135547213903144e-05,-5.008764039698525e-06
Real Estate Agent 3 -> Lawyer 2,-0.0001830548962524047,-1.4861986164432276e-05,-2.5286129055596933e-05
Real Estate Agent 3 -> Lawyer 3,-0.00011544088610874685,-4.8709058480557545e-06,-4.6427785325239825e-06
Lawyer 3 -> Real Estate Agent 5,-0.00011054998638072348,-3.222897847774074e-06,-4.1344985349764705e-06
Real Estate Agent 4 -> Real Estate Agent 3,-0.00010730016112717007,-5.742869543770315e-06,-4.9774540413017875e-06
Real Estate Agent 2 -> Hotline,-0.00010463013533590707,-4.796226813026587e-06,-6.275303558141111e-06
Real Estate Agent 1 -> Real Estate Agent 4,-7.977137600485231e-05,-7.784925791473222e-05,-6.06118158280178e-06
Real Estate Agent 1 -> Real Estate Agent 3,-7.504549797990514e-05,-4.894909950764128e-06,-1.0321308584684662e-05
Real Estate Agent 3 -> Real Estate Agent 1,-7.483745487143348e-05,-6.935560006359992e-06,-7.039157898488969e-06
Lawyer 2 -> Real Estate Agent 2,-7.431317983730009e-05,3.7996837961573867e-06,-7.164525648356614e-06
Real Estate Agent 2 -> Lawyer 2,-7.385463217588648e-05,1.2253498111750983e-06,-7.11193673398829e-06
yearsOfEducation_Higher Education,-7.308452934205986e-05,-2.155829613896537e-05,-4.385149767822533e-06
Real Estate Agent 4 -> Real Estate Agent 1,-7.302872149928911e-05,-8.494914274387603e-06,-9.151529137187892e-06
Lawyer 2 -> Real Estate Agent 1,-7.28810192061017e-05,-1.0643974823198666e-05,-2.7689821521972813e-05
Lawyer 1 -> Real Estate Agent 5,-6.978045260680002e-05,-7.901596040996857e-06,-5.318391217239214e-06
Lawyer 1 -> Real Estate Agent 3,-6.041775301597143e-05,-8.006019576302806e-06,-6.064562043790344e-06
Real Estate Agent 1 -> Real Estate Agent 1,-5.782948497117751e-05,-1.2286296636630011e-05,-9.262376634142741e-06
Real Estate Agent 1 -> Real Estate Agent 2,-5.69698902544235e-05,-1.1238137316503606e-05,-6.55792282157014e-06
Real Estate Agent 1 -> Real Estate Agent 5,-5.544612236519465e-05,-1.2440486517833034e-05,-1.5341535756846762e-05
Hotline -> Real Estate Agent 5,-5.5420784294624655e-05,-5.972241411968583e-06,-5.0560363127975476e-06
case:german speaking,-5.371261100960232e-05,-1.86702113498612e-05,-9.506864944265611e-06
Real Estate Agent 2 -> Real Estate Agent 3,-5.251235382157742e-05,-5.406492187557426e-06,-5.081694953769162e-06
Real Estate Agent 2 -> Real Estate Agent 1,-5.2357604527882506e-05,-1.1847272335417972e-05,-7.630081842253542e-06
case:married,-5.1178702509766644e-05,-9.578289885340857e-06,-7.4859190229988885e-06
yearsOfEducation_Secondary Education,-5.098830348332743e-05,-1.1173866260214512e-05,-9.203568069898145e-06
case:citizen,-5.057417906738392e-05,-9.921359031512516e-06,-8.258108082258053e-06
case:gender,-4.978267489049954e-05,-1.3540239860699844e-05,-7.393932361781222e-06
Real Estate Agent 1 -> Lawyer 3,-4.910768154967763e-05,-3.8081293748735477e-06,-7.325554424224965e-06
Real Estate Agent 2 -> Real Estate Agent 5,-4.860609798603651e-05,-8.198100886780706e-06,-6.017951154650764e-06
age_Middle-Aged Adult,-4.837429647701452e-05,-1.0303423764281445e-05,-9.274075185640926e-06
age_Pre-Retirement,-4.816499002538268e-05,-1.372779021814547e-05,-8.59000182938916e-06
Hotline -> Real Estate Agent 3,-4.781367366051531e-05,-2.566728719506982e-06,-4.946462914003535e-06
Screen Prospective Tenant -> Extensive Screening,-4.747555890402132e-05,-9.297062979575057e-06,-7.553137378117823e-06
Real Estate Agent 3 -> Real Estate Agent 2,-4.722243828662824e-05,4.946762661883909e-06,-4.168477699730467e-06
yearsOfEducation_Elementary Education,-4.602341681430313e-05,-1.0275416834917725e-05,-7.941712191425762e-06
Hotline -> Real Estate Agent 2,-4.3630883571529365e-05,-4.3609198037919826e-06,-6.053893502904205e-06
Real Estate Agent 2 -> Lawyer 1,-4.300562037953902e-05,-3.999180104276892e-06,-5.834690415569023e-06
Real Estate Agent 5 -> Real Estate Agent 2,-4.232595887990867e-05,-1.0241788171036777e-05,-5.838325896971701e-06
Real Estate Agent 5 -> Real Estate Agent 3,-3.913822781096916e-05,-4.055296597167409e-06,-5.962093761351999e-06
Real Estate Agent 3 -> Real Estate Agent 3,-3.8369037146296555e-05,-7.625060279073582e-06,-4.712887387285162e-06
Real Estate Agent 1 -> Lawyer 2,-3.79094350417665e-05,-9.480373707796482e-06,-4.247088821985147e-06
Real Estate Agent 1 -> Hotline,-3.664051346052949e-05,-4.154792149032119e-06,-9.40290530943855e-06
Lawyer 2 -> Real Estate Agent 5,-3.545391216507968e-05,-6.082679381310871e-06,-1.4779925214548798e-05
Real Estate Agent 2 -> Lawyer 3,-3.479378644508253e-05,-1.0047062382940985e-05,-9.094226838648791e-06
Real Estate Agent 2 -> Real Estate Agent 2,-3.471169825841426e-05,-3.976516313380559e-06,-6.935190016614245e-06
Real Estate Agent 4 -> Real Estate Agent 2,-3.459856230522995e-05,-6.314774335935054e-05,-2.3529162935113607e-05
Real Estate Agent 5 -> Real Estate Agent 1,-3.401000651143382e-05,-7.9986409540142e-06,-8.654249025851928e-06
case:protected,-3.374415876725125e-05,-1.2597972445158623e-05,-5.1115609337642846e-06
Hotline -> Real Estate Agent 4,-3.31331947613514e-05,-9.267306168634819e-06,-6.352222215455817e-06
Lawyer 1 -> Real Estate Agent 1,-3.200309432920001e-05,-1.7849117903700388e-05,-7.0611678129426155e-06
Real Estate Agent 4 -> Lawyer 3,-3.102913412457365e-05,-1.2062488662504626e-06,-5.274012871060454e-06
Real Estate Agent 4 -> Real Estate Agent 4,-3.075234920157072e-05,-4.9687703862562754e-06,-3.001902998579286e-06
Real Estate Agent 5 -> Real Estate Agent 5,-3.052896896311415e-05,-3.1974888500147034e-05,-4.235589334477887e-06
Real Estate Agent 1 -> Lawyer 1,-2.998944961745964e-05,-4.3699773627985246e-06,-3.755003697076343e-06
Real Estate Agent 3 -> Real Estate Agent 4,-2.9407159507343496e-05,-3.895398693712139e-06,-3.979219455134338e-06
age_Retired,-2.8936129789191752e-05,-7.615573267734114e-06,-2.8634318813799954e-06
Real Estate Agent 4 -> Hotline,-2.8600414518848544e-05,7.151454973884809e-06,-4.515659191786544e-06
Real Estate Agent 3 -> Hotline,-2.8377807441629793e-05,-1.5116619801465287e-05,-1.2960001840865759e-05
Real Estate Agent 5 -> Lawyer 3,-2.8183456659397028e-05,-2.635247807749679e-05,-2.086605684108048e-06
Lawyer 3 -> Real Estate Agent 1,-2.8077546955259312e-05,-7.197996481998658e-06,-9.273755737766203e-06
Real Estate Agent 4 -> Real Estate Agent 5,-2.758831629015309e-05,7.105680059683636e-06,-9.45940443978341e-06
Real Estate Agent 5 -> Lawyer 2,-2.6615725749046694e-05,-8.974388420644284e-06,-3.7578939040096536e-06
Lawyer 3 -> Real Estate Agent 3,-2.6494504735483722e-05,1.740229748377096e-05,-6.008972495643648e-06
Lawyer 3 -> Real Estate Agent 4,-2.502484622033284e-05,-6.523099914422351e-06,-2.7523708282895008e-06
Hotline -> Real Estate Agent 1,-2.475448517667239e-05,-9.782015458089933e-06,-8.50982696945502e-06
Hotline -> Hotline,-2.3521491257696574e-05,-3.5573803095849453e-06,-3.846923253319138e-06
Real Estate Agent 3 -> Real Estate Agent 5,-2.3308746731284128e-05,-6.644012485180981e-06,-3.4182198692285004e-06
Lawyer 3 -> Real Estate Agent 2,-2.3275209963895896e-05,-1.3523785482852222e-05,-4.8904907538440826e-06
Real Estate Agent 3 -> Lawyer 1,-2.308410946154263e-05,-7.011031699802695e-06,-2.8636445402259653e-06
Lawyer 1 -> Real Estate Agent 2,-2.307499920257194e-05,-1.9917228832033308e-05,-2.0855830350766357e-06
Real Estate Agent 4 -> Lawyer 1,-2.273572985648268e-05,-0.00011957895123817434,-5.206793403074434e-06
yearsOfEducation_Postgraduate Education,-2.2686294953360072e-05,-1.063573433980057e-05,-7.338617324581573e-06
Lawyer 1 -> Real Estate Agent 4,-2.1716985782310897e-05,-1.0614038929927875e-05,-3.695079027870077e-06
Real Estate Agent 2 -> Real Estate Agent 4,-2.0420742161230937e-05,-1.9495725288242465e-05,-2.800131121818489e-05
Real Estate Agent 5 -> Real Estate Agent 4,-1.991244203012744e-05,-4.610457228753882e-06,-2.548257122339642e-05
Real Estate Agent 5 -> Lawyer 1,-1.9853321074258422e-05,-7.278427457816329e-06,-8.426417687805059e-06
Lawyer 2 -> Real Estate Agent 4,-1.8021388989359118e-05,-4.4863210703919485e-06,-5.962030114308581e-06
Real Estate Agent 5 -> Hotline,-1.6773852769674554e-05,-5.1682294479000925e-06,-2.140239210629218e-05
Lawyer 2 -> Real Estate Agent 3,-1.6743302633133674e-05,-6.898319614654671e-06,-6.720764538808212e-07
Real Estate Agent 4 -> Lawyer 2,-1.4896215181882345e-05,-3.547499444131966e-06,-9.049225857965297e-05
Set Appointment -> View The Property,0.0,0.0,0.0
View The Property -> Hand In The Paperwork,0.0,0.0,0.0
Hand In The Paperwork -> Check Paperwork,0.0,0.0,0.0
Check Paperwork -> Screen Prospective Tenant,0.0,0.0,0.0
Apply for Viewing Appointment -> Set Appointment,0.0,0.0,0.0
