Feature,Importance_High,Importance_Medium,Importance_Low
Real Estate Agent 4 -> Real Estate Agent 3,-0.016971654284987158,-0.015496720037038569,0.07864290800845708
Lawyer 3 -> Real Estate Agent 4,-0.0053082120709999885,-0.2544818166084258,0.01229899079431786
Real Estate Agent 5 -> Lawyer 3,-0.0029730099296875296,-0.0051875917374887455,0.01726430179141234
Real Estate Agent 4 -> Real Estate Agent 5,-0.00249890655187037,-0.12814326410012722,0.011504699890839201
Real Estate Agent 4 -> Hotline,-0.002111646164859099,-0.14843957794566248,0.04915953002811545
Lawyer 2 -> Real Estate Agent 4,-0.0021054151655346925,-0.07345073807554571,0.034651667851933514
yearsOfEducation_Postgraduate Education,-0.001605107277329937,0.09418901521359944,-0.021786481633095794
Real Estate Agent 5 -> Real Estate Agent 5,-0.0014899971069360415,0.049735880493826885,-0.0017573363729630111
age_Retired,-0.001427866982005886,0.016796704511689624,0.027365628222096504
Real Estate Agent 3 -> Lawyer 1,0.0013249196172234778,0.04134124017109943,0.028802426202436913
Real Estate Agent 2 -> Real Estate Agent 4,-0.0013182374197613076,0.04703693391693925,0.017502329892766202
Real Estate Agent 5 -> Real Estate Agent 3,0.0011443952571163827,-0.014803587194733436,0.026242192405857408
Real Estate Agent 4 -> Real Estate Agent 4,0.0010833462220243395,-0.29710153438992337,-0.014247150416704813
case:protected,0.0010819387294889338,0.20646251514533837,0.39246305721649644
Lawyer 1 -> Real Estate Agent 1,-0.0009929407672965489,0.051192744052291475,0.007558052994979567
Hotline -> Hotline,0.0009923794822535234,-0.023316030008892007,0.021819956392910157
Hotline -> Real Estate Agent 3,-0.0009298517087466823,0.02458809161820174,0.017786494528928932
Real Estate Agent 5 -> Hotline,0.000925387925887179,0.0032722213254410236,-0.0008721855738846238
Hotline -> Real Estate Agent 1,-0.0008617713372922695,-0.008051724149276285,6.185379341266308e-05
Real Estate Agent 2 -> Hotline,-0.0008583275340292889,-0.009228796052465005,0.028476803574362157
Lawyer 3 -> Real Estate Agent 3,-0.0008146951637541391,-0.009089109835570623,0.015808130085072515
Real Estate Agent 5 -> Real Estate Agent 4,0.0007426184428424443,0.008675281573169722,0.0008961333585877203
Lawyer 1 -> Real Estate Agent 4,-0.0007278279660536883,0.002309566188426435,-0.016191321451965404
Real Estate Agent 2 -> Lawyer 1,0.0006822804056132062,-0.0007017261090549578,-0.018370965320221345
Real Estate Agent 2 -> Real Estate Agent 3,-0.0006584895538716197,-0.06988380323189783,-0.003124360521835419
Lawyer 2 -> Real Estate Agent 3,0.0006439547001777324,-0.1119814437982432,-0.008398204780967703
case:gender,-0.0006410906723877837,-0.014095036347675385,0.005284088213895973
case:german speaking,0.0006283872609404233,0.007506843381419136,-0.004264138377434948
Lawyer 2 -> Real Estate Agent 2,0.0005886788375532439,-0.048271469491713744,-0.010526843851027498
Real Estate Agent 3 -> Lawyer 2,0.00054706209563809,-0.05663828477547004,0.008258803961936111
Real Estate Agent 1 -> Real Estate Agent 4,-0.0005432100034691811,0.017462411396706717,0.006556884728174903
Real Estate Agent 1 -> Real Estate Agent 3,-0.0005390430306321342,0.0002972026331095126,0.014977613960451844
Real Estate Agent 2 -> Real Estate Agent 1,0.0005250868772675333,-0.01359919922659004,-0.010108276127316383
Real Estate Agent 3 -> Real Estate Agent 2,0.0004968155669543586,-0.03140869013420732,0.005556437413445354
Lawyer 3 -> Real Estate Agent 1,0.0004952857051644862,0.03557881485506251,0.001983670600212118
Real Estate Agent 3 -> Hotline,0.0004624178427946635,0.02614458439721327,0.013238819883106717
Real Estate Agent 1 -> Hotline,0.0004432949604991466,-0.06270760739154911,-0.0029490030676490855
Lawyer 3 -> Real Estate Agent 5,0.00043511720828623543,0.04199056496023133,-0.038679865405529194
Real Estate Agent 4 -> Lawyer 2,0.00043008760848436246,-0.04218725610557462,-0.010189173228456565
Real Estate Agent 1 -> Lawyer 3,0.00042562820240686855,0.001058918951099737,-0.004450205361764712
