Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.14341012213885132,0.13110665823381432,0.1882994335913262
Real Estate Agent 4 -> Real Estate Agent 4,0.09340724673499859,-0.28801475865278714,-0.10126893018830582
Real Estate Agent 3 -> Real Estate Agent 3,0.07432538102377849,-0.012873490512896818,-0.09983815887652248
Real Estate Agent 5 -> Lawyer 3,-0.0723100210084005,-0.001271364461818289,0.05354454364739185
Real Estate Agent 4 -> Real Estate Agent 3,-0.06725639333369024,0.017211884340479558,0.12991797981320308
Real Estate Agent 5 -> Hotline,0.06079630556093887,0.0032070615785438085,-0.09126304389871569
Real Estate Agent 2 -> Lawyer 3,0.05900592408332249,-0.01851473408974288,-0.04104666729441562
Lawyer 3 -> Real Estate Agent 4,-0.057296646248685315,-0.24809216194193878,0.06601323239289444
Real Estate Agent 3 -> Lawyer 2,0.055890188820665376,-0.054131452459921216,0.04002725886776705
Real Estate Agent 5 -> Real Estate Agent 3,0.055654274493554444,-0.005062956644172394,0.05599566912766969
Real Estate Agent 5 -> Real Estate Agent 4,0.05318335275177031,-0.013939726119090548,0.02387006272587603
yearsOfEducation_Postgraduate Education,0.052185363026876055,0.08805333817005426,-0.03773896610130453
age_Young Adult,0.0487748356394571,-0.017071493008033435,0.015187283623610812
Real Estate Agent 5 -> Real Estate Agent 1,0.048575783942568854,0.009419693512800264,-0.02485388218334524
Real Estate Agent 5 -> Lawyer 2,0.0482385762370627,-0.11804479495078693,0.02440815384239651
Lawyer 3 -> Real Estate Agent 3,0.045067609683937075,-0.02656557943239669,-0.035787974232886974
Real Estate Agent 4 -> Lawyer 2,-0.04423611588875044,-0.01858771211705984,-0.006645346258070725
Hotline -> Real Estate Agent 5,0.043522735627586503,0.008713275663463343,-0.06625252546625357
Lawyer 1 -> Real Estate Agent 5,0.042989926904978285,0.03855981416417363,-0.11692463155483182
Hotline -> Hotline,0.04078297254410733,-0.021508760388209314,0.02855609692165361
Lawyer 3 -> Real Estate Agent 1,0.0404848399010379,0.036909729681761684,-0.017532306036437663
Real Estate Agent 4 -> Real Estate Agent 2,0.037932738809123276,0.09387485859940348,-0.0024430952235178958
Hotline -> Real Estate Agent 3,0.037685786258193694,0.0184725422843722,0.022046182257204356
Real Estate Agent 1 -> Lawyer 1,0.036609316201527166,-0.02753614083437476,-0.01317235192917253
Lawyer 3 -> Real Estate Agent 5,0.034838182321822966,0.03534244466331739,-0.121085245335304
Hotline -> Real Estate Agent 4,0.034424136914632905,0.04553499511065841,0.07946846527983273
Lawyer 1 -> Real Estate Agent 4,0.03430110750640367,0.008905801785745463,-0.061114375773957584
Real Estate Agent 3 -> Hotline,0.03337920007905628,0.038150939649269966,-0.0016795711815645632
Real Estate Agent 2 -> Real Estate Agent 4,0.02935648598281716,0.0471778251334812,0.0499441769505659
Lawyer 1 -> Real Estate Agent 1,-0.02776986392583596,0.05763382585974376,0.0009320278781413506
Real Estate Agent 5 -> Lawyer 1,-0.02658123245689794,0.004283107136591505,-0.028409807437976532
Real Estate Agent 2 -> Lawyer 2,0.026557066057053637,-0.04877753060637817,-0.012539099197921727
age_Retired,0.026512383624954273,-0.000684946124273483,0.07530229139779512
Hotline -> Real Estate Agent 2,0.02634176440947276,0.004944255418058175,-0.028190029340368062
Real Estate Agent 3 -> Real Estate Agent 5,0.024912211683812756,-0.026374659778377406,0.04736541809314339
Lawyer 1 -> Real Estate Agent 2,0.02417113223685547,-0.08855793084499575,-0.03007211230902785
Real Estate Agent 2 -> Real Estate Agent 3,0.02350316248961329,-0.055520564711167494,-0.029415842322216702
Lawyer 2 -> Real Estate Agent 2,0.022979744142037697,-0.04553720076360818,-0.008312631903829113
Real Estate Agent 3 -> Lawyer 1,0.02159292943195808,0.08455547766383761,0.09037909187570878
Real Estate Agent 1 -> Real Estate Agent 2,0.020414134403109206,-0.0010001324290809753,-0.0051874362253560196
Real Estate Agent 1 -> Hotline,0.01983906249793011,-0.05033739990648831,-0.06352007002973317
Lawyer 1 -> Real Estate Agent 3,-0.019800612706280037,-0.00990198416482508,0.028216754418880434
Real Estate Agent 3 -> Lawyer 3,0.019668787863956226,0.10057067432874282,-0.0005076973002052887
Real Estate Agent 3 -> Real Estate Agent 1,0.019156582322858415,-0.041076665254899544,0.057096848392012865
Hotline -> Real Estate Agent 1,-0.018378394704190067,-0.0006312288968222536,0.006740236737124964
Real Estate Agent 1 -> Real Estate Agent 3,0.018179516086433072,-0.0032040556610376815,0.016724662984367054
Real Estate Agent 3 -> Real Estate Agent 4,-0.018150746011857486,-0.18715024054896884,0.05342854464233963
case:gender,0.016281643235405745,-0.01682212247879298,0.009973026832696467
Real Estate Agent 4 -> Real Estate Agent 5,0.01612257469985309,-0.1323278213307483,0.030556712232888233
Lawyer 2 -> Real Estate Agent 4,0.016111660868278085,-0.05070823360686024,0.04774033545567623
Lawyer 2 -> Real Estate Agent 5,0.015956943442673822,-0.06841626547668826,-0.008948434914054119
Real Estate Agent 1 -> Real Estate Agent 5,0.015351810404737699,0.0059539042959886905,-0.013888297295866664
yearsOfEducation_Elementary Education,0.01451951505119036,-0.058393894162984086,0.02680752699914677
Real Estate Agent 1 -> Lawyer 3,0.014332206464840774,0.011897404315972446,-0.02041657261179842
Lawyer 3 -> Real Estate Agent 2,-0.013745450560149895,0.00463334658446565,0.0031106932564133045
Real Estate Agent 5 -> Real Estate Agent 5,-0.013614283783771197,0.046215407676105456,-0.0462619336832661
