Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,0.05719374419222045,0.02383460395364408,0.03336846405431839
Real Estate Agent 5 -> Real Estate Agent 3,0.03984350963231297,0.0012905714777342665,0.0009342506498283854
Real Estate Agent 3 -> Real Estate Agent 3,0.033838659299602995,-0.0003502392398236294,-0.00413572923481661
Real Estate Agent 1 -> Lawyer 2,-0.023514032795293155,-0.00733325224196065,-0.0072316964785407835
Real Estate Agent 5 -> Lawyer 3,-0.023227262619432358,-0.006837627212014972,0.0009911440552759962
Real Estate Agent 4 -> Lawyer 2,-0.019328245768446196,-0.0033650762953653162,0.0006890732659572911
Lawyer 3 -> Real Estate Agent 2,-0.018281739799841795,-0.005991798799933588,-0.003881681927775883
Lawyer 3 -> Real Estate Agent 4,-0.015134143025454091,-0.02505909149971039,-0.0004896670400509325
Real Estate Agent 4 -> Real Estate Agent 5,0.013739225330600532,0.001219084293444632,0.00225799201888421
Real Estate Agent 1 -> Lawyer 3,-0.01249243276167665,-0.004158612482670675,-0.00524171714675014
Real Estate Agent 4 -> Real Estate Agent 1,0.011876843597075689,0.00238489694965502,0.00026858150147148537
Lawyer 1 -> Real Estate Agent 3,-0.011464135949625942,-0.0015641071571177168,0.000475398097803454
Real Estate Agent 4 -> Real Estate Agent 3,-0.010260885545215169,-0.00705504208268212,0.0010175175205557824
Real Estate Agent 3 -> Real Estate Agent 5,0.009746212766573472,-0.0026322662343265394,-0.0006132987496478991
Real Estate Agent 5 -> Lawyer 1,-0.009311647178908157,-0.002163633871282597,-0.0034529161818577887
Screen Prospective Tenant -> Extensive Screening,-0.00788814405408851,-0.0033365098628592264,-0.006416764256854564
Real Estate Agent 2 -> Lawyer 1,-0.007618768885105753,0.0009166917259169922,-0.010886698232258908
Real Estate Agent 4 -> Lawyer 1,-0.006452282549588839,0.005304427423234274,0.00048092000849613795
Lawyer 2 -> Real Estate Agent 3,-0.0059906082018015075,-0.004411773977575827,-0.0003109737232126493
Lawyer 1 -> Real Estate Agent 1,-0.005956510110328696,-0.00048214743701147593,-0.002043040869923057
Lawyer 1 -> Real Estate Agent 2,-0.0052559092699723045,-0.0060261840147066105,-0.002559432055816975
Hotline -> Hotline,0.005250040633536594,0.0005460632970824973,-0.0015476496371517232
Real Estate Agent 2 -> Lawyer 2,-0.005118749810139693,-0.006557384720775976,-0.004792238080296758
Lawyer 1 -> Real Estate Agent 5,-0.0048534422147690085,-0.001612685346377141,-0.009191950850294898
Lawyer 2 -> Real Estate Agent 1,-0.004752005588437228,-0.003343758707152481,-0.0045884563434684875
Real Estate Agent 3 -> Real Estate Agent 2,-0.004747351749672104,0.004930627490797063,-0.005017453943554586
Real Estate Agent 3 -> Lawyer 2,-0.00465685975114411,-0.004250413710676028,-0.0023348066424264046
Lawyer 2 -> Real Estate Agent 5,-0.004547775743386117,-0.010554056333373021,-0.000892336889920987
yearsOfEducation_Postgraduate Education,0.004508479742565798,0.0,0.0
Real Estate Agent 4 -> Hotline,-0.004506936244743324,-0.004196956371126151,-0.0005529288253427582
Real Estate Agent 4 -> Lawyer 3,0.004267964348833407,-0.009442226131584075,-0.004246781924190779
Real Estate Agent 3 -> Real Estate Agent 4,0.004208575288623467,-0.0047534592022226065,0.0010155832375270415
Real Estate Agent 1 -> Hotline,0.003954368783748503,5.36131791728507e-06,-0.0038618659883012515
case:gender,0.003857241238199867,-0.000913627077318678,-3.9225396094533066e-05
Lawyer 3 -> Real Estate Agent 3,-0.003765056404397061,-0.0024121981861274767,-0.004576711130874331
Real Estate Agent 2 -> Real Estate Agent 5,-0.0036872187758266372,-0.0018789292331463797,0.00012469970771526907
Hotline -> Real Estate Agent 3,0.0034912171639267333,0.0022385538538681514,-0.0028783789476708507
Real Estate Agent 4 -> Real Estate Agent 4,0.0033489608220400057,0.006799293472858163,0.006333101472457145
Lawyer 3 -> Real Estate Agent 5,-0.002868642488971384,-0.0008450070944625238,-0.016876977250876207
Real Estate Agent 1 -> Real Estate Agent 4,-0.002796504666030887,0.0011891661149454045,0.001818977051336592
Real Estate Agent 1 -> Real Estate Agent 5,-0.0026869381171097323,0.0002137542113776537,-0.001191932558168591
Real Estate Agent 5 -> Real Estate Agent 1,0.0025963027939482474,-0.0007638993575843079,-0.002827472004069901
Real Estate Agent 2 -> Real Estate Agent 4,0.002441996360243339,0.006608065137959758,0.022116543108735693
Real Estate Agent 5 -> Hotline,0.0024213466282769092,0.000414942993103677,-0.0017776530088645282
Real Estate Agent 2 -> Lawyer 3,-0.0023430590584160157,-0.006657219265826431,-0.009750868403466229
Lawyer 2 -> Real Estate Agent 4,0.0022019748025698714,-0.003297343730474267,-0.00047154386254993403
Lawyer 3 -> Real Estate Agent 1,-0.0020848468456203155,0.0011142445381139756,-0.005146273664393164
Real Estate Agent 2 -> Real Estate Agent 1,-0.002064683185297924,-0.0007228166440432595,-0.002097831142323455
Real Estate Agent 1 -> Lawyer 1,0.0020540430068869664,-0.008409261230661429,-0.002621328236353442
Lawyer 2 -> Real Estate Agent 2,-0.0019164628033207349,-0.004639680086820055,-0.00023369072786619537
Real Estate Agent 5 -> Real Estate Agent 5,-0.0018007962127276997,0.0012030465421583943,-0.003493567176875205
Real Estate Agent 3 -> Hotline,0.0017860909317144798,0.0016856573773141657,-0.0010465910305446267
Hotline -> Real Estate Agent 1,-0.00178600441897153,-0.0009038919361607809,-0.00031219185478274894
Real Estate Agent 2 -> Hotline,0.001759470395887415,0.0007764574584137287,0.0001357775191635534
age_Young Adult,0.0015500069262232275,0.0,-0.005017250633387671
Real Estate Agent 1 -> Real Estate Agent 3,0.0014963499119404298,0.008952036746896347,0.001840126427891165
Lawyer 1 -> Real Estate Agent 4,-0.0013927009925493237,0.0012677339087988498,-0.0008640758264978814
Real Estate Agent 5 -> Real Estate Agent 2,0.0012990240210645839,-0.0031963362923311542,-0.0011212323079560478
Real Estate Agent 2 -> Real Estate Agent 2,-0.0012571556723330018,-0.0007631859353813584,-0.002542760552494889
