Feature,Importance_High,Importance_Medium,Importance_Low
case:protected,-0.22734931140461795,0.06561428559755586,-0.1051677806548544
Real Estate Agent 5 -> Real Estate Agent 5,-0.03161296319394865,0.01113850556238075,-0.010920338595059262
Real Estate Agent 3 -> Real Estate Agent 5,-0.030699212923601654,-0.0020451785207074437,-0.012057352756711798
Real Estate Agent 4 -> Lawyer 3,-0.025161422854007513,-0.005041073473421951,0.012945629549440844
Real Estate Agent 1 -> Lawyer 2,-0.023183218572190245,0.039154756410370806,-0.019497195579717845
Real Estate Agent 3 -> Lawyer 1,-0.023051486651666002,-0.02094759265503162,-0.01584192389825277
Real Estate Agent 3 -> Real Estate Agent 4,-0.022471396387283092,-0.033336735882733656,0.008242953520479964
Lawyer 1 -> Real Estate Agent 4,-0.020926958384749037,-0.012707787139388069,-0.01440480968776594
Lawyer 3 -> Real Estate Agent 2,-0.020200407176531578,-0.009835293477062145,-0.026630351536017272
Real Estate Agent 3 -> Real Estate Agent 3,-0.0198904048083517,-0.01104921133255349,-0.018398181512072346
Lawyer 3 -> Real Estate Agent 1,-0.019820327360565375,-0.009965224997450044,0.005389962003406655
Real Estate Agent 4 -> Real Estate Agent 5,-0.01917027854930295,0.0054879029421563835,-0.005364406870538403
Hotline -> Real Estate Agent 1,0.018984590904213457,-0.013481770858768092,-0.0035729982201916574
Real Estate Agent 5 -> Real Estate Agent 4,-0.018535192363588686,-0.034248683447032566,0.006961564281344477
Real Estate Agent 5 -> Lawyer 3,-0.01767695634352251,-0.005134651247382843,-0.025780007886703277
Real Estate Agent 5 -> Hotline,-0.017369191598794874,-0.022560528396424664,-0.009564968774204562
Real Estate Agent 4 -> Real Estate Agent 1,-0.017042239568326872,-0.010111190342798126,-0.011522676780150143
Hotline -> Real Estate Agent 4,-0.016482497636235997,-0.014022606814473754,-0.012828595928292478
Real Estate Agent 1 -> Real Estate Agent 3,-0.015292547831184933,-0.038034024538551064,0.0009257422473483941
Real Estate Agent 5 -> Real Estate Agent 1,0.015253603392598963,-0.019949818831701972,-0.002820740288060966
