Feature,Importance_High,Importance_Medium,Importance_Low
Real Estate Agent 5 -> Lawyer 3,-0.05122004041071325,-0.007369098618817913,0.014094404261329619
Lawyer 3 -> Real Estate Agent 4,-0.043286935461104806,-0.06411877960098326,0.010111428598769017
Real Estate Agent 4 -> Real Estate Agent 3,-0.03276544825193405,-0.004119638666281523,0.025084591730353885
Lawyer 3 -> Real Estate Agent 2,-0.030161229445968364,0.0003284864616889706,-0.003473029396998615
case:protected,-0.0295975913428497,0.004077040947690632,-0.008158134137649178
Lawyer 1 -> Real Estate Agent 1,-0.02316639377704844,0.0056759215434077775,0.0028112768934899896
Real Estate Agent 5 -> Lawyer 1,-0.021893499085541036,-0.0009136033134174642,-0.006977639194148519
Real Estate Agent 1 -> Lawyer 2,-0.02129984118782355,-0.0004208615216009377,-0.00999031209739674
Real Estate Agent 5 -> Real Estate Agent 5,-0.020536465684030048,0.006898027434386308,-0.01127095637416664
Real Estate Agent 4 -> Lawyer 2,-0.020315576096823156,-0.0058776081054856995,-0.005486929810001274
Screen Prospective Tenant -> Extensive Screening,-0.016044608391184385,-0.008901546163014687,-0.010661079890361313
Lawyer 2 -> Real Estate Agent 3,-0.014464952258489285,-0.019547450193430873,-0.012582296602181561
Real Estate Agent 5 -> Real Estate Agent 3,0.013906020781552203,0.0011694916021546921,0.00995852928541575
Real Estate Agent 3 -> Real Estate Agent 4,-0.013875150336756101,-0.03886073446973336,0.006723536543517238
Real Estate Agent 4 -> Hotline,-0.013532583844853622,-0.015009947998929709,0.0032131144649936924
Real Estate Agent 1 -> Lawyer 3,-0.010989039270901366,0.002267811124785365,-0.005663982866120477
age_Young Adult,0.010163174535723489,-0.005713364328990238,0.003873004992823022
Hotline -> Real Estate Agent 1,-0.009406610865992095,-0.0022686094217591896,-0.004419261420446264
Real Estate Agent 1 -> Lawyer 1,0.00809300792604348,-0.008021066106725682,-0.006948587447889824
Lawyer 1 -> Real Estate Agent 3,-0.007954213316283338,-0.002753644850376512,0.0030312046417056157
Real Estate Agent 5 -> Lawyer 2,0.006712382221250032,-0.01979247900654307,0.0064597494501713645
Lawyer 1 -> Real Estate Agent 5,0.0065686952437261515,0.013127269923947324,-0.02215510598696791
Real Estate Agent 3 -> Real Estate Agent 2,-0.006232164622890293,-0.014436466742657176,-0.009844707000482527
Lawyer 2 -> Real Estate Agent 4,-0.006022925680667179,-0.011601312649958725,0.011348171368201494
Real Estate Agent 4 -> Real Estate Agent 1,-0.005947216000826405,-0.0035422004455430674,0.0075760857948754924
Real Estate Agent 5 -> Real Estate Agent 1,0.0058069979331684535,0.0016982387850056457,-0.005307158543081449
Real Estate Agent 2 -> Lawyer 1,-0.005604824306616657,-0.002200585055877821,-0.020645566438240198
Real Estate Agent 5 -> Real Estate Agent 2,-0.004899244278260363,-0.0012329548845134552,-0.0005317723256169828
Real Estate Agent 3 -> Real Estate Agent 3,0.004891889100174776,-0.008480743987037893,-0.02072518851227808
Real Estate Agent 2 -> Lawyer 2,0.004826795454386874,-0.010603211140722577,-0.004879140001619288
Lawyer 1 -> Real Estate Agent 2,-0.004641730930790084,-0.0191897515953622,-0.004786061704733208
Real Estate Agent 4 -> Real Estate Agent 4,0.004473415992200279,-0.06736037024974659,-0.032382069665697566
Real Estate Agent 4 -> Lawyer 1,-0.004383320393764811,0.009093296727903452,-0.00145892312350688
case:gender,-0.004269712113530955,-0.005140529826633752,0.0018027577779401894
Lawyer 3 -> Real Estate Agent 5,0.004259183112553326,0.005484833069417492,-0.021978759925815584
Lawyer 2 -> Real Estate Agent 5,-0.00399108726661459,-0.010683197946139035,-0.0009662149694848569
yearsOfEducation_Elementary Education,0.0038653570706492246,-0.008953973528619102,-0.00015692003911981395
Real Estate Agent 1 -> Real Estate Agent 2,0.0035741845450779344,-0.0003993657219315906,-0.005747056862416056
Real Estate Agent 2 -> Real Estate Agent 2,-0.003562088569027954,0.0029323966253941795,-0.01017623561264307
Real Estate Agent 1 -> Real Estate Agent 4,-0.0034679282059626544,0.0006644152657178709,0.005221010406229772
Hotline -> Real Estate Agent 3,0.003353424454853887,0.008265880346121366,-0.0027524049798836824
Real Estate Agent 2 -> Lawyer 3,0.003210930972040619,-0.007035380659834718,-0.01385109202359123
yearsOfEducation_Postgraduate Education,-0.0028261539958148105,0.011259027015132424,-0.00410912340683576
Real Estate Agent 5 -> Hotline,0.002785425714993095,0.005318208156914122,-0.019560944820856803
Real Estate Agent 1 -> Real Estate Agent 1,0.002728060300278262,-0.0024384512587986963,0.015448353715437468
Real Estate Agent 3 -> Lawyer 2,0.002699518689661587,-0.008715453551742464,0.0028484958142915586
Real Estate Agent 2 -> Real Estate Agent 4,0.00269791128276299,0.007990097883083623,0.013012940389655041
Lawyer 3 -> Real Estate Agent 3,-0.0024584358750385314,-0.0038629893515002593,-0.005143577195781617
Lawyer 1 -> Real Estate Agent 4,0.0022479575581626577,0.0026282749241032023,-0.003877095809761108
Lawyer 2 -> Real Estate Agent 2,0.0022166731215431204,-0.01164167454159545,-0.005429340958071789
Real Estate Agent 1 -> Real Estate Agent 3,0.0021696613351267716,0.004469958567943635,0.0035304888598836092
Lawyer 3 -> Real Estate Agent 1,0.002081658982234988,0.0016916953862641487,-0.004206533439933879
Hotline -> Real Estate Agent 5,0.001993733795060267,0.002670666668336713,-0.011536715706165278
age_Pre-Retirement,-0.0019782478669261062,-0.00023910041568105076,0.0021120554180860266
Hotline -> Real Estate Agent 2,0.001969377912402449,0.002527767671016775,-0.005259575715268394
Real Estate Agent 2 -> Real Estate Agent 1,-0.001968019021886967,-0.002129747651169986,-0.004903885250195087
yearsOfEducation_Higher Education,-0.0019302281020272187,0.001518349447449057,-0.005104334541059751
Real Estate Agent 3 -> Hotline,-0.0018974102423092339,-0.0015966470840783197,-0.007554089990827306
Real Estate Agent 1 -> Real Estate Agent 5,-0.0017026176640727495,-0.0019388371826396344,-0.004272099248247731
Real Estate Agent 5 -> Real Estate Agent 4,0.0015899405446046378,-0.005907324732011632,0.0026195068798210925
Real Estate Agent 3 -> Real Estate Agent 5,-0.001543146368347247,-0.003205071912612591,0.00035799388672091677
Real Estate Agent 2 -> Real Estate Agent 5,-0.0015109555085058173,0.002469130074944982,-0.0008812906040260927
Real Estate Agent 2 -> Real Estate Agent 3,0.0015046969141864787,-0.010486476277320045,-0.013353997089591396
case:citizen,-0.0014516682116340039,-0.0002924150018297615,0.0012847389559248533
Real Estate Agent 4 -> Lawyer 3,-0.0013767744870423666,-0.021833915509797373,-0.0023032550112628077
Hotline -> Hotline,0.0013130941668684944,-0.00785423836461504,0.0030029819012138024
Real Estate Agent 4 -> Real Estate Agent 5,-0.001111753316079193,-0.0212917925723032,-0.0009350468629688149
Real Estate Agent 3 -> Lawyer 3,0.0007831331428880935,0.017703413868064014,-0.004068483599902438
Real Estate Agent 4 -> Real Estate Agent 2,0.0007823508489267266,0.0189639625606504,0.0036197009368693703
Lawyer 2 -> Real Estate Agent 1,0.0007431032493767411,-0.0032967650198231155,-0.0059140178727985285
case:german speaking,-0.000527385452195743,0.0019938661172374575,-0.001426088540642648
yearsOfEducation_Secondary Education,0.0005205689697949649,0.00011387493009081411,0.0006256317331051776
Real Estate Agent 1 -> Hotline,-0.00045190292468228475,-0.007172913027638968,-0.017044777661292886
age_Retired,-0.00042851610100833797,-0.0035653844256304432,0.001356553610663648
Real Estate Agent 3 -> Lawyer 1,-0.0002760974850359012,0.01284505552284008,0.015128903015361312
Hotline -> Real Estate Agent 4,0.00026064084352988984,0.004391106587411647,0.01810560051897219
Real Estate Agent 3 -> Real Estate Agent 1,-0.00023353948714468004,-0.014755145353275137,0.002483213159971876
age_Middle-Aged Adult,-0.00019595107451797798,-0.00018205988516615908,0.0002697026329911697
Real Estate Agent 2 -> Hotline,7.042836219241458e-05,-0.0011300891206793844,0.012026247288393455
case:married,1.5189627388263987e-05,0.0050090439474604845,0.0003919919304446802
Set Appointment -> View The Property,0.0,0.0,0.0
View The Property -> Hand In The Paperwork,0.0,0.0,0.0
Hand In The Paperwork -> Check Paperwork,0.0,0.0,0.0
Check Paperwork -> Screen Prospective Tenant,0.0,0.0,0.0
Apply for Viewing Appointment -> Set Appointment,0.0,0.0,0.0
